model,params_m,step,nL,nH,n_alive,n_triangles,closure_ratio,loose_fraction,elapsed_s
pythia-70m-deduped,70,0,6,8,55,17296,314.4727,0.1273,3.3
pythia-70m-deduped,70,1,6,8,55,17296,314.4727,0.1273,1.7
pythia-70m-deduped,70,2,6,8,55,17296,314.4727,0.1273,2.0
pythia-70m-deduped,70,8,6,8,55,17296,314.4727,0.1273,1.7
pythia-70m-deduped,70,64,6,8,55,17253,313.6909,0.0364,1.7
pythia-70m-deduped,70,512,6,8,55,0,0.0,0.9818,1.7
pythia-70m-deduped,70,1000,6,8,55,0,0.0,1.0,1.8
pythia-70m-deduped,70,3000,6,8,55,0,0.0,1.0,1.8
pythia-70m-deduped,70,13000,6,8,55,1,0.0182,0.9455,1.7
pythia-70m-deduped,70,33000,6,8,55,1,0.0182,0.9455,1.9
pythia-70m-deduped,70,63000,6,8,55,1,0.0182,0.9455,1.8
pythia-70m-deduped,70,93000,6,8,55,1,0.0182,0.9455,1.8
pythia-70m-deduped,70,143000,6,8,55,1,0.0182,0.9455,2.0
pythia-160m-deduped,160,0,12,12,157,487345,3104.1083,0.0446,4.4
pythia-160m-deduped,160,1,12,12,157,487345,3104.1083,0.0446,3.6
pythia-160m-deduped,160,2,12,12,157,487345,3104.1083,0.051,4.1
pythia-160m-deduped,160,8,12,12,157,487344,3104.1019,0.0446,4.1
pythia-160m-deduped,160,64,12,12,157,584905,3725.5096,0.0127,3.9
pythia-160m-deduped,160,512,12,12,157,12,0.0764,0.8854,3.6
pythia-160m-deduped,160,1000,12,12,157,2,0.0127,0.9554,3.6
pythia-160m-deduped,160,3000,12,12,157,21,0.1338,0.9554,4.1
pythia-160m-deduped,160,13000,12,12,157,58,0.3694,0.9172,4.1
pythia-160m-deduped,160,33000,12,12,157,85,0.5414,0.9236,3.6
pythia-160m-deduped,160,63000,12,12,157,94,0.5987,0.9045,4.1
pythia-160m-deduped,160,93000,12,12,157,85,0.5414,0.9172,4.1
pythia-160m-deduped,160,143000,12,12,157,156,0.9936,0.9299,3.6
pythia-410m-deduped,410,0,24,16,409,9363227,22892.9756,0.0147,7.6
pythia-410m-deduped,410,1,24,16,409,9363227,22892.9756,0.0147,8.2
pythia-410m-deduped,410,2,24,16,409,9363610,22893.912,0.0171,8.0
pythia-410m-deduped,410,8,24,16,409,9361732,22889.3203,0.0147,7.7
pythia-410m-deduped,410,64,24,16,409,9260937,22642.8778,0.0,7.6
pythia-410m-deduped,410,512,24,16,409,11406,27.8875,0.4425,8.4
pythia-410m-deduped,410,1000,24,16,409,47,0.1149,0.8606,8.4
pythia-410m-deduped,410,3000,24,16,409,228,0.5575,0.9511,8.2
pythia-410m-deduped,410,13000,24,16,409,955,2.335,0.8264,8.3
pythia-410m-deduped,410,33000,24,16,409,8328,20.3619,0.6797,8.2
pythia-410m-deduped,410,63000,24,16,409,1915,4.6822,0.8362,8.3
pythia-410m-deduped,410,93000,24,16,409,80,0.1956,0.9315,7.6
pythia-410m-deduped,410,143000,24,16,409,1275,3.1174,0.8093,8.3
