model,params_m,step,lambada_acc,lambada_ppl,arc_easy,arc_challenge,piqa,sciq,winogrande,wsc
pythia-70m-deduped,70,0,0.0,3684074.4512471026,0.2718855218855219,0.21416382252559726,0.5255712731229597,0.194,0.4988161010260458,0.5961538461538461
pythia-70m-deduped,70,1,0.0,3684074.4512471026,0.2718855218855219,0.21416382252559726,0.5255712731229597,0.194,0.4988161010260458,0.5961538461538461
pythia-70m-deduped,70,2,0.0,3683845.454852363,0.2718855218855219,0.21416382252559726,0.5239390642002176,0.194,0.4964483030781373,0.5961538461538461
pythia-70m-deduped,70,4,0.0,3681701.3989686714,0.27230639730639733,0.2150170648464164,0.5255712731229597,0.193,0.4964483030781373,0.6346153846153846
pythia-70m-deduped,70,8,0.0,3645907.0699725267,0.2668350168350168,0.21160409556313994,0.5277475516866159,0.201,0.49013417521704816,0.6153846153846154
pythia-70m-deduped,70,16,0.0,3524467.250324196,0.26262626262626265,0.2090443686006826,0.5261153427638737,0.203,0.48539857932123126,0.6346153846153846
pythia-70m-deduped,70,32,0.0,3289495.7556516603,0.265993265993266,0.20477815699658702,0.5261153427638737,0.222,0.4909234411996843,0.6346153846153846
pythia-70m-deduped,70,64,0.0,2326703.33585396,0.2676767676767677,0.20648464163822525,0.5391730141458106,0.199,0.4956590370955012,0.36538461538461536
pythia-70m-deduped,70,128,0.0,1598563.1585085269,0.2680976430976431,0.19965870307167236,0.5282916213275299,0.224,0.4972375690607735,0.6346153846153846
pythia-70m-deduped,70,256,0.0,647497.1096747417,0.27314814814814814,0.20051194539249148,0.5190424374319913,0.225,0.4940805051302289,0.6346153846153846
pythia-70m-deduped,70,512,0.0,110350.23520256639,0.29503367003367004,0.17918088737201365,0.5375408052230686,0.265,0.500394632991318,0.6346153846153846
pythia-70m-deduped,70,1000,0.05491946438967592,3082.299330415885,0.3106060606060606,0.1757679180887372,0.5783460282916213,0.451,0.5303867403314917,0.36538461538461536
pythia-70m-deduped,70,3000,0.1775664661362313,256.5540970158291,0.36826599326599324,0.18686006825938567,0.5892274211099021,0.601,0.5153906866614049,0.36538461538461536
pythia-70m-deduped,70,13000,0.24742868232097806,109.95117423247467,0.4116161616161616,0.1689419795221843,0.6006528835690969,0.669,0.4909234411996843,0.36538461538461536
pythia-70m-deduped,70,33000,0.24451775664661363,98.08553421953862,0.40025252525252525,0.17832764505119453,0.5941240478781284,0.693,0.5067087608524072,0.36538461538461536
pythia-70m-deduped,70,53000,0.246070250339608,97.04494047666356,0.406986531986532,0.18515358361774745,0.6082698585418934,0.703,0.5035516969218626,0.375
