model,params_m,step,nL,nH,n_alive,n_triangles,closure_ratio,loose_fraction,elapsed_s
pythia-410m-deduped,410,1,24,16,409,9363227,22892.9756,0.0147,10.5
pythia-410m-deduped,410,2,24,16,409,9363610,22893.912,0.0171,9.5
pythia-410m-deduped,410,4,24,16,409,9362083,22890.1785,0.0147,9.4
pythia-410m-deduped,410,8,24,16,409,9361732,22889.3203,0.0147,9.4
pythia-410m-deduped,410,16,24,16,409,10077313,24638.9071,0.0049,9.1
pythia-410m-deduped,410,32,24,16,409,9429033,23053.8704,0.0024,9.5
pythia-410m-deduped,410,64,24,16,409,9260937,22642.8778,0.0,9.6
pythia-410m-deduped,410,128,24,16,409,10146846,24808.9144,0.0024,9.1
pythia-410m-deduped,410,256,24,16,409,2689098,6574.8117,0.0147,9.3
pythia-410m-deduped,410,512,24,16,409,11406,27.8875,0.4425,8.8
pythia-410m-deduped,410,1000,24,16,409,47,0.1149,0.8606,9.4
pythia-410m-deduped,410,2000,24,16,409,199,0.4866,0.8973,9.4
pythia-410m-deduped,410,4000,24,16,409,437,1.0685,0.9046,9.3
pythia-410m-deduped,410,8000,24,16,409,6447,15.7628,0.7286,9.4
pythia-410m-deduped,410,16000,24,16,409,7979,19.5086,0.709,9.3
pythia-410m-deduped,410,32000,24,16,409,4295,10.5012,0.6993,8.6
pythia-410m-deduped,410,64000,24,16,409,11353,27.7579,0.6773,9.4
pythia-410m-deduped,410,128000,24,16,409,8062,19.7115,0.7531,9.3
pythia-410m-deduped,410,143000,24,16,409,1275,3.1174,0.8093,9.6
