metric,value
pair_balanced_accuracy,0.8773037493194134
single_balanced_accuracy,0.7118476082642846
gain,0.16545614105512874
gain_ci_low,0.1239473469047224
gain_ci_high,0.210382856134711
worst_class_recall,0.7295492487479132
pair_fold_wins,5
raw_pair_balanced_accuracy,0.8773037493194134
raw_ara_disagreements,0
reversal_disagreements,0
permutation_mean,0.2605677333491266
permutation_p95,0.3108838383838383
phase_destroyed_balanced_accuracy,0.2668265651753145
random_forest_balanced_accuracy,0.9557525283356659
gates_passed,8
gates_total,8
