angle_deg,elevation_rank,path_type,lateral_index,radius_mm,z_mm,x_ara,nearest_lateral_spacing_ara,exact_elevation_tie
10,1,thalweg,23,1217.6643976319401,31.78982,1.0883220046987216,0.029496466359381524,False
10,2,control,21,1203.0052019714785,33.12962,1.0150260261450412,0.04320051468826425,False
10,3,control,16,1149.0712034433145,33.78544,0.7453560325793736,0.04436449411623922,False
10,4,control,22,1211.7651043802957,33.87103,1.0588255383393401,0.029496466359381524,False
10,5,control,17,1158.0786983981882,34.15661,0.7903935075082003,0.030344498251379637,False
10,6,control,24,1226.5931058461872,34.34081,1.1329655459230645,0.044643541224342886,False
10,7,control,25,1235.6080023192478,34.92914,1.178040028442953,0.030264481690498668,False
10,8,control,20,1194.3650990634574,35.01495,0.971825511456777,0.04320051468826425,False
10,9,control,15,1140.1983046504968,36.13439,0.7009915384631343,0.029136498998601712,False
10,10,control,18,1164.1475980276505,36.48244,0.8207380057595799,0.030344498251379637,False
10,11,control,19,1173.3332994177952,36.7385,0.8666665128678176,0.045928507108237704,False
10,12,control,26,1241.6608986365889,37.17694,1.2083045101334517,0.030264481690498668,False
10,13,control,14,1134.3710048707615,37.41538,0.6718550394645326,0.029136498998601712,False
10,14,control,13,1125.7863956748752,38.59272,0.6289319933378943,0.04292304612663833,False
10,15,control,12,1102.2524005907171,39.13504,0.5112620175135486,0.03138937389465163,False
10,16,control,11,1095.974525833317,39.42703,0.479872643618897,0.03138937389465163,False
10,17,control,27,1265.8529000335566,39.69477,1.3292645175331292,0.04348599765620498,False
10,18,control,10,1086.6666689926371,41.68719,0.4333333592558882,0.04567652995568994,False
10,19,control,28,1274.55009953497,42.12929,1.3727505151893342,0.029232512496545127,False
10,20,control,9,1077.5313630328292,42.51509,0.38765682930019824,0.029808254629833275,False
10,21,control,29,1280.3966020142282,44.36496,1.4019830276858793,0.029232512496545127,False
10,22,control,8,1071.5697121273083,45.33497,0.35784857467036496,0.029808254629833275,False
10,23,control,30,1289.2327017622217,46.91184,1.4461635265773665,0.04418049889148712,False
10,24,control,31,1298.1423995998641,49.82371,1.4907120159183598,0.02988750653767247,False
10,25,control,7,1062.8931965567813,50.87496,0.31446599666894687,0.041112341948200126,False
10,26,control,32,1304.1199008868984,53.75524,1.5205995224560322,0.02988750653767247,False
10,27,control,6,1054.6707281953406,56.02982,0.27335365472074674,0.041112341948200126,False
10,28,control,33,1313.138200654838,56.42342,1.5656910214503743,0.04509149899434206,False
10,29,control,34,1334.4814004510833,60.2998,1.6724070207975887,0.04353149754671004,False
10,30,control,5,1036.6666664850352,60.31421,0.18333334586049,0.04999996155028752,False
10,31,control,35,1343.1876999305666,66.52193,1.7159385183442988,0.04353149754671004,False
10,32,control,4,1026.6666742092732,69.61892,0.13333338431020247,0.03333336272885182,False
10,33,control,36,1351.9627013888964,75.89986,1.7598135257864196,0.029428994200283665,False
10,34,control,37,1357.8485002087675,82.61625,1.7892425199867033,0.029428994200283665,False
10,35,control,38,1366.7272978557717,83.9183,1.8336365083739756,0.044393988387272376,False
10,36,control,3,1020.0000016863665,85.42539,0.10000002158135066,0.03333336272885182,False
10,37,control,39,1375.66240310834,85.64986,1.8783120347900342,0.029930506825083247,False
10,38,control,2,1009.999999562527,86.70042,0.05000001079067533,0.05000001079067533,True
10,39,control,40,1381.648504452827,86.70042,1.9082425416151174,0.029930506825083247,True
10,40,control,1,999.9999974386875,87.91894,0.0,0.05000001079067533,True
10,41,control,41,1399.999996066866,87.91894,2.0,0.09175745838488258,True
15,1,thalweg,20,1173.4132987134449,27.87445,0.8670664748978916,0.03125747813503188,False
15,2,control,19,1167.1618031267485,28.63285,0.8358089967628597,0.03125747813503188,False
15,3,control,21,1195.9994005828264,29.32793,0.9799969849729819,0.04464349408539059,False
15,4,control,22,1204.9280993423317,29.39295,1.0246404790583725,0.04464349408539059,False
15,5,control,15,1133.3976999968195,29.95417,0.6669884800246498,0.030223026243407003,False
15,6,control,18,1157.8404977129667,30.49089,0.7892024693934289,0.04622150823430604,False
15,7,control,23,1213.9430049982886,30.71043,1.0697150076288002,0.030264480936799787,False
15,8,control,16,1139.442305206525,32.98711,0.6972115062680568,0.030223026243407003,False
15,9,control,24,1219.9959011466192,33.42961,1.0999794885656,0.030264480936799787,False
15,10,control,14,1124.4324047429977,33.49164,0.6221620034664973,0.044111513713611994,False
15,11,control,17,1148.5961961257133,33.67304,0.7429809611591228,0.045769454891065986,False
15,12,control,13,1115.610102057162,33.9902,0.5780504897528853,0.044111513713611994,False
15,13,control,12,1093.2745991965573,34.59939,0.46637297472975847,0.04765149516063327,False
15,14,control,25,1229.1337048912394,34.68827,1.1456685075833066,0.04568901901770661,False
15,15,control,11,1083.7443002258826,34.93169,0.4187214795691252,0.03151090236734794,False
15,16,control,10,1077.4421197930499,37.61675,0.38721057720177726,0.03151090236734794,False
15,17,control,26,1238.3350012636968,37.65065,1.191674989742246,0.04600648215893943,False
15,18,control,27,1247.5931973241015,39.40083,1.2379659703427568,0.03100502329606636,False
15,19,control,28,1253.7942019433303,40.61963,1.2689709936388232,0.03100502329606636,False
15,20,control,9,1068.087737558092,41.13141,0.3404386657253995,0.04599545741454086,False
15,21,control,29,1263.1350948863042,41.60226,1.3156754586548454,0.04670446501602221,False
15,22,control,30,1285.4543018580327,44.93361,1.4272714942330662,0.045190998620845635,False
15,23,control,8,1058.8886461345,46.68294,0.29444320831085863,0.04491966036305836,False
15,24,control,31,1294.492501523923,46.78632,1.4724624928539118,0.030285512735957143,False
15,25,control,7,1049.9047141198173,49.13014,0.24952354794780027,0.029130538982217125,False
15,26,control,32,1300.549604032058,49.89918,1.502748005589869,0.030285512735957143,False
15,27,control,6,1044.078606360941,53.33093,0.22039300896558314,0.029130538982217125,False
15,28,control,33,1309.6791020024139,54.36876,1.5483954957359864,0.045647490146117464,False
15,29,control,5,1035.6838403909287,57.67495,0.1784191788448721,0.04197383012071104,False
15,30,control,34,1318.8574998868467,57.94246,1.5942874854540647,0.045891989718078285,False
15,31,control,35,1328.0808992206335,58.50709,1.6404044824203639,0.0308614825518001,False
15,32,control,36,1334.2531956911942,60.96921,1.671265964972164,0.0308614825518001,False
15,33,control,4,1015.0016723324975,62.8021,0.07500833788591679,0.05000000812832775,False
15,34,control,3,1005.0016707713125,67.05149,0.025008329757589046,0.016683365901440952,False
15,35,control,2,1001.6649976125394,79.79773,0.008324963856148095,0.008324963856148095,False
15,36,control,37,1343.544199314727,80.76458,1.7177209833893727,0.04645501841720878,False
15,37,control,38,1365.9918009643009,83.1344,1.8299589923609596,0.04525948865274532,False
15,38,control,40,1384.140100467146,83.40041,1.9207004904602925,0.045482009446587535,False
15,39,control,41,1400.000002272822,83.43409,2.0,0.07929950953970755,False
15,40,control,39,1375.0436986364828,84.31633,1.875218481013705,0.04525948865274532,False
15,41,control,1,1000.0000048520458,86.17085,0.0,0.008324963856148095,False
20,1,thalweg,18,1173.3332953179477,31.47978,0.8666664805591837,0.03067044999515267,False
20,2,control,19,1182.6046021887876,31.91283,0.913023014623993,0.04635653406480933,False
20,3,control,21,1201.3565011033318,32.41587,1.006782508611401,0.04703702569528101,False
20,4,control,20,1191.949095905548,32.847,0.95974548291612,0.046722468292127006,False
20,5,control,22,1210.8185014688397,33.25107,1.0540925101435983,0.04731000153219722,False
20,6,control,23,1220.328004120067,33.80964,1.101640023102909,0.04754751295931081,False
20,7,control,17,1167.1992052806238,33.86564,0.835996030564031,0.03067044999515267,False
20,8,control,24,1229.8792011354203,34.59607,1.1493960078815495,0.03194049969576129,False
20,9,control,15,1149.0712036372518,35.03152,0.7453560229130098,0.04503748268191965,False
20,10,control,16,1158.0787002298669,37.11806,0.7903935055949295,0.04503748268191965,False
20,11,control,14,1127.7584982482952,37.2583,0.6387924966334716,0.04812451196998424,False
20,12,control,13,1118.1335957942129,37.35849,0.5906679846634874,0.04778450323709704,False
20,13,control,25,1236.2673011144516,37.62762,1.1813365075773108,0.03194049969576129,False
20,14,control,12,1108.5766950871325,38.7409,0.5428834814263903,0.04734788375011595,False
20,15,control,11,1099.1071182779935,42.39547,0.49553559767627436,0.03125600538978435,False
20,16,control,26,1256.926299836466,42.77927,1.284631500542542,0.04619953303890245,False
20,17,control,27,1266.1662065019284,44.46753,1.3308310335814444,0.04619953303890245,False
20,18,control,10,1092.8559171610123,45.33964,0.46427959228649,0.03125600538978435,False
20,19,control,9,1083.5995794882792,47.68809,0.4179979042117479,0.04531991624755832,False
20,20,control,28,1275.4592020978437,48.77095,1.3772960112709536,0.04646497768950919,False
20,21,control,30,1294.1843980604224,52.20464,1.4709219904993676,0.0469215122663551,False
20,22,control,29,1284.800095548568,52.24737,1.4240004782330125,0.04670446696205888,False
20,23,control,31,1303.6078959416225,52.27223,1.5180394796112273,0.03151253056200076,False
20,24,control,8,1074.5355961821838,52.93895,0.37267798796418955,0.04395991551802109,False
20,25,control,32,1309.9104020933673,55.13796,1.549552010173228,0.03151253056200076,False
20,26,control,33,1319.3918006489023,57.19481,1.596959002654955,0.04740699248172686,False
20,27,control,7,1065.7436130236938,57.94696,0.32871807244616846,0.04197387989351842,False
20,28,control,34,1328.9039005480518,60.60099,1.6445195018537961,0.0475604991988412,False
20,29,control,6,1057.348836992584,62.75126,0.28674419255265005,0.038976361671693965,False
20,30,control,5,1049.5535646095816,68.5235,0.24776783088095608,0.038976361671693965,False
20,31,control,35,1338.4442027960351,70.08551,1.6922210127959265,0.047701510942130376,False
20,32,control,4,1026.6666658692345,74.41138,0.13333333789360166,0.03333333766905398,False
20,33,control,36,1359.0110026542654,79.51547,1.7950550114451156,0.04651749078158751,False
20,34,control,3,1019.9999982938057,81.62229,0.10000000022454768,0.03333333766905398,False
20,35,control,37,1368.314500868662,83.57014,1.841572502226703,0.04651749078158751,False
20,36,control,38,1377.6535976065697,87.62481,1.8882679856247357,0.011732031251724173,False
20,37,control,2,1010.0000011972862,87.90988,0.050000015054085654,0.04999998517046202,False
20,38,control,39,1380.0000038715625,88.26798,1.90000001687646,0.011732031251724173,False
20,39,control,40,1389.9999975478804,88.91115,1.9499999849459144,0.0499999680694545,False
20,40,control,1,999.999998124042,90.19749,0.0,0.050000015054085654,True
20,41,control,41,1400.0000006211246,90.19749,2.0,0.05000001505408558,True
25,1,thalweg,18,1173.3333032317623,31.29371,0.8666665110064475,0.03067052805044279,False
25,2,control,19,1182.6046016840235,31.72419,0.9130230035136877,0.046356492507240166,False
25,3,control,21,1201.3565009241022,32.22426,1.0067825002115025,0.047037002850581766,False
25,4,control,20,1191.9491004038948,32.65284,0.9597454973609207,0.04672249384723304,False
25,5,control,22,1210.8185044199886,33.05452,1.0540925179419276,0.04731001773042509,False
25,6,control,23,1220.3280015777245,33.60979,1.1016400039828604,0.04754748604093284,False
25,7,control,17,1167.199197654217,33.66546,0.8359959829560047,0.03067052805044279,False
25,8,control,24,1229.8792037035826,34.39158,1.14939601486551,0.03194048335665767,False
25,9,control,15,1149.0712019093914,34.82446,0.7453560037510061,0.045037479437134986,False
25,10,control,16,1158.078697749031,36.89866,0.7903934831881411,0.045037479437134986,False
25,11,control,14,1127.7585008911312,37.03807,0.638792498094355,0.0481244951643508,False
25,12,control,13,1118.133601909324,37.13766,0.5906680029300042,0.04778448617375952,False
25,13,control,25,1236.2673003410234,37.40521,1.1813364982221677,0.03194048335665767,False
25,14,control,12,1108.576704725274,38.5119,0.5428835167562447,0.04734793242621199,False
25,15,control,11,1099.1071182902706,42.14488,0.4955355843300327,0.031255991854215626,False
25,16,control,26,1256.9262977267872,42.5264,1.2846314856989962,0.04619952950203543,False
25,17,control,27,1266.166203578174,44.20468,1.3308310152010316,0.04619952950203543,False
25,18,control,10,1092.8559199525919,45.07164,0.46427959247581707,0.031255991854215626,False
25,19,control,9,1083.5995819813372,47.40621,0.4179979023740062,0.04531991259074175,False
25,20,control,28,1275.4592045140662,48.48267,1.377296020127003,0.04646500492597139,False
25,21,control,30,1294.1843997455237,51.89606,1.4709219967810034,0.046921533968883544,False
25,22,control,29,1284.8000930015335,51.93854,1.42400046281212,0.046704442685116865,False
25,23,control,31,1303.607897100524,51.96325,1.5180394838059768,0.03151254136654846,False
25,24,control,8,1074.535599511276,52.62603,0.37267798978326444,0.043959964205590396,False
25,25,control,32,1309.9104053403971,54.81205,1.5495520251725252,0.03151254136654846,False
25,26,control,33,1319.391798133848,56.85673,1.596958989391287,0.04740696421876178,False
25,27,control,7,1065.7436067168019,57.60444,0.32871802557767404,0.04197381909409409,False
25,28,control,34,1328.9038990580493,60.24278,1.644519494264616,0.04756050487332897,False
25,29,control,6,1057.3488429425197,62.38034,0.28674420648357996,0.03897643697625841,False
25,30,control,5,1049.5535555886242,68.11846,0.24776776950732154,0.03897643697625841,False
25,31,control,35,1338.4441985927847,69.67124,1.692220992191363,0.04770149792674694,False
25,32,control,4,1026.6666706103235,73.97154,0.1333333440087105,0.03333335942326335,False
25,33,control,36,1359.0109996923863,79.04546,1.7950549982349353,0.04651752730232461,False
25,34,control,3,1019.9999987610395,81.13982,0.09999998458544715,0.03333335942326335,False
25,35,control,37,1368.3145051034935,87.10686,1.84157252553726,0.04651752730232461,False
25,36,control,2,1009.9999937109175,87.39025,0.049999959069572594,0.049999959069572594,False
25,37,control,38,1377.6536041824668,87.74623,1.8882680211798593,0.011731994234695842,False
25,38,control,39,1380.0000030169576,88.3856,1.900000015414555,0.011731994234695842,False
25,39,control,1,1000.0000019500558,89.02497,0.0,0.049999959069572594,True
25,40,control,40,1389.999994777819,89.02497,1.949999974484126,0.049999959069571,True
25,41,control,41,1399.9999998279409,89.66434,2.0,0.0500000255158739,False
30,1,thalweg,20,1186.6667017103593,31.93508,0.933333507790559,0.04999998159695984,False
30,2,control,12,1106.6667037046036,32.16784,0.5333335251110661,0.04999998159695995,False
30,3,control,19,1176.6666965469808,32.20723,0.8833334828923275,0.04999998159695995,False
30,4,control,13,1116.6667002077277,32.22322,0.5833335067080261,0.04999998159695995,False
30,5,control,21,1196.6666982134834,33.42617,0.9833334893875189,0.04999998159695984,False
30,6,control,22,1206.6667033768617,34.07671,1.0333335142857492,0.049999981596960064,False
30,7,control,11,1096.6666625604632,35.13964,0.4833333203090288,0.04999995659695983,False
30,8,control,14,1126.666696710852,35.39424,0.633333488304987,0.04999998159696095,False
30,9,control,18,1166.6667000438567,35.7078,0.8333335012953675,0.04999998159695984,False
30,10,control,10,1086.6666710573393,36.48688,0.433333363712069,0.033333337731307366,False
30,11,control,23,1216.6666998799858,37.82332,1.0833334958827092,0.049999981596960064,False
30,12,control,9,1080.0000033885897,38.28703,0.4000000259807616,0.033333337731307366,False
30,13,control,17,1156.6667035407327,39.95122,0.7833335196984077,0.04999998159695984,False
30,14,control,15,1136.6667018742303,40.49754,0.6833335132032174,0.04999998159695984,False
