elevation_rank,path_type,candidate,increment_ara,local_positive,local_negative,local_score,local_sign,parent_positive,parent_negative,parent_score,parent_sign,local_score_rank_within_candidate,parent_score_rank_within_candidate
1,thalweg,persistence,0.0,0.16663504415107977,0.16663504415107977,0.16663504415107977,+,0.2663895341852909,0.2663895341852909,0.2663895341852909,+,24.0,16.0
1,thalweg,one_third,0.6666666666666666,0.6668666714504718,0.6664666618828614,0.6664666618828614,-,0.5523108428834673,0.5783808457145418,0.5523108428834673,+,34.0,36.0
1,thalweg,one_over_e,0.7357588823428847,0.7357588823428847,0.6975406638899582,0.6975406638899582,-,0.5379103269423147,0.5288821992056747,0.5288821992056747,-,17.0,37.0
1,thalweg,three_eighths,0.75,0.75,0.7108373268899957,0.7108373268899957,-,0.49960003610855597,0.4836104658147087,0.4836104658147087,-,17.0,27.0
1,thalweg,fibonacci_8_21,0.7619047619047619,0.7619047390666788,0.7227420887947575,0.7227420887947575,-,0.47579051229903224,0.5454306218552416,0.47579051229903224,+,18.0,22.0
1,thalweg,phi,0.7639320225002103,0.7634813143332192,0.7247693493902059,0.7247693493902059,-,0.47173599110813513,0.5365563401056961,0.47173599110813513,+,18.0,16.0
1,thalweg,two_fifths,0.8,0.768306802472293,0.7608373268899957,0.7608373268899957,-,0.5196153751021089,0.4635979854752945,0.4635979854752945,-,25.0,21.0
1,thalweg,silver_conjugate,0.8284271247461903,0.7967339272184832,0.789264451636186,0.789264451636186,-,0.5843864120536841,0.5515484071312383,0.5515484071312383,-,31.0,39.0
1,thalweg,ridge,1.0,0.8333649558489202,0.8333649558489202,0.8333649558489202,+,0.4666374059622511,0.4666374059622511,0.4666374059622511,+,18.0,6.0
2,control,persistence,0.0,0.18077265747749194,0.18077265747749194,0.18077265747749194,+,0.21196992302072548,0.21196992302072548,0.21196992302072548,+,27.0,10.0
2,control,one_third,0.6666666666666666,0.6666666666666665,0.666666656763253,0.666666656763253,-,0.5774623220967439,0.5774623220967439,0.5774623220967439,+,37.0,37.0
2,control,one_over_e,0.7357588823428847,0.7357588823428847,0.7357588724394711,0.7357588724394711,-,0.5097521186804478,0.5619400812692237,0.5097521186804478,+,37.0,33.0
2,control,three_eighths,0.75,0.7490816661384849,0.7499999900965865,0.7490816661384849,+,0.5365973706397116,0.5853326455790251,0.5365973706397116,+,35.0,38.0
2,control,fibonacci_8_21,0.7619047619047619,0.7562605995806609,0.7619047520013483,0.7562605995806609,+,0.5450068595362896,0.48966448323280054,0.48966448323280054,-,33.0,28.0
2,control,phi,0.7639320225002103,0.7582878601761094,0.7639320125967967,0.7582878601761094,+,0.5493499617504074,0.4990358857295014,0.4990358857295014,-,33.0,34.0
2,control,two_fifths,0.8,0.7943558376758991,0.7825800091159096,0.7825800091159096,-,0.47721400675082815,0.434941498360886,0.434941498360886,-,33.0,13.0
2,control,silver_conjugate,0.8284271247461903,0.7953328209091853,0.7856067456867493,0.7856067456867493,-,0.5460107642337837,0.5529866562555215,0.5460107642337837,+,29.0,38.0
2,control,ridge,1.0,0.8192273425225081,0.8192273425225081,0.8192273425225081,+,0.5150642647858865,0.5150642647858865,0.5150642647858865,+,15.0,19.0
3,control,persistence,0.0,0.19144601011333612,0.19144601011333612,0.19144601011333612,+,0.2279624896343141,0.2279624896343141,0.2279624896343141,+,29.0,12.0
3,control,one_third,0.6666666666666666,0.6666666784810671,0.6580434232115596,0.6580434232115596,-,0.42680536502701916,0.43870417703235176,0.42680536502701916,+,22.0,15.0
3,control,one_over_e,0.7357588823428847,0.7357588941572851,0.7271356388877778,0.7271356388877778,-,0.502971608347097,0.5368113998297117,0.502971608347097,+,29.0,29.0
