condition,track_id,particle_id,frame,time_s,x_px,z_px,ara_x,ara_y,dominance,sector
low,low:1555,1555,-81,-0.81,1270.952339385475,-62.34104399441341,0.9589090367090811,1.036932541305241,0.00415842198567784,Ba
low,low:1555,1555,-77,-0.77,1262.898182160686,-62.21446736366205,0.8688152573124098,1.000093598560697,0.13109114412689327,Ba
low,low:1555,1555,-73,-0.73,1254.466216975829,-62.05744800449691,1.133370381196063,1.0376712540590012,0.09569912713706175,Ab
low,low:1555,1555,-69,-0.69,1245.235864297254,-62.07292868682207,1.0366201834933249,1.0430563868748834,-0.006436203381558592,Ab
low,low:1555,1555,-64,-0.64,1235.154712362301,-62.07270501835985,0.906152218670269,1.0107014849706921,0.08314629635903892,Ba
low,low:1555,1555,-60,-0.6,1226.649281466799,-61.87834489593657,0.9479180753652972,1.0058405291919346,0.046241395442768285,Ba
low,low:1555,1555,-56,-0.56,1218.413397706699,-61.98805069402535,1.012063371199897,1.03272298829445,-0.020659617094552996,Ab
low,low:1555,1555,-51,-0.51,1207.934881900039,-61.47422680412371,1.0179145777824186,0.9832430757088667,0.001157653491285271,aB
low,low:1555,1555,-47,-0.47,1199.806748466258,-61.13859453430005,1.101786040085444,0.9369754039063326,0.03876144399177661,aB
low,low:1555,1555,-43,-0.43,1191.93623032423,-60.80667294497511,1.017072150252171,1.0122156711469725,0.004856479105198375,Ab
low,low:1555,1555,-38,-0.38,1182.584947735192,-59.9993031358885,0.751596787818009,1.0707766893472352,0.17762652283475577,Ba
low,low:1555,1555,-34,-0.34,1174.225315834662,-58.92935115908254,0.8142271858040815,1.0025272093512239,0.18324560484469465,Ba
low,low:1555,1555,-30,-0.3,1165.241975927783,-58.00012537612839,0.9420594946729587,0.9712794543364797,0.029219959663520978,bA
low,low:1555,1555,-25,-0.25,1154.537977174341,-56.75364029909485,1.0027660935071043,0.9566983742174898,-0.04053553227540585,aB
low,low:1555,1555,-21,-0.21,1145.33325424131,-55.18151619409183,1.0542699225243144,0.9672465052967726,0.02151642782108698,aB
low,low:1555,1555,-17,-0.17,1135.522485778684,-53.64720403563379,1.102820383740349,0.9970631985413452,0.09988358228169414,aB
low,low:1555,1555,-12,-0.12,1122.282162905258,-51.0850040096231,0.9991382794979021,1.0324584628936058,-0.03159674239150789,Ba
low,low:1555,1555,-8,-0.08,1110.050653983353,-48.9294887039239,1.0020272921709004,0.9789602865867016,-0.019012421242397992,aB
low,low:1555,1555,-4,-0.04,1095.277479237909,-46.93539325842697,0.957045705998718,1.0247560447386845,0.0181982492625975,Ba
low,low:1555,1555,0,0.0,1076.600089665994,-45.92333557498318,1.05030891733744,1.01989476191562,0.03041415542182002,Ab
