condition,sector,events,share_nonboundary
low,Ba,204803,0.24795362560277395
low,Ab,225153,0.2725912348224458
low,bA,197483,0.23909135044365856
low,aB,198534,0.24036378913112172
low,boundary,2225,
medium,Ba,228129,0.2561296001473035
medium,Ab,233957,0.2626729300600217
medium,bA,211258,0.23718785015460134
medium,aB,217334,0.24400961963807347
medium,boundary,10208,
high,Ba,286438,0.2574122002947626
high,Ab,293709,0.2639464035371509
high,bA,264614,0.23779970523742766
high,aB,267999,0.2408416909306589
high,boundary,5179,
