window,condition,closure_class,class_name,windows,tracks,directness,turn_consistency,circularity,connection_info_nats,movement_info_nats
8,high,0,low-order closure,827450,1708,0.9798696225039281,0.2524023989839772,0.007072611781089879,0.7987828277522023,
8,high,2,random-like,4249,492,0.6871728701887831,0.2540226063730647,0.08524906872223188,0.758936633155406,
8,high,3,unclassified,238360,1114,0.916199527939327,0.24566889578192727,0.025215278240757706,0.8115542384995752,
8,low,0,low-order closure,672437,1800,0.9736982756085805,0.32384510552011525,0.013716567469872017,0.8427281948451542,
8,low,2,random-like,6032,703,0.585963648286192,0.2368534599294258,0.10529466974987543,0.7984392654659773,
8,low,3,unclassified,46966,1357,0.7586556271392797,0.2878839330873135,0.08280521321977156,0.8054134748277743,
8,medium,0,low-order closure,663817,1857,0.9765979440471845,0.296856605748858,0.01067282768108531,0.8108042349498815,
8,medium,2,random-like,3019,416,0.6259873895971959,0.2519271611280535,0.10169576418416641,0.7498352153208633,
8,medium,3,unclassified,157200,1226,0.8963601794734753,0.2848361504696583,0.0361479054835229,0.8181331699574275,
15,high,0,low-order closure,793748,1708,0.9679065373220145,0.1822192577437147,0.008926845883883192,0.4612315432260838,-0.00013895606472418573
15,high,1,structured non-closing,3151,491,0.6031429584860404,0.5858449957226155,0.24064432782708245,0.5387225045305322,0.0007553427444410231
15,high,2,random-like,3140,275,0.595944357457142,0.2038382344845013,0.08390407503483557,0.3787137088223395,0.006339245487137211
15,high,3,unclassified,237557,1023,0.8872932012348208,0.18029047662435077,0.025667602510735153,0.4656868169832997,0.0008343657967201918
15,low,0,low-order closure,600506,1800,0.9559042882970148,0.24216409417630896,0.017561884124846057,0.49158482339061366,0.0012255152996573076
15,low,1,structured non-closing,8641,845,0.5727928889055467,0.6766166896280292,0.29567373572455474,0.6165336677305842,0.002465103080066528
15,low,2,random-like,4159,372,0.5038121755626109,0.17178668827289292,0.08880822123168465,0.4560611578460824,0.0038970875040439555
15,low,3,unclassified,44937,1152,0.7119023453555787,0.20814124423523567,0.06944067880374333,0.46384416602468653,0.0046263608093257275
15,medium,0,low-order closure,618971,1857,0.9602666237754566,0.22385713394218523,0.014457497179717886,0.45824917140888566,0.00012205756489019243
15,medium,1,structured non-closing,5069,619,0.5922917170941013,0.6443578454526386,0.26753208101843773,0.5979305522081267,4.906236106312526e-05
15,medium,2,random-like,1854,200,0.5422821007277422,0.1882677864839045,0.08841986531082136,0.4016191114360241,-0.004030054250829457
15,medium,3,unclassified,154715,1074,0.8539212138307392,0.21911904480489122,0.039505769197443155,0.4629203032192382,0.0007570704164604659
30,high,0,low-order closure,722476,1708,0.9396739916238266,0.13959160261920264,0.012515542668296959,0.26349684506247256,
30,high,1,structured non-closing,12919,758,0.6226224064580109,0.385752709828793,0.14682563770441218,0.28965081445946744,
30,high,2,random-like,1466,91,0.5042626526385207,0.1415975936469531,0.07204483774046924,0.1760223448046642,
30,high,3,unclassified,233013,918,0.8332414432725033,0.14043401736932162,0.029030147903033616,0.2662793443396238,
30,low,0,low-order closure,476527,1800,0.923121890920889,0.1668692877275249,0.01968745274349543,0.2789607211184276,
30,low,1,structured non-closing,26020,1017,0.5642523932031647,0.4849311242200611,0.21136978902462314,0.309339059755417,
30,low,2,random-like,1485,105,0.4321219218647101,0.12430693467592517,0.07308532760348607,0.27512463865565334,
30,low,3,unclassified,37752,856,0.6462605398532549,0.15065812602049425,0.05883571576501915,0.273964582604367,
30,medium,0,low-order closure,526944,1857,0.9222931215019604,0.17594337822228615,0.021683266712382864,0.24480510558399168,
30,medium,1,structured non-closing,21211,859,0.6098578006455172,0.4644068866751405,0.18023766394758137,0.29792939679327607,
30,medium,2,random-like,614,39,0.4450641140556767,0.13790968101546697,0.07707034911571779,0.25012807061679254,
30,medium,3,unclassified,148745,909,0.7733452513357775,0.17621607707968298,0.04784601470735431,0.25860323053283424,
