window,condition,closure_class,class_name,windows,tracks,directness,turn_consistency,circularity,connection_info_nats,movement_info_nats
8,high,0,low-order closure,2297940,1800,0.9433364441695046,0.6088076367524486,0.049749237719525406,1.290177857044164,
8,high,2,random-like,11020,1025,0.4911737922644463,0.3458531243044873,0.1752642870739605,0.6768055943584694,
8,high,3,unclassified,576396,1471,0.6176461768731349,0.6860436822334233,0.2872898296628555,0.7118536989969624,
8,low,0,low-order closure,2111575,1800,0.9370958069838631,0.5488820484547783,0.05479780360642177,1.1951072064925103,
8,low,2,random-like,8286,903,0.49754002524693575,0.3130924474612204,0.15724788688832103,0.6749155574723925,
8,low,3,unclassified,532416,1463,0.622610098933544,0.6818433263007931,0.2815455672711209,0.7248807264637431,
8,medium,0,low-order closure,2189144,1800,0.9410809739487999,0.581486483119853,0.051375165511779904,1.2415838531388388,
8,medium,2,random-like,8488,911,0.49725602983688016,0.33141703175004716,0.17001577918532074,0.6694126245901071,
8,medium,3,unclassified,536290,1467,0.6188139950551482,0.6874309657815468,0.28618311853692946,0.7160507001816764,
15,high,0,low-order closure,2227347,1800,0.8782791950011194,0.5564941312523325,0.09297053256590947,0.9047469606227102,2.2687473527810538e-05
15,high,1,structured non-closing,66650,1516,0.5857891795746697,0.7971134173239963,0.33414614178089636,0.9354207337399496,0.0004001741110668219
15,high,2,random-like,5532,466,0.3814535628269475,0.2252358605739157,0.14038811965608022,0.33936858178758267,0.0002613487663092447
15,high,3,unclassified,573227,1331,0.5474294551969034,0.48507370230049085,0.22095392478389192,0.34054419838985706,1.1632793720057261e-05
15,low,0,low-order closure,2043843,1800,0.8670198780469097,0.5063899303251777,0.09943083512234556,0.8086355294968598,1.7495585190240884e-05
15,low,1,structured non-closing,79327,1491,0.5887378416525401,0.7829934547730455,0.32505250758843,0.8552700872482647,0.0003802031359357904
15,low,2,random-like,3385,322,0.3953487810921054,0.18986869874121445,0.11316710854982924,0.3453085317439574,0.000379484665278963
15,low,3,unclassified,513123,1307,0.5594988828026919,0.4838776159959266,0.2139302763714222,0.35679411703914915,2.1763122496331034e-06
15,medium,0,low-order closure,2106392,1800,0.8786700864549993,0.5214396096603342,0.09013393017497569,0.8548301089826491,3.246610418758286e-05
15,medium,1,structured non-closing,77376,1498,0.5887396501218096,0.7978997536321034,0.3322483873935132,0.9115554449234855,0.00036610298932138386
15,medium,2,random-like,3402,332,0.3740386819097133,0.21855910873672713,0.139564403900224,0.3364369026667286,0.0005617386013088214
15,medium,3,unclassified,534152,1309,0.556842030672739,0.48615677540096663,0.21672194433880274,0.34627055133518875,-4.7508424770469856e-05
30,high,0,low-order closure,2226542,1800,0.7849328099919909,0.43162454882795326,0.10590423293960008,0.6061868511641106,
30,high,1,structured non-closing,179662,1572,0.5799382774377719,0.6446594485732141,0.272318852679914,0.6412117171229074,
30,high,2,random-like,2838,75,0.2916912906151246,0.18477125614413606,0.13043256996833555,0.11912280125424649,
30,high,3,unclassified,436715,1235,0.4456371948250501,0.3229974588590575,0.18159429528379592,0.16109569485763528,
30,low,0,low-order closure,2055973,1800,0.7690627829018108,0.4031462371617085,0.11131261556218666,0.5313916716730364,
30,low,1,structured non-closing,207939,1550,0.5725640624491242,0.6145631066454148,0.2616962761214476,0.5380593016335218,
30,low,2,random-like,1330,42,0.28436547054243133,0.12913331014352183,0.09166546917753772,0.15461145669260046,
30,low,3,unclassified,347433,1213,0.4611678123020272,0.3139506291988216,0.17029678574696006,0.17779976288220717,
30,medium,0,low-order closure,2106127,1800,0.7920918713693518,0.4063802528546953,0.09945251780359106,0.5673985705486568,
30,medium,1,structured non-closing,203320,1570,0.5885336527152014,0.6348340633281206,0.2630433146263353,0.604743009099945,
30,medium,2,random-like,1865,45,0.27204130971854074,0.17152641077541966,0.12974301905467003,0.15513089184823747,
30,medium,3,unclassified,383010,1215,0.4621065030057342,0.3200525959364882,0.173843399137707,0.16998668631956423,
