order,block,x,z,condition,track_id,run_id,centre_frame,window,score
0,0,0.0,0.0,low,low:809,low:809:2,208,15,0.9168597846639082
1,0,0.03233113351986422,-2.1034515024285177e-18,low,low:809,low:809:2,208,15,0.9168597846639082
2,0,0.05591115899701489,-0.003219722061525253,low,low:809,low:809:2,208,15,0.9168597846639082
3,0,0.08571524902995957,-0.002812278320148264,low,low:809,low:809:2,208,15,0.9168597846639082
4,0,0.1093200055175292,-0.007795926859483009,low,low:809,low:809:2,208,15,0.9168597846639082
5,0,0.13251936284930177,-0.0065684965431846406,low,low:809,low:809:2,208,15,0.9168597846639082
6,0,0.15424223555146727,-0.005938336433716131,low,low:809,low:809:2,208,15,0.9168597846639082
7,0,0.1761786490528632,-0.0046985418095970575,low,low:809,low:809:2,208,15,0.9168597846639082
8,0,0.19312811180443074,-0.008371122980967597,low,low:809,low:809:2,208,15,0.9168597846639082
9,0,0.21673474675974008,-0.01305621858109735,low,low:809,low:809:2,208,15,0.9168597846639082
10,0,0.23003220033491134,-0.022890814040794898,low,low:809,low:809:2,208,15,0.9168597846639082
11,0,0.2532759933507285,-0.03320534521975635,low,low:809,low:809:2,208,15,0.9168597846639082
12,0,0.27148690472851983,-0.039589924828215974,low,low:809,low:809:2,208,15,0.9168597846639082
13,0,0.27984945903283165,-0.039974475691294586,low,low:809,low:809:2,208,15,0.9168597846639082
14,0,0.28360948539042474,-0.04030673860819215,low,low:809,low:809:2,208,15,0.9168597846639082
15,1,0.28398175854116464,-0.03885848699743063,low,low:809,low:809:2,208,15,0.9168597846639082
16,1,0.27681303298359955,-0.032510019917392725,low,low:809,low:809:2,208,15,0.9168597846639082
17,1,0.26332025558506694,-0.024655014660315284,low,low:809,low:809:2,208,15,0.9168597846639082
18,1,0.2507810289706461,-0.0203253622473498,low,low:809,low:809:2,208,15,0.9168597846639082
19,1,0.23679283439981663,-0.014587031308600893,low,low:809,low:809:2,208,15,0.9168597846639082
20,1,0.21909838718769573,-0.017122048974381285,low,low:809,low:809:2,208,15,0.9168597846639082
21,1,0.2062599898111981,-0.023489068344019627,low,low:809,low:809:2,208,15,0.9168597846639082
22,1,0.2038292704349357,-0.0342375745852266,low,low:809,low:809:2,208,15,0.9168597846639082
23,1,0.20763079407948767,-0.050393976583596074,low,low:809,low:809:2,208,15,0.9168597846639082
24,1,0.22103109338275048,-0.06346926262972764,low,low:809,low:809:2,208,15,0.9168597846639082
25,1,0.24242777099777452,-0.07250966781919356,low,low:809,low:809:2,208,15,0.9168597846639082
26,1,0.2545076682879051,-0.070653766153023,low,low:809,low:809:2,208,15,0.9168597846639082
27,1,0.27227756985602924,-0.06542842217818075,low,low:809,low:809:2,208,15,0.9168597846639082
28,1,0.2794852528376624,-0.06098771950416283,low,low:809,low:809:2,208,15,0.9168597846639082
29,1,0.29152452552470687,-0.05424054437563453,low,low:809,low:809:2,208,15,0.9168597846639082
30,2,0.2949095511275196,-0.03822598910811983,low,low:809,low:809:2,208,15,0.9168597846639082
31,2,0.2986703957604076,-0.02622320075333736,low,low:809,low:809:2,208,15,0.9168597846639082
32,2,0.311431323838078,-0.01657836330711591,low,low:809,low:809:2,208,15,0.9168597846639082
33,2,0.3230212841422945,-0.002095921698219319,low,low:809,low:809:2,208,15,0.9168597846639082
34,2,0.33544088661531785,0.011781249825634079,low,low:809,low:809:2,208,15,0.9168597846639082
35,2,0.3491460239793083,0.03239034004284747,low,low:809,low:809:2,208,15,0.9168597846639082
36,2,0.35861539229051564,0.0531325423509636,low,low:809,low:809:2,208,15,0.9168597846639082
37,2,0.36095596741469554,0.08313683654974388,low,low:809,low:809:2,208,15,0.9168597846639082
38,2,0.3558585415152612,0.115981846132568,low,low:809,low:809:2,208,15,0.9168597846639082
39,2,0.3588078581585542,0.15121907939083484,low,low:809,low:809:2,208,15,0.9168597846639082
40,2,0.3493038897084755,0.1866329472097856,low,low:809,low:809:2,208,15,0.9168597846639082
41,2,0.34350645878373015,0.22938427577635664,low,low:809,low:809:2,208,15,0.9168597846639082
42,2,0.32906570556311127,0.2683673709581206,low,low:809,low:809:2,208,15,0.9168597846639082
43,2,0.31315542736385094,0.310776107160274,low,low:809,low:809:2,208,15,0.9168597846639082
44,2,0.29650616213873726,0.3512297933435309,low,low:809,low:809:2,208,15,0.9168597846639082
45,2,0.24958410404598216,0.3878888421923797,low,low:809,low:809:2,208,15,0.9168597846639082
