window,component,eligible,estimate,ci_low,ci_high,anchors,tracks,condition_positive,bootstraps,broken_null_median,broken_null_q99,broken_p_one_sided,permutations,circle_anchors,crooked_anchors
8,s_build,True,-0.07809616429094143,-0.0877857614560737,-0.06842365774465758,22605.0,4075,0,2000,,,,,,
8,s_release,True,-0.1003791465993368,-0.11130356534686463,-0.09021346878474919,22605.0,4075,0,2000,,,,,,
8,s_peak,True,-0.08923765544513912,-0.09762653281026874,-0.08123565075676285,22605.0,4075,0,2000,,,,,,
8,rho_in,True,-0.054431047252079964,-0.06696280696986452,-0.04110680124744433,22603.0,4075,0,2000,-0.01565354901463143,0.0001460353546549374,1.0,1000.0,,
8,rho_out,True,-0.037905231280502376,-0.050550047230813605,-0.024742147956722492,22603.0,4075,0,2000,-0.0018220193909382386,0.012050254489443081,1.0,1000.0,,
8,circle_minus_crooked_s_peak,True,0.15438207641114687,0.13762641804430842,0.17063680803883877,,4109,3,2000,,,,,22605.0,2931.0
15,s_build,True,-0.005643905862470402,-0.017039155726473743,0.006178041172320243,9072.0,3622,2,2000,,,,,,
15,s_release,True,0.007903537208362765,-0.004389323652283456,0.020182755494897446,9072.0,3622,1,2000,,,,,,
15,s_peak,True,0.0011298156729461796,-0.009023259555924305,0.011100009547861774,9072.0,3622,1,2000,,,,,,
15,rho_in,True,-0.08997741175494683,-0.11005091153015754,-0.06781056088059934,9070.0,3622,0,2000,-0.05065606873265343,-0.02525341443212023,1.0,1000.0,,
15,rho_out,True,-0.10635650259885211,-0.1278065009170949,-0.08403006544812477,9070.0,3622,0,2000,-0.05146736305270617,-0.026554632688460672,1.0,1000.0,,
15,circle_minus_crooked_s_peak,True,0.214743385599756,0.19869600919020466,0.2313353096978368,,3905,3,2000,,,,,9072.0,2996.0
30,s_build,True,0.09607653084900197,0.07791522289482149,0.11376704650238777,2168.0,1601,3,2000,,,,,,
30,s_release,True,0.12361414811693652,0.10442359558167179,0.14221598964688892,2168.0,1601,3,2000,,,,,,
30,s_peak,True,0.10984533948296925,0.09434723213116582,0.12541473284538993,2168.0,1601,3,2000,,,,,,
30,rho_in,True,-0.10546537006828305,-0.1470151335122226,-0.06525651529392276,2163.0,1599,0,2000,-0.10066224718514359,-0.054319517573295235,0.5964035964035964,1000.0,,
30,rho_out,True,-0.14954524684172718,-0.18977997405514208,-0.10709068344623757,2163.0,1599,0,2000,-0.12173146270509319,-0.07793007804614473,0.922077922077922,1000.0,,
30,circle_minus_crooked_s_peak,True,0.25831678681768727,0.23851239069166938,0.2793005148470619,,2500,3,2000,,,,,2168.0,1870.0
