permutation,wrong_lineage_persistence,max_steering_improvement,max_reverse_improvement,loss_lambda_0,reverse_loss_lambda_0,loss_lambda_0.25,reverse_loss_lambda_0.25,loss_lambda_0.5,reverse_loss_lambda_0.5,loss_lambda_0.75,reverse_loss_lambda_0.75,loss_lambda_1,reverse_loss_lambda_1
0,0.07769660626654586,-0.0016981853796624868,-0.007595060555528166,1.0129406724233436,1.0129406724233436,1.0146388578030061,1.0205357329788718,1.0232851070315538,1.0328487169243976,1.031284307675901,1.041066898408857,1.0307280848157558,1.0376225481200967
1,0.06981652304857869,0.005397158052326878,-0.002604576783364898,1.0129406724233436,1.0129406724233436,1.0130024869842735,1.017099645839792,1.0155116254960204,1.0225623290012407,1.0153150913642461,1.0235926645109004,1.0075435143710167,1.0155452492067085
2,0.05627173065860664,-0.0015663727102441793,-0.0044742540088791305,1.0129406724233436,1.0129406724233436,1.0145070451335878,1.0174149264322228,1.0205963084004843,1.024920040010453,1.0261311027009783,1.0297668566924643,1.0256597175606454,1.0271616022435666
3,0.06271269399414518,0.0016639057938570012,-0.0020775528607344107,1.0129406724233436,1.0129406724233436,1.0140602163645822,1.015018225284078,1.0165538476003677,1.0190132472749425,1.016668868652735,1.0214452714280362,1.0112767666294866,1.0190193531329401
4,0.05879498408496348,-0.0028689374149970526,-0.001992587071466989,1.0129406724233436,1.0129406724233436,1.0158096098383407,1.0149332594948106,1.021561370985317,1.0193348250449077,1.0251543662373843,1.020854877043743,1.0219151594126623,1.0149723571334075
5,0.0560174874970444,0.011450302213154906,0.006065321430184678,1.0129406724233436,1.0129406724233436,1.012038387047094,1.0145455524251925,1.0111398939538536,1.0155729173392758,1.0081989202009518,1.0136022141820964,1.0014903702101887,1.006875350993159
6,0.059917951226572175,0.0028766043252581586,-0.009056809806147204,1.0129406724233436,1.0129406724233436,1.0100640680980855,1.0219974822294908,1.0132703214345407,1.0324472905526763,1.0180312955222683,1.0372732956805573,1.0185527556656395,1.0315025024519626
7,0.06347180841672452,0.014619725848556198,0.014215833152773527,1.0129406724233436,1.0129406724233436,1.0128813260686917,1.0117588437280634,1.0108744089254507,1.0093087113416617,1.0060444306435892,1.0050490529523817,0.9983209465747874,0.9987248392705701
8,0.05117004586517913,0.0006196426283933132,0.00026496597118441656,1.0129406724233436,1.0129406724233436,1.0146132655411075,1.013645666079305,1.016984038346455,1.015782242797099,1.0169624098652754,1.0164108111468309,1.0123210297949503,1.0126757064521592
9,0.07028166623785247,-0.006194479902869698,-0.0015277977862098169,1.0129406724233436,1.0129406724233436,1.0191351523262133,1.0144684702095534,1.0287154967314944,1.0221278881772051,1.034045099849892,1.0295745965448826,1.0290715142963809,1.029899531135151
10,0.041820307198153724,-0.003033230038252288,-0.0023025582698166236,1.0129406724233436,1.0129406724233436,1.015973902461596,1.0152432306931602,1.0215490987879525,1.0209647863248605,1.0239002602819167,1.024820433169125,1.0180620741524717,1.021739141519363
11,0.050749431683564133,-0.004427562923505546,-0.00027909254025715313,1.0129406724233436,1.0129406724233436,1.0173682353468492,1.0132197649636008,1.0238774792482157,1.0167900291340628,1.0273616079393413,1.0192890224313915,1.0235099757432415,1.0164412968178027
12,0.07765431142283355,-0.0029210391053253737,-0.0038898933732920415,1.0129406724233436,1.0129406724233436,1.015861711528669,1.0168305657966357,1.0229922099060254,1.0249081732586651,1.028206490774407,1.0309501499300266,1.025844014337057,1.029091611377133
13,0.04829006114388728,0.00951652697288452,0.00484079661189174,1.0129406724233436,1.0129406724233436,1.015511816179141,1.0125573472898566,1.0173904178311555,1.013892256602977,1.0142444405865558,1.0136215311390018,1.003424145450459,1.0080998758114519
14,0.04761834208635802,-2.1511010395824925e-05,-0.004720450703722179,1.0129406724233436,1.0129406724233436,1.0129621834337394,1.0176611231270658,1.01675955613306,1.0237047793731748,1.019849424423781,1.0253562401135863,1.017419940242269,1.0184241555092337
15,0.05782583669507576,0.017118630654938793,0.020110466579252195,1.0129406724233436,1.0129406724233436,1.0125491404324671,1.0119431089142013,1.01027028624752,1.0088780471444894,1.0048974628101663,1.0025930707016386,0.9958220417684048,0.9928302058440914
16,0.060777684634308465,-0.004542567693079036,-0.002688333259287301,1.0129406724233436,1.0129406724233436,1.0174832401164227,1.015629005682631,1.025403500519013,1.0235339847653768,1.0293798175336268,1.030124689672308,1.0233553276266956,1.02859265115616
17,0.05757185369775108,0.010896807099211037,0.009999008684444144,1.0129406724233436,1.0129406724233436,1.012200054156581,1.0137695462645404,1.0111530087094818,1.013488670930085,1.0082188403590868,1.0102056294432253,1.0020438653241326,1.0029416637388995
18,0.05865959468586308,0.0123924500708128,0.002837503935159136,1.0129406724233436,1.0129406724233436,1.0101149043002111,1.015912505219673,1.0076029599439407,1.017585085426487,1.00462547023799,1.0159996484099194,1.0005482223525308,1.0101031684881845
