population,split,n,n_contraction,n_expansion,s_minus,s_plus,product,implied_alpha,endpoint_loss
field,calibration,410,202,206,0.923793734651478,1.1123930560646635,1.0276217356623465,1.0973394538133465,0.013621530335480227
field,evaluation,410,219,191,0.9196818882425467,1.1358469774170774,1.044617892945527,1.1113250313202314,0.0218255829329125
field,holdout,451,204,210,0.894165532086547,1.0962598401782628,0.9802377632981094,1.107257786625585,0.009982384743980041
field,pooled,1271,625,607,0.91720150155694,1.1066346650101329,1.0150069764222551,1.098423350381128,0.007447742896274187
thalweg,calibration,10,5,5,0.9488516256177025,1.014066695611698,0.9621988326159315,1.033794237069256,0.059652812473304874
thalweg,evaluation,10,5,5,0.9125319762393168,1.1358469774170774,1.0364966870078602,1.115670288578966,0.01792322828117837
thalweg,holdout,11,4,6,0.9140681296112654,1.0913939200794256,0.9976083991961074,1.0926950327172518,0.004241420020808566
thalweg,pooled,31,14,16,0.9241699335571363,1.0913939200794256,1.0086334466044653,1.0867318076591332,0.009713721112914887
broken_field,calibration,410,192,218,0.8066778497679279,1.2099355240742928,0.9760281869180815,1.2247034109331052,0.1098101294331449
broken_field,evaluation,410,207,203,0.838418166016714,1.2460796423024247,1.044735808409962,1.2191090650746153,0.10523174571048888
broken_field,holdout,451,245,205,0.823630406588668,1.2811587434699827,1.055201296788809,1.2471976581500916,0.12801058934838505
broken_field,pooled,1271,644,626,0.8206628190480281,1.2453317154440584,1.0219974362462376,1.2318567906938966,0.11563404530955443
broken_thalweg,calibration,10,4,6,0.9671621928304825,1.0604662979568762,1.0256429101547964,1.0471297861142823,0.0468356875248051
broken_thalweg,evaluation,10,5,5,0.9238167656328015,1.1222981669100147,1.0367978626304317,1.1022020310088572,0.018068492553803044
broken_thalweg,holdout,11,8,3,0.9037730924941132,1.2188608828010115,1.101573669369175,1.1613333660870035,0.0566802268003123
broken_thalweg,pooled,31,17,14,0.9225575097802762,1.1345337688352095,1.0466726485382425,1.1089178145101146,0.022779034091145123
