Name,fluid,split,D0_mm,v_mm_s,H0_D0,tbrk_s,n_reliable,window_frames,window_ms,unmeasured_tail_ms,cross_u,cross_t_s,cross_D_mm,cross_r_mechanical,cross_r_unresolved,rho_time_x,Bo0,Bo_cross,G_height_cross,capillary_rate_mm_s,late_unresolved_to_capillary,excluded,reason
241113m,S1,development,2.0,2.06,0.1,0.532,526.0,11.0,11.00000000000001,7.000000000000006,0.5171670047230654,0.275,0.922240977413394,1.4717522132646652,1.412260325920961,0.9283204687296991,0.2673938584726741,0.056856519019220696,0.09451005300255212,5.241300166039878,0.5099497316054161,False,
241113n,S1,development,2.0,1.95,0.29,0.746,740.0,11.0,11.00000000000001,7.000000000000006,0.3871049824798138,0.289,1.2432863939713266,1.5372706609709519,1.7005873714080855,0.8839077815416458,0.26735000686061194,0.10331480732747671,0.19005379370710096,5.306664409869635,0.48171929259226504,False,
241113o,S1,development,2.0,1.98,0.34,0.776,768.0,11.0,11.00000000000001,9.000000000000007,0.5214686777442392,0.405,1.10246830794776,1.117390725381843,1.3732692995257336,0.8335939569693831,0.2673938584726741,0.08125005517753196,0.21842706207440463,5.241300166039878,0.49945776264211633,False,
241113p,S1,development,2.0,2.0,0.39,0.815,808.0,11.0,11.00000000000001,7.999999999999896,0.32389224104016073,0.264,1.36172333413713,1.556426636853967,1.5783696013913335,0.8206066117132755,0.26732808105458095,0.12392597617612369,0.2380735833407497,5.339617789967344,0.4447296732207646,False,
241113q,S1,development,2.0,3.87,0.28,0.433,426.0,11.0,11.00000000000001,8.000000000000007,0.6586971012256909,0.285,0.8345307660376173,1.543137620915467,1.4456544089729555,0.8971546081003786,0.26732808105458095,0.046544599087778936,0.18549667478534404,5.339617789967344,0.8103207155271459,False,
241113r,S1,development,2.0,5.98,0.2,0.279,272.0,11.0,11.00000000000001,8.000000000000007,0.6569754916865583,0.183,0.6697001628508495,2.2338342665357107,2.000287775806017,0.8846429885903571,0.26735000686061194,0.029976506438377758,0.13377656185848008,5.306664409869635,1.0262097134161943,False,
241113s,S1,development,2.0,8.08,0.09,0.171,164.0,11.0,11.00000000000001,8.000000000000007,0.5654427274432593,0.097,0.6006591110039403,3.5728223979879252,3.950688573799399,0.9184537457477258,0.2672842294425188,0.024108460671760843,0.0773642474786795,5.406071411841703,1.1351226328322372,False,
241113t,S1,development,2.0,7.94,0.17,0.217,209.0,11.0,11.00000000000001,9.000000000000007,0.6564079619711078,0.142,0.5898561208906052,2.7103140406210016,2.430751790100454,0.955063730224586,0.26730615524854984,0.023250973911286374,0.11569037935494268,5.372753166443266,1.1882883320877786,False,
241113u,S1,development,2.0,7.78,0.26,0.248,240.0,11.0,11.00000000000001,9.000000000000007,0.5800533581094198,0.144,0.7742464432119622,3.0057188051416053,3.013089972288412,0.9038900156836097,0.26730615524854984,0.04005967355383373,0.16974100249327254,5.372753166443266,1.0879553084284233,False,
241113v,S1,development,2.0,8.16,0.41,0.288,280.0,11.0,11.00000000000001,8.999999999999952,0.625444850457637,0.18,0.7807410979824793,2.476441530961237,2.413840600700789,0.9494110126929048,0.26730615524854984,0.04073456193661173,0.23883273367174318,5.372753166443266,1.1072843742545786,False,
241113w,S1,development,2.0,20.29,0.17,0.124,116.0,11.0,11.00000000000001,8.999999999999995,0.5052511219678447,0.063,0.5778295778295793,5.836376141222532,6.1585733537273075,0.8615029842647857,0.26732808105458095,0.022314344154223228,0.12498714188391728,5.339617789967344,1.0872504920276653,False,
241118a,S1,development,2.0,10.23,0.26,0.23,220.0,11.0,11.00000000000001,9.000000000000007,0.5222076932976479,0.12,0.7222847082986961,3.5374950223194874,3.455511970687989,0.9228692298121189,0.26781044878726407,0.03492885639997073,0.16902384542618742,4.65517587544983,0.9634949388467435,False,
241118b,S1,development,2.0,12.35,0.29,0.216,205.0,11.0,11.00000000000001,8.000000000000007,0.49215157867959836,0.106,0.7335762828720594,4.044669617991151,3.765829741804448,0.9093747480668954,0.26774467136917096,0.03602063864234296,0.18552014302544687,4.7436508789950995,0.9790510355457502,False,
241118c,S1,development,2.0,14.16,0.27,0.199,191.0,11.0,11.00000000000001,9.000000000000007,0.5962308315198784,0.119,0.5346634717264102,3.3007196784776274,3.565141732838565,0.9072791417668659,0.2677227455631399,0.019133142539063095,0.1592478623521947,4.77347361010269,0.8639637506945349,False,
241118d,S1,development,2.0,16.45,0.46,0.232,225.0,11.0,11.00000000000001,8.000000000000007,0.5545873289254629,0.129,0.6465515836145221,3.3079346626971553,3.557926748619229,0.8817949128139497,0.2677008197571088,0.027976673167668244,0.2632626406509465,4.803463217085244,0.7888685803038137,False,
241118e,S1,development,2.0,16.63,0.36,0.203,194.0,11.0,11.00000000000001,10.000000000000009,0.504339397917957,0.102,0.6901408450704245,4.163719532909544,4.030902746220304,0.8988091094425936,0.2677008197571088,0.03187609939678744,0.223203551792742,4.803463217085244,0.8064333760047847,False,
241118f,S1,development,2.0,15.92,0.23,0.171,162.0,11.0,11.00000000000001,10.000000000000009,0.4635096970288276,0.079,0.7081650743622594,5.1755170434926585,5.067760805419517,0.869981105337742,0.2677008197571088,0.03356284120426583,0.16281577040963346,4.803463217085244,0.9334058241944931,False,
241118g,S1,development,2.0,16.15,0.08,0.112,105.0,11.0,11.00000000000001,7.000000000000006,0.500749540547928,0.056,0.4587347384550199,5.494399796883755,5.440120228545668,0.9717867575462513,0.2677008197571088,0.014083576847683089,0.06535611079797805,4.803463217085244,0.9589738306358422,False,
241118h,S1,development,2.0,20.59,0.31,0.171,164.0,11.0,11.00000000000001,7.000000000000006,0.5151196591097331,0.088,0.6209002265340312,4.556486891155207,4.534422199754274,0.8780387228205067,0.2677008197571088,0.025800810343516542,0.20211139893074495,4.803463217085244,0.8152851228054627,False,
241118i,S1,development,2.0,24.31,0.2,0.128,122.0,11.0,11.00000000000001,7.000000000000006,0.48491173951094024,0.062,0.5278823740362216,5.925429357586644,5.899109739679954,0.7778328787503099,0.2676788939510778,0.018647836817905324,0.13474792523913673,4.833620511421563,0.7486813173093783,False,
