Name,fluid,D0_mm,tbrk_s,target_t_s,coverage,excluded,reason,parent_window_frames,child_window_frames,child_cross_t_s,child_issue_t_s,parent_cross_t_s,parent_issue_t_s,capillary_forecast_t_s,child_issue_lead_s,parent_issue_lead_s,first_parent_rate_t_s,child_prediction_t_s,parent_prediction_t_s,child_error_s,child_abs_error_s,child_abs_error_u,parent_error_s,parent_abs_error_s,parent_abs_error_u,capillary_error_s,capillary_abs_error_s,capillary_abs_error_u,partition,t411e_eligible,t411e_reason,pair_down_cross_t_s,pair_down_issue_t_s,pair_up_cross_t_s,pair_up_issue_t_s,pair_prediction_t_s,pair_issue_lead_s,pair_abs_error_s,pair_abs_error_u,up_abs_error_u
241113m,S1,2.0,0.532,0.275,0.986842105263158,False,,11.0,5.0,,,0.2661394464534174,0.271,0.082983076343925,,0.004,,,0.271,,,,-0.004,0.004,0.0075187969924812,-0.1920169236560749,0.1920169236560749,0.3609340670226972,development,False,missing_child_or_target,,,,,,,,,
241113n,S1,2.0,0.746,0.289,0.9906166219839142,False,,11.0,5.0,,,0.2937150876033465,0.298,-0.0085334366964958,,-0.009,,,0.298,,,,0.009,0.009,0.0120643431635388,-0.2975334366964958,0.2975334366964958,0.3988383869926217,development,False,missing_child_or_target,,,,,,,,,
241113o,S1,2.0,0.776,0.405,0.98840206185567,False,,11.0,5.0,,,0.4096208473930424,0.414,-0.0339836649391575,,-0.0089999999999999,,,0.414,,,,0.0089999999999999,0.0089999999999999,0.0115979381443298,-0.4389836649391575,0.4389836649391575,0.5657005991483989,development,False,missing_child_or_target,,,,,,,,,
241113p,S1,2.0,0.815,0.264,0.9901840490797548,False,,11.0,5.0,,,0.2689188348630696,0.273,-0.0666704088156331,,-0.009,,,0.273,,,,0.009,0.009,0.011042944785276,-0.3306704088156332,0.3306704088156332,0.4057305629639671,development,False,missing_child_or_target,,,,,,,,,
241113q,S1,2.0,0.433,0.285,0.9815242494226328,False,,11.0,5.0,0.0990239724861488,0.104,0.2900805235862318,0.295,0.0666985940114556,0.181,-0.01,,0.1619999999999999,0.295,-0.123,0.123,0.2840646651270208,0.01,0.01,0.023094688221709,-0.2183014059885443,0.2183014059885443,0.5041602909666152,development,True,,0.14481462022381705,0.149,0.1357498546942426,0.14,0.149,0.13599999999999998,0.13599999999999998,0.31408775981524245,0.33487297921478054
241113r,S1,2.0,0.279,0.183,0.971326164874552,False,,11.0,5.0,0.0218640412501998,0.026,0.1881068126716254,0.193,0.0855234120872209,0.157,-0.01,,0.0839999999999999,0.193,-0.099,0.099,0.3548387096774193,0.01,0.01,0.03584229390681,-0.097476587912779,0.097476587912779,0.3493784513002834,development,True,,0.02713207727053792,0.032,0.10249075727456602,0.107,0.032,0.151,0.151,0.5412186379928314,0.27240143369175623
241113s,S1,2.0,0.171,0.097,0.953216374269006,False,,11.0,5.0,0.0774490410951551,0.082,0.1012287303813643,0.106,0.0718628341622379,0.015,-0.0089999999999999,,0.14,0.106,0.043,0.043,0.2514619883040936,0.0089999999999999,0.0089999999999999,0.0526315789473683,-0.025137165837762,0.025137165837762,0.1470009698114739,development,True,,,,0.08210103738679857,0.087,,,,,0.058479532163742735
241113t,S1,2.0,0.217,0.142,0.9585253456221198,False,,11.0,5.0,0.0145455220344064,0.019,0.1470532107272693,0.152,0.0821863509996258,0.1229999999999999,-0.01,,0.077,0.152,-0.0649999999999999,0.0649999999999999,0.2995391705069123,0.01,0.01,0.0460829493087558,-0.0598136490003741,0.0598136490003741,0.275638935485595,development,True,,0.025096979300593618,0.03,0.07519383297231694,0.08,0.03,0.11199999999999999,0.11199999999999999,0.5161290322580645,0.28571428571428564
241113u,S1,2.0,0.248,0.144,0.9637096774193548,False,,11.0,5.0,0.0471018951092144,0.052,0.142536895535684,0.147,0.0844508171314546,0.092,-0.003,,0.1099999999999999,0.147,-0.034,0.034,0.1370967741935484,0.003,0.003,0.0120967741935483,-0.0595491828685453,0.0595491828685453,0.2401176728570377,development,True,,0.09264437399742126,0.097,0.07027811709446385,0.075,0.097,0.046999999999999986,0.046999999999999986,0.189516129032258,0.2782258064516129
241113v,S1,2.0,0.288,0.18,0.96875,False,,11.0,5.0,0.0180859684269058,0.023,0.1826060333752533,0.187,0.0796899511375242,0.157,-0.007,,0.0809999999999999,0.187,-0.099,0.099,0.34375,0.007,0.007,0.0243055555555555,-0.1003100488624757,0.1003100488624757,0.3482987807724851,development,True,,0.0381416545586581,0.043,0.10541175904602887,0.11,0.043,0.137,0.137,0.47569444444444453,0.24305555555555555
241113w,S1,2.0,0.124,0.063,0.9274193548387096,False,,11.0,5.0,0.013728683506808,0.018,0.0658836365868681,0.07,0.0671590193707349,0.045,-0.007,,0.076,0.07,0.0129999999999999,0.0129999999999999,0.1048387096774193,0.007,0.007,0.0564516129032258,0.0041590193707349,0.0041590193707349,0.0335404787962495,development,True,,,,0.028121189365999614,0.033,,,,,0.24193548387096772
241118a,S1,2.0,0.23,0.12,0.9608695652173912,False,,11.0,5.0,0.041084016011689,0.046,0.123672286943351,0.128,0.0951947487036664,0.074,-0.008,,0.104,0.128,-0.016,0.016,0.0695652173913043,0.008,0.008,0.0347826086956522,-0.0248052512963335,0.0248052512963335,0.107848918679711,development,True,,0.07567283520997416,0.08,0.051353071258962164,0.056,0.08,0.039999999999999994,0.039999999999999994,0.17391304347826084,0.2782608695652174
241118b,S1,2.0,0.216,0.106,0.9629629629629628,False,,11.0,5.0,0.0253466124479065,0.03,0.1076556944147243,0.112,0.0926823347002953,0.076,-0.006,,0.088,0.112,-0.018,0.018,0.0833333333333333,0.006,0.006,0.0277777777777778,-0.0133176652997046,0.0133176652997046,0.0616558578690031,development,True,,0.07302705294990267,0.078,0.036431923065264986,0.041,0.078,0.027999999999999997,0.027999999999999997,0.12962962962962962,0.30092592592592593
241118c,S1,2.0,0.199,0.119,0.9547738693467336,False,,11.0,5.0,0.0231030645360561,0.028,0.0920743222827536,0.097,0.0891317334853158,0.091,0.0219999999999999,,0.086,0.097,-0.033,0.033,0.1658291457286432,-0.0219999999999999,0.0219999999999999,0.1105527638190954,-0.0298682665146841,0.0298682665146841,0.1500917915310759,development,True,,0.061596214178525906,0.066,0.031088853719927083,0.036,0.066,0.05299999999999999,0.05299999999999999,0.2663316582914572,0.4170854271356783
241118d,S1,2.0,0.232,0.129,0.9655172413793104,False,,11.0,5.0,0.0491016436244939,0.054,0.1054320445486944,0.11,0.0935004099893414,0.075,0.019,,0.1119999999999999,0.11,-0.017,0.017,0.0732758620689655,-0.019,0.019,0.0818965517241379,-0.0354995900106585,0.0354995900106585,0.153015474183873,development,True,,0.07398595101008142,0.078,0.0951983384646752,0.1,0.078,0.051000000000000004,0.051000000000000004,0.21982758620689655,0.12499999999999999
241118e,S1,2.0,0.203,0.102,0.9507389162561576,False,,11.0,5.0,0.0140162272748264,0.019,0.1062834431878418,0.111,0.0906049205163096,0.0829999999999999,-0.009,,0.077,0.111,-0.0249999999999999,0.0249999999999999,0.1231527093596058,0.009,0.009,0.0443349753694581,-0.0113950794836903,0.0113950794836903,0.0561333964713811,development,True,,0.026340410929090972,0.031,0.061193088319726724,0.066,0.031,0.071,0.071,0.34975369458128075,0.17733990147783246
241118f,S1,2.0,0.171,0.079,0.9415204678362572,False,,11.0,5.0,0.0245212003547155,0.029,0.0829336811762394,0.087,0.0836989619686168,0.05,-0.0079999999999999,,0.087,0.087,0.0079999999999999,0.0079999999999999,0.0467836257309941,0.0079999999999999,0.0079999999999999,0.0467836257309941,0.0046989619686168,0.0046989619686168,0.027479309757993,development,True,,0.05836783591822102,0.063,0.034210715188774374,0.039,0.063,0.016,0.016,0.0935672514619883,0.23391812865497075
241118g,S1,2.0,0.112,0.056,0.9375,False,,11.0,5.0,0.0400977671948247,0.045,0.053830827361024,0.058,0.0612607902510818,0.011,-0.002,,0.103,0.058,0.0469999999999999,0.0469999999999999,0.4196428571428571,0.002,0.002,0.0178571428571428,0.0052607902510818,0.0052607902510818,0.0469713415275165,development,True,,,,,,,,,,
241118h,S1,2.0,0.171,0.088,0.95906432748538,False,,11.0,5.0,0.0150939044771479,0.02,0.0901118645916301,0.095,0.0844905896716584,0.0679999999999999,-0.007,,0.078,0.095,-0.0099999999999999,0.0099999999999999,0.0584795321637426,0.007,0.007,0.0409356725146199,-0.0035094103283415,0.0035094103283415,0.0205228674172022,development,True,,0.03267344023893076,0.037,0.02649723420346328,0.031,0.037,0.051,0.051,0.2982456140350877,0.33333333333333326
241118i,S1,2.0,0.128,0.062,0.9453125,False,,11.0,5.0,0.0209430962580013,0.025,0.0356710813405372,0.04,0.0716826363598723,0.037,0.022,,0.0829999999999999,0.04,0.0209999999999999,0.0209999999999999,0.1640624999999999,-0.022,0.022,0.171875,0.0096826363598723,0.0096826363598723,0.075645596561503,development,True,,0.04101270422423148,0.046,0.025759738155585313,0.03,0.046,0.016,0.016,0.125,0.25
241118j,S1,2.0,0.127,0.07,0.9212598425196852,False,,11.0,5.0,0.0200109432046299,0.025,0.0731635691465027,0.078,0.0714373464048866,0.045,-0.0079999999999999,,0.0829999999999999,0.078,0.0129999999999999,0.0129999999999999,0.1023622047244093,0.0079999999999999,0.0079999999999999,0.0629921259842519,0.0014373464048866,0.0014373464048866,0.0113176882274541,development,True,,,,0.0432188166752833,0.048,,,,,0.17322834645669297
241118k,S1,2.0,0.177,0.09,0.9548022598870056,False,,11.0,5.0,0.0242068604070704,0.029,0.0737687560911897,0.078,0.0850375262020133,0.061,0.0119999999999999,,0.087,0.078,-0.003,0.003,0.0169491525423729,-0.0119999999999999,0.0119999999999999,0.0677966101694915,-0.0049624737979866,0.0049624737979866,0.0280365751298682,development,True,,0.03280929763041908,0.037,0.049490008220254914,0.054,0.037,0.053,0.053,0.2994350282485876,0.20338983050847456
241118l,S1,2.0,0.148,0.073,0.9527027027027026,False,,11.0,5.0,0.0108752151976267,0.015,0.0762819749229129,0.081,0.0777707868905047,0.0579999999999999,-0.008,,0.073,0.081,0.0,0.0,0.0,0.008,0.008,0.0540540540540541,0.0047707868905047,0.0047707868905047,0.0322350465574648,development,True,,0.016977946629295002,0.021,0.030411911621273182,0.035,0.021,0.05199999999999999,0.05199999999999999,0.3513513513513513,0.25675675675675674
