partition,bin,lo,hi,mid,probability,events,snapshots,weight
development,"[0.0, 0.3)",0.0,0.3,0.15,0.006702130390121167,26,232,5.9778160423671265
development,"[0.3, 0.5)",0.3,0.5,0.4,0.005939031343180248,12,75,1.4031468857126754
development,"[0.5, 0.7)",0.5,0.7,0.6,0.0435459325439981,17,75,1.63269025174939
development,"[0.7, 0.9)",0.7,0.9,0.8,0.02587382948250073,26,88,2.292800470399385
development,"[0.9, 1.0)",0.9,1.0,0.95,0.03996482304762992,24,69,2.0069478687548985
development,"[1.0, 1.1)",1.0,1.1,1.05,0.06347732515592361,29,131,2.2053226206857808
development,"[1.1, 1.3)",1.1,1.3,1.2000000000000002,0.1017666542936099,38,659,5.440428231312875
development,"[1.3, 1.5)",1.3,1.5,1.4,0.07235712187774064,37,953,6.515824127926889
development,"[1.5, 1.7)",1.5,1.7,1.6,0.07490851819180715,36,683,5.168215641893445
development,"[1.7, 2.0)",1.7,2.0,1.85,0.1376925397274284,37,861,8.356807859197538
diagnostic,"[0.0, 0.3)",0.0,0.3,0.15,0.0,23,240,3.104193466757717
diagnostic,"[0.3, 0.5)",0.3,0.5,0.4,0.024003060977698228,15,51,0.5707034677666319
diagnostic,"[0.5, 0.7)",0.5,0.7,0.6,0.18073644393902902,24,81,0.9608715434633311
diagnostic,"[0.7, 0.9)",0.7,0.9,0.8,0.212713453824852,53,159,1.9312455585899737
diagnostic,"[0.9, 1.0)",0.9,1.0,0.95,0.16933979158366866,49,123,1.4307660416340946
diagnostic,"[1.0, 1.1)",1.0,1.1,1.05,0.1228782651558799,74,261,3.626490806758552
diagnostic,"[1.1, 1.3)",1.1,1.3,1.2000000000000002,0.07235792531528946,81,1134,15.651487790599754
diagnostic,"[1.3, 1.5)",1.3,1.5,1.4,0.06583448874236929,81,1568,18.220060610995215
diagnostic,"[1.5, 1.7)",1.5,1.7,1.6,0.06275176440727137,82,1459,16.11390458777758
diagnostic,"[1.7, 2.0)",1.7,2.0,1.85,0.06292278577760188,81,1898,20.390276125657145
pooled,"[0.0, 0.3)",0.0,0.3,0.15,0.004411369810155947,49,472,9.082009509124843
pooled,"[0.3, 0.5)",0.3,0.5,0.4,0.01116192189113216,27,126,1.9738503534793075
pooled,"[0.5, 0.7)",0.5,0.7,0.6,0.0943727370859177,41,156,2.593561795212721
pooled,"[0.7, 0.9)",0.7,0.9,0.8,0.1112974238759827,79,247,4.224046028989358
pooled,"[0.9, 1.0)",0.9,1.0,0.95,0.09381029025170512,73,192,3.437713910388993
pooled,"[1.0, 1.1)",1.0,1.1,1.05,0.10041557180985675,103,392,5.831813427444333
pooled,"[1.1, 1.3)",1.1,1.3,1.2000000000000002,0.07994358416271051,119,1793,21.09191602191263
pooled,"[1.3, 1.5)",1.3,1.5,1.4,0.06755265370026924,118,2521,24.735884738922103
pooled,"[1.5, 1.7)",1.5,1.7,1.6,0.06570394794847187,118,2142,21.282120229671026
pooled,"[1.7, 2.0)",1.7,2.0,1.85,0.08465843269634221,118,2759,28.747083984854683
