Name,fluid,partition,parent_window_frames,child_window_frames,grandchild_window_frames,snapshots,positive_snapshots,child_horizon_s,target_t_s
241113m,S1,development,11,5,3,5,1,0.0050000000000000044,0.275
241113n,S1,development,11,5,3,19,0,0.0050000000000000044,0.289
241113o,S1,development,11,5,3,34,1,0.0050000000000000044,0.405
241113p,S1,development,11,5,3,15,0,0.0050000000000000044,0.264
241113q,S1,development,11,5,3,37,1,0.0050000000000000044,0.285
241113r,S1,development,11,5,3,25,1,0.0050000000000000044,0.183
241113s,S1,development,11,5,3,12,1,0.0050000000000000044,0.097
241113t,S1,development,11,5,3,21,1,0.0050000000000000044,0.142
241113u,S1,development,11,5,3,20,1,0.0050000000000000044,0.144
241113v,S1,development,11,5,3,26,1,0.0050000000000000044,0.18
241113w,S1,development,11,5,3,10,1,0.0050000000000000044,0.063
241118a,S1,development,11,5,3,16,1,0.0050000000000000044,0.12
241118b,S1,development,11,5,3,17,1,0.0050000000000000044,0.106
241118c,S1,development,11,5,3,20,1,0.0050000000000000044,0.119
241118d,S1,development,11,5,3,19,1,0.0050000000000000044,0.129
241118e,S1,development,11,5,3,16,1,0.0050000000000000044,0.102
241118f,S1,development,11,5,3,13,1,0.0050000000000000044,0.079
241118g,S1,development,11,5,3,9,1,0.0050000000000000044,0.056
241118h,S1,development,11,5,3,15,1,0.0050000000000000044,0.088
241118i,S1,development,11,5,3,10,1,0.0050000000000000044,0.062
241118j,S1,development,11,5,3,11,1,0.0050000000000000044,0.07
241118k,S1,development,11,5,3,14,1,0.0050000000000000044,0.09
241118l,S1,development,11,5,3,12,1,0.0050000000000000044,0.073
241118m,S1,development,11,5,3,10,1,0.0050000000000000044,0.062
241118n,S1,development,11,5,3,7,1,0.0050000000000000044,0.046
241118p,S1,development,11,5,3,9,1,0.0050000000000000044,0.057
241118r,S1,development,11,5,3,9,1,0.0050000000000000044,0.06
241118aa,S1,development,11,5,3,15,1,0.0050000000000000044,0.185
241118ab,S1,development,11,5,3,11,1,0.0050000000000000044,0.088
