Name,fluid,partition,n_snapshots,position_alignment_parent_grandchild,position_alignment_parent_child,position_alignment_child_grandchild,flow_alignment_parent_grandchild,flow_alignment_parent_child,flow_alignment_child_grandchild,median_parent_grandchild_product,opposite_side_fraction_parent_grandchild,opposite_side_fraction_parent_child,quiet_guard_child_horizons
241113m,S1,development,4,0.10797360268902749,0.8640794786161152,-0.3154781473833994,-0.21704784450466416,0.6593095714027098,-0.726143352415612,0.038086035638523155,0.5,0.0,1.0
241113n,S1,development,19,-0.5680965828434122,0.954874996002732,-0.6365857507172845,-0.5600843235873585,0.9085291153419268,-0.49686220070567,-0.1618055828059231,0.5263157894736842,0.10526315789473684,1.0
241113o,S1,development,33,-0.32415875564590957,0.8795517516517549,-0.5882257383001495,-0.2081052367944524,0.8467881692455855,-0.37563531117064974,0.02937456201048106,0.48484848484848486,0.21212121212121213,1.0
241113p,S1,development,15,-0.4932009130412786,0.8983982823462068,-0.7317421704745305,-0.6283101421404208,0.8645834807147074,-0.7291258917605679,-0.34340810433299995,0.6,0.2,1.0
241113q,S1,development,36,0.009086364265500909,0.472874015541712,-0.4227775272808005,-0.13411432468130444,0.714186327395833,-0.519262014292922,0.013445628066332755,0.4444444444444444,0.3611111111111111,1.0
241113r,S1,development,24,0.22023048903339584,-0.006914008137288261,-0.7387365683886598,0.22064345550274472,0.1778205046678612,-0.44919263953706023,0.10938056572461247,0.20833333333333334,0.6666666666666666,1.0
241113s,S1,development,11,-0.2317663617680641,0.33789994603764434,-0.2153502195585548,-0.34901000850791897,0.7774224812288008,-0.4171019132739193,0.09192522190008488,0.45454545454545453,0.6363636363636364,1.0
241113t,S1,development,20,-0.08823891522375425,-0.18538579808089808,-0.02290297810037395,-0.1589736630834129,0.634895530862215,-0.05666369427160352,0.016468332714537584,0.3684210526315789,0.7,1.0
241113u,S1,development,19,0.5064736110506839,-0.6016876572447271,-0.6791661050707691,-0.1442623759728949,0.3391289677337447,-0.5963404896766066,0.15937941334713027,0.15789473684210525,0.8421052631578947,1.0
241113v,S1,development,25,0.14839339456993517,0.04580730623535636,-0.4041774439799851,0.16013182327497683,0.48937837736317497,-0.4447449110539584,0.1368647993465682,0.32,0.6,1.0
241113w,S1,development,9,-0.3984672731934624,-0.3423706288771375,-0.5331843651403985,-0.3860769452441358,-0.024929792741744096,-0.6682487192885106,0.015226327830702702,0.4444444444444444,0.7777777777777778,1.0
241118a,S1,development,15,0.24760950796373984,-0.547881317892858,-0.4113671020363072,0.02136686349189415,0.122459631946001,-0.500004566707365,0.09401183594363632,0.2857142857142857,0.7333333333333333,1.0
241118aa,S1,development,14,0.0642554049778459,0.5134597790344284,-0.6341726429511666,0.10626427908421027,0.5989518048372077,-0.508609622719738,-0.0401094048567614,0.5,0.21428571428571427,1.0
241118ab,S1,development,10,0.4168646125355197,0.01304382668940345,-0.42108087528923227,0.49409292632176244,0.1111434915053738,-0.5214517634164836,0.008835075307219158,0.4,0.6,1.0
241118ad,S1,development,13,0.17894026729991408,-0.6713166012481397,-0.1343352956781301,-0.039442874149013665,0.401656596305937,-0.00738789587035821,0.02679697150428487,0.38461538461538464,0.9230769230769231,1.0
241118ae,S1,development,9,0.556456261978038,-0.7328113796714368,-0.6730784905048159,-0.1470679624813874,0.731544415830285,-0.6371878488683829,0.062450266094360996,0.3333333333333333,0.7777777777777778,1.0
241118ag,S1,development,7,-0.44625772401573566,-0.5127232460541915,0.5006642613060497,0.09241117889876685,0.6671429526035526,-0.11884080365294149,-0.037769555478903385,0.5714285714285714,0.7142857142857143,1.0
241118b,S1,development,16,0.5930789820604334,-0.49365858114011946,-0.3925537176535204,-0.10976489070092682,0.5600511288651241,-0.20277394192967318,0.21208182064709574,0.25,0.875,1.0
241118c,S1,development,19,0.27994734485437894,-0.3792197225963899,-0.7570352016547679,-0.09682056224966501,0.30658019570225925,-0.4069847075902914,0.025559543916142954,0.47368421052631576,0.6842105263157895,1.0
241118d,S1,development,18,0.44818652269110054,-0.37629308551117685,-0.6895587286986926,-0.1852392542422187,0.47901751472328435,-0.5921390345527006,0.1389453132551357,0.2777777777777778,0.6666666666666666,1.0
241118e,S1,development,15,0.2970894067965826,-0.3928691872775625,-0.23883866820144672,0.0003014592761423366,0.3140725765729807,0.06681426398516471,0.12211598770767877,0.2,0.8,1.0
241118f,S1,development,12,0.3014500809626446,-0.42690483873698565,-0.7873550082758006,-0.00019704255770295053,0.1042099207993701,-0.6208594490534379,0.16518919243890945,0.25,0.8333333333333334,1.0
