Name,fluid,split,D0_mm,T_C,v_mm_s,H0_D0,tbrk_s,n_reliable,last_reliable_s,unmeasured_tail_ms,cross_u,cross_t_s,cross_D_mm,rho_time_x,Bo0,Bo_cross,G_height_cross,capillary_rate_mm_s,late_observed_rate_mm_s,late_to_capillary_rate,excluded,reason
241113m,S1,development,2.0,20.3,2.06,0.1,0.532,526,0.525,7.000000000000006,,,,0.9967930413390151,0.2673938584726741,,,5.241300166039878,3.8047589931864496,0.7259189271087249,False,
241113n,S1,development,2.0,20.5,1.95,0.29,0.746,740,0.739,7.000000000000006,,,,0.9940319431119137,0.26735000686061194,,,5.306664409869635,3.361771518841577,0.6334999274853642,False,
241113o,S1,development,2.0,20.3,1.98,0.34,0.776,768,0.767,9.000000000000007,,,,0.9953600324418366,0.2673938584726741,,,5.241300166039878,3.1805035116817164,0.6068157539019142,False,
241113p,S1,development,2.0,20.6,2.0,0.39,0.815,808,0.807,7.999999999999896,,,,0.9879256955905671,0.26732808105458095,,,5.339617789967344,2.8224735284698994,0.5285909290685694,False,
241113q,S1,development,2.0,20.6,3.87,0.28,0.433,426,0.425,8.000000000000007,,,,0.9979284333421781,0.26732808105458095,,,5.339617789967344,5.669644289912243,1.0618071391860648,False,
241113r,S1,development,2.0,20.5,5.98,0.2,0.279,272,0.271,8.000000000000007,,,,0.9981663685152058,0.26735000686061194,,,5.306664409869635,7.553816046966729,1.4234584031576811,False,
241113s,S1,development,2.0,20.8,8.08,0.09,0.171,164,0.163,8.000000000000007,,,,0.9980713033313852,0.2672842294425188,,,5.406071411841703,8.682170542635667,1.6060036727627847,False,
241113t,S1,development,2.0,20.7,7.94,0.17,0.217,209,0.208,9.000000000000007,,,,0.998330241187384,0.26730615524854984,,,5.372753166443266,8.612196364871744,1.602939144619773,False,
241113u,S1,development,2.0,20.7,7.78,0.26,0.248,240,0.239,9.000000000000007,,,,0.9987214350460378,0.26730615524854984,,,5.372753166443266,7.976418846207831,1.4846054897936392,False,
241113v,S1,development,2.0,20.7,8.16,0.41,0.288,280,0.279,8.999999999999952,,,,0.9986637288561158,0.26730615524854984,,,5.372753166443266,7.775463297069582,1.447202775968377,False,
241113w,S1,development,2.0,20.6,20.29,0.17,0.124,116,0.115,8.999999999999995,,,,0.9982238863287252,0.26732808105458095,,,5.339617789967344,9.024356869184462,1.6900754368862148,False,
241118a,S1,development,2.0,18.4,10.23,0.26,0.23,220,0.221,9.000000000000007,,,,0.9973081806638854,0.26781044878726407,,,4.65517587544983,6.452410074014581,1.3860722444543696,False,
241118b,S1,development,2.0,18.7,12.35,0.29,0.216,205,0.208,8.000000000000007,,,,0.9974098421805945,0.26774467136917096,,,4.7436508789950995,6.319655389033783,1.3322345067629737,False,
241118c,S1,development,2.0,18.8,14.16,0.27,0.199,191,0.19,9.000000000000007,,,,0.9987363560883742,0.2677227455631399,,,4.77347361010269,6.225991203366778,1.3042894361435131,False,
241118d,S1,development,2.0,18.9,16.45,0.46,0.232,225,0.224,8.000000000000007,,,,0.9972766721532247,0.2677008197571088,,,4.803463217085244,5.770362195534069,1.201292054243218,False,
241118e,S1,development,2.0,18.9,16.63,0.36,0.203,194,0.193,10.000000000000009,,,,0.9985598973144171,0.2677008197571088,,,4.803463217085244,6.067172264355366,1.2630829029303872,False,
241118f,S1,development,2.0,18.9,15.92,0.23,0.171,162,0.161,10.000000000000009,,,,0.9980155769747245,0.2677008197571088,,,4.803463217085244,6.884186571499323,1.4331714973923895,False,
241118g,S1,development,2.0,18.9,16.15,0.08,0.112,105,0.105,7.000000000000006,,,,0.9971031065370687,0.2677008197571088,,,4.803463217085244,7.035784111596402,1.4647315475574179,False,
241118h,S1,development,2.0,18.9,20.59,0.31,0.171,164,0.164,7.000000000000006,,,,0.9979983149657055,0.2677008197571088,,,4.803463217085244,6.344001469253551,1.3207140728566067,False,
241118i,S1,development,2.0,19.0,24.31,0.2,0.128,122,0.121,7.000000000000006,,,,0.9965607688205397,0.2676788939510778,,,4.833620511421563,6.421364559194486,1.3284792515302302,False,
241118j,S1,development,2.0,19.0,28.28,0.23,0.127,118,0.117,9.999999999999995,,,,0.9974203012177696,0.2676788939510778,,,4.833620511421563,6.321839080459768,1.307888996565128,False,
