partition,Name,fluid,direction,persistence,time_s,lead_s,lead_child_horizons,inside_event_window
development,241112b,S3,forward,1,0.514,1.692,9.048128342245985,False
development,241112b,S3,forward,1,0.544,1.662,8.887700534759352,False
development,241112b,S3,forward,1,0.589,1.617,8.647058823529406,False
development,241112b,S3,forward,1,0.614,1.592,8.513368983957214,False
development,241112b,S3,forward,1,0.779,1.427,7.631016042780744,False
development,241112b,S3,forward,1,0.809,1.3969999999999998,7.470588235294112,False
development,241112b,S3,forward,1,0.819,1.387,7.417112299465236,False
development,241112b,S3,forward,1,0.889,1.317,7.042780748663097,False
development,241112b,S3,forward,1,0.979,1.227,6.561497326203205,False
development,241112b,S3,forward,1,1.074,1.132,6.053475935828873,False
development,241112b,S3,forward,1,1.109,1.097,5.866310160427804,False
development,241112b,S3,forward,1,1.119,1.087,5.812834224598927,False
development,241112b,S3,forward,1,1.254,0.952,5.090909090909087,False
development,241112b,S3,forward,1,1.294,0.912,4.87700534759358,False
development,241112b,S3,forward,1,1.369,0.837,4.475935828877002,False
development,241112b,S3,forward,1,1.409,0.7969999999999999,4.262032085561494,False
development,241112b,S3,forward,1,1.429,0.7769999999999999,4.155080213903741,False
development,241112b,S3,forward,1,1.464,0.742,3.967914438502672,False
development,241112b,S3,forward,1,1.574,0.6319999999999999,3.3796791443850243,False
development,241112b,S3,forward,1,1.604,0.6019999999999999,3.219251336898393,False
development,241112b,S3,forward,1,1.634,0.5720000000000001,3.058823529411763,False
development,241112b,S3,forward,1,1.649,0.5569999999999999,2.978609625668447,False
development,241112b,S3,forward,1,1.744,0.4619999999999999,2.4705882352941155,False
development,241112b,S3,forward,1,1.814,0.3919999999999999,2.0962566844919768,False
development,241112b,S3,forward,1,1.939,0.2669999999999999,1.4278074866310146,False
development,241112b,S3,forward,1,1.984,0.2219999999999999,1.1871657754010685,False
development,241112b,S3,forward,1,2.029,0.177,0.9465240641711224,True
development,241112b,S3,forward,1,2.094,0.1120000000000001,0.5989304812834226,True
development,241112c,S3,forward,1,0.458,2.483,13.421621621621616,False
development,241112c,S3,forward,1,0.523,2.418,13.070270270270264,False
development,241112c,S3,forward,1,0.723,2.218,11.98918918918918,False
development,241112c,S3,forward,1,0.748,2.193,11.854054054054048,False
development,241112c,S3,forward,1,0.888,2.053,11.09729729729729,False
development,241112c,S3,forward,1,0.918,2.023,10.935135135135129,False
development,241112c,S3,forward,1,1.033,1.908,10.313513513513508,False
development,241112c,S3,forward,1,1.073,1.868,10.097297297297292,False
development,241112c,S3,forward,1,1.083,1.858,10.043243243243236,False
development,241112c,S3,forward,1,1.153,1.7879999999999998,9.66486486486486,False
development,241112c,S3,forward,1,1.168,1.773,9.583783783783778,False
development,241112c,S3,forward,1,1.243,1.6979999999999995,9.17837837837837,False
development,241112c,S3,forward,1,1.303,1.638,8.854054054054048,False
development,241112c,S3,forward,1,1.318,1.6229999999999998,8.772972972972967,False
development,241112c,S3,forward,1,1.338,1.6029999999999998,8.664864864864859,False
development,241112c,S3,forward,1,1.363,1.5779999999999998,8.529729729729723,False
development,241112c,S3,forward,1,1.413,1.5279999999999998,8.259459459459453,False
development,241112c,S3,forward,1,1.448,1.493,8.070270270270266,False
development,241112c,S3,forward,1,1.463,1.4779999999999998,7.989189189189183,False
development,241112c,S3,forward,1,1.483,1.4579999999999995,7.881081081081073,False
development,241112c,S3,forward,1,1.498,1.4429999999999998,7.799999999999994,False
development,241112c,S3,forward,1,1.528,1.4129999999999998,7.637837837837832,False
development,241112c,S3,forward,1,1.613,1.3279999999999998,7.178378378378373,False
development,241112c,S3,forward,1,1.623,1.3179999999999998,7.124324324324319,False
development,241112c,S3,forward,1,1.643,1.2979999999999998,7.016216216216211,False
development,241112c,S3,forward,1,1.683,1.2579999999999998,6.7999999999999945,False
development,241112c,S3,forward,1,1.713,1.2279999999999998,6.637837837837832,False
development,241112c,S3,forward,1,1.783,1.158,6.259459459459455,False
development,241112c,S3,forward,1,1.853,1.088,5.881081081081078,False
development,241112c,S3,forward,1,1.928,1.013,5.475675675675672,False
development,241112c,S3,forward,1,1.988,0.9529999999999998,5.151351351351347,False
development,241112c,S3,forward,1,2.063,0.8779999999999997,4.745945945945941,False
development,241112c,S3,forward,1,2.138,0.8029999999999999,4.3405405405405375,False
development,241112c,S3,forward,1,2.148,0.7929999999999997,4.286486486486482,False
development,241112c,S3,forward,1,2.233,0.7079999999999997,3.827027027027024,False
development,241112c,S3,forward,1,2.248,0.6929999999999996,3.745945945945942,False
development,241112c,S3,forward,1,2.308,0.633,3.4216216216216195,False
development,241112c,S3,forward,1,2.383,0.5579999999999998,3.0162162162162134,False
development,241112c,S3,forward,1,2.403,0.5379999999999998,2.908108108108105,False
development,241112c,S3,forward,1,2.428,0.5129999999999999,2.772972972972971,False
development,241112c,S3,forward,1,2.473,0.4679999999999999,2.529729729729728,False
development,241112c,S3,forward,1,2.588,0.3529999999999997,1.9081081081081053,False
development,241112c,S3,forward,1,2.598,0.3429999999999999,1.8540540540540524,False
development,241112c,S3,forward,1,2.708,0.2329999999999996,1.2594594594594566,False
development,241112c,S3,forward,1,2.768,0.173,0.9351351351351344,True
development,241112c,S3,forward,1,2.818,0.1229999999999997,0.6648648648648628,True
development,241112c,S3,forward,1,2.873,0.0679999999999996,0.3675675675675652,True
development,241112c,S3,forward,1,2.923,0.0179999999999997,0.0972972972972956,True
development,241112c,S3,forward,1,2.933,0.008,0.0432432432432432,True
development,241112d,S3,forward,1,0.484,2.945,16.092896174863377,False
development,241112d,S3,forward,1,0.504,2.925,15.98360655737704,False
development,241112d,S3,forward,1,0.529,2.9,15.846994535519116,False
