time (s)	frame	L(t) (um)
0	22	0
0.2	23	3.429
0.4	24	4.538
0.6	25	5.739
0.8	26	7.224
1	27	8.972
1.2	28	10.472
1.4	29	12.511
1.6	30	13.712
1.8	31	15.094
2	32	16.413
2.2	33	17.795
2.4	34	19.28
2.6	35	20.765
2.8	36	22.374
3	37	24.134
3.2	38	25.164
3.4	39	27.745
3.6	40	28.206
3.8	41	29.867
4	42	31.988
4.2	43	33.018
4.4	44	34.4
4.6	45	35.885
4.8	46	36.806
5	47	38.749
5.2	48	39.67
5.4	49	41.613
5.6	50	43.274
5.8	51	44.383
6	52	45.868
6.2	53	46.977
6.4	54	48.007
6.6	55	50.128
6.8	56	51.049
7	57	52.368
7.2	58	53.671
7.4	59	54.78
7.6	60	56.441
7.8	61	57.823
8	62	59.944
8.2	63	60.865
8.4	64	62.118
8.6	65	63.727
8.8	66	64.777
9	67	66.096
9.2	68	67.478
9.4	69	68.86
9.6	70	69.781
9.8	71	71.624
10	72	72.654
10.2	73	74.223
10.4	74	74.841
