time (s)	R(t) (um)
0	3.9165
0.2	4.082
0.4	3.7535
0.6	4.4655
0.8	4.45
1	4.768
1.2	5.0425
1.4	5.2355
1.6	5.517
1.8	5.822
2	6.0055
2.2	6.751
2.4	7.0515
2.6	7.619
2.8	7.946
3	8.022
3.2	8.5295
3.4	9.439
3.6	9.9065
3.8	10.6915
4	11.3195
4.2	11.5625
4.4	12.4645
4.6	12.8945
4.8	13.79
5	14.206
5.2	15.0045
5.4	16.022
5.6	16.681
5.8	17.1075
6	17.225
6.2	18.9235
6.4	19.194
6.6	19.3055
6.8	20.2455
7	20.852
7.2	21.2105
7.4	21.9255
7.6	21.9505
7.8	23.2165
8	22.4145
8.2	23.381
8.4	23.6535
8.6	24.251
8.8	24.9385
9	24.6615
9.2	25.534
9.4	25.9005
9.6	25.9005
9.8	26.341
10	26.9985
10.2	27.2565
10.4	26.9175
10.6	27.1215
10.8	27.599
11	26.591
11.2	26.218
11.4	26.8315
11.6	26.112
11.8	25.865
12	25.2595
12.2	25.173
12.4	24.2145
12.6	23.4955
12.8	22.22
13	21.0085
13.2	19.163
13.4	16.574
13.6	13.965
13.8	10.6055
14	6.356
