time (s)	frame	L(t) (um)
0	61	60.497
0.2	62	59.914
0.4	63	59.708
0.6	64	59.296
0.8	65	59.005
1	66	58.354
1.2	67	57.771
1.4	68	57.31
1.6	69	57.31
1.8	70	56.567
2	71	56.567
2.2	72	55.916
2.4	73	55.333
2.6	74	54.75
2.8	75	53.72
3	76	53.259
3.2	77	52.798
3.4	78	52.055
3.6	79	51.594
3.8	80	51.388
4	81	50.539
4.2	82	50.078
4.4	83	49.787
4.6	84	49.375
4.8	85	48.792
5	86	48.049
5.2	87	47.758
5.4	88	47.758
5.6	89	47.14
5.8	90	46.557
6	91	46.096
6.2	92	45.353
6.4	93	45.353
6.6	94	44.941
6.8	95	44.48
7	96	43.631
7.2	97	43.17
7.4	98	42.879
7.6	99	42.467
7.8	100	42.176
8	101	41.715
8.2	102	41.254
8.4	103	40.963
8.6	104	40.502
8.8	105	40.041
9	106	39.423
9.2	107	38.68
9.4	108	38.474
9.6	109	37.891
9.8	110	37.6
10	111	37.394
10.2	112	36.933
10.4	113	36.35
10.6	114	35.767
10.8	115	35.355
11	116	35.149
11.2	117	34.858
11.4	118	34.652
11.6	119	33.909
11.8	120	33.618
12	121	33.035
12.2	122	32.186
12.4	123	31.362
12.6	124	30.488
12.8	125	30.076
13	126	29.333
13.2	127	29.333
13.4	128	28.872
13.6	129	28.411
13.8	130	27.95
14	131	27.299
14.2	132	26.716
14.4	133	26.255
14.6	134	25.512
14.8	135	24.769
15	136	24.308
15.2	137	23.565
15.4	138	23.359
15.6	139	22.898
15.8	140	22.437
16	141	21.328
16.2	142	21.037
16.4	143	19.872
16.6	144	19.872
16.8	145	19.254
17	146	18.224
17.2	147	17.481
17.4	148	17.19
17.6	149	16.539
17.8	150	15.618
18	151	14.967
18.2	152	14.506
18.4	153	14.215
18.6	154	14.009
18.8	155	13.358
19	156	13.067
19.2	157	12.416
19.4	158	11.673
19.6	159	11.261
