time (s)	s(t) (um)					
0	3.653					
0.2	5.679					
0.4	7.206					
0.6	8.287					
0.8	9.88					
1	11.3					
1.2	13.485					
1.4	14.928					
1.6	17.417					
1.8	20.671					
2	24.482					
2.2	29.549					
2.4	31.58					
2.6	36.648					
2.8	37.784					
3	41.869					
3.2	44.43					
3.4	49.723					
3.6	53.202					
3.8	57.875					
4	60.467					
4.2	63.946					
4.4	65.433					
4.6	66.528					
4.8	66.159					
5	73.806					
5.2	73.51					
5.4	74.928					
5.6	76.705					
5.8	75.338					
6	75.382					
6.2	77.541					
6.4	83.477					
6.6	81.643					
6.8	82.296					
7	89.074					
7.2	93.335					
7.4	99.147					
7.6	101.859					
7.8	105.594					
8	108.686					
8.2	113.839					
8.4	116.094					
8.6	121.524					
8.8	127.394					
9	127.765					
9.2	135.597					
9.4	137.346					
9.6	138.055					
9.8	142.075					
10	149.787					
10.2	155.919					
10.4	163.511					
10.6	163.786					
10.8	173.156					
11	173.019					
11.2	178.936					
11.4	180.03					
11.6	182.996					
11.8	182.178					
12	192.235					
12.2	198.511					
12.4	200.356					
12.6	203.887					
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
