time (s)	frame	L(t) (um)
0	5	2.718
0.5	6	4.469
1	7	9.002
1.5	8	11.288
2	9	13.226
2.5	10	15.196
3	11	17.662
3.5	12	19.388
4	13	21.642
4.5	14	23.641
5	15	25.552
5.5	16	27.447
6	17	29.533
6.5	18	31.576
7	19	33.214
7.5	20	35.532
8	21	37.495
8.5	22	39.141
9	23	41.378
9.5	24	43.115
10	25	44.997
10.5	26	47.129
11	27	48.984
11.5	28	51.004
12	29	52.776
12.5	30	54.873
13	31	56.798
13.5	32	58.465
14	33	60.183
14.5	34	62.176
15	35	63.79
15.5	36	65.458
16	37	67.217
16.5	38	69.141
17	39	70.913
17.5	40	73.072
18	41	74.823
18.5	42	76.568
19	43	78.423
19.5	44	80.581
20	45	82.388
20.5	46	84.167
21	47	86.078
21.5	48	87.926
22	49	89.76
22.5	50	91.795
23	51	93.45
23.5	52	95.332
24	53	97.008
