time (s)	frame	L(t) (um)
0	28	144.481
0.5	29	143.866
1	30	139.998
1.5	31	136.018
2	32	130.637
2.5	33	127.964
3	34	125.565
3.5	35	124.826
4	36	124.536
4.5	37	123.086
5	38	122.169
5.5	39	120.224
6	40	118.29
6.5	41	115.188
7	42	112.789
7.5	43	109.503
8	44	107.613
8.5	45	106.052
9	46	104.289
9.5	47	101.89
10	48	100.865
10.5	49	99.175
11	50	97.341
11.5	51	95.201
12	52	92.174
12.5	53	90.534
13	54	88.326
13.5	55	85.591
14	56	84.746
14.5	57	81.698
15	58	81.698
15.5	59	78.392
16	60	75.696
16.5	61	72.961
17	62	70.942
17.5	63	69.897
18	64	67.304
18.5	65	66.109
19	66	63.573
19.5	67	63.163
20	68	61.411
20.5	69	58.476
21	70	54.433
21.5	71	53.408
22	72	49.38
22.5	73	45.199
23	74	42.705
23.5	75	34.403
24	76	31.418
24.5	77	28.282
25	78	26.392
25.5	79	22.696
26	80	21.246
26.5	81	18.752
27	82	16.612
27.5	83	15.299
28	84	14.841
28.5	85	11.906
29	86	9.507
29.5	87	7.367
30	88	4.126
30.5	89	0.617
