time (s)	frame	L(t) (um)
0	65	77.63
1	66	76.887
2	67	75.778
3	68	75.317
4	69	74.208
5	70	73.747
6	71	72.898
7	72	72.315
8	73	71.572
9	74	70.989
10	75	70.068
11	76	69.45
12	77	68.707
13	78	68.295
14	79	66.976
15	80	65.811
16	81	65.228
17	82	64.767
18	83	64.024
19	84	63.563
20	85	62.533
21	86	61.709
22	87	60.679
23	88	59.83
24	89	59.006
25	90	58.594
26	91	57.976
27	92	56.867
28	93	55.758
29	94	55.346
30	95	54.497
31	96	53.846
32	97	52.737
33	98	51.572
34	99	50.463
35	100	50.051
36	101	49.202
37	102	48.281
38	103	47.538
39	104	46.617
40	105	45.999
41	106	44.43
42	107	43.969
43	108	42.666
44	109	42.083
45	110	40.974
46	111	39.865
47	112	38.835
48	113	37.961
49	114	37.087
50	115	36.057
51	116	35.314
52	117	34.149
53	118	33.119
54	119	32.198
55	120	31.615
56	121	30.312
57	122	29.391
58	123	28.542
59	124	27.341
60	125	26.291
61	126	25.83
62	127	24.981
63	128	24.52
64	129	23.411
65	130	22.361
66	131	21.042
67	132	19.992
68	133	18.962
69	134	18.041
70	135	17.167
71	136	15.864
72	137	14.663
73	138	13.92
74	139	13.177
75	140	12.012
76	141	10.903
77	142	9.242
78	143	8.499
79	144	7.014
80	145	6.093
81	146	4.711
82	147	3.546
83	148	2.345
84	149	0.888
