time (s)	frame	L(t) (um)
0	29	0
1	30	2.349
2	31	3.458
3	32	5.86
4	33	7.113
5	34	8.861
6	35	9.97
7	36	12.03
8	37	13.929
9	38	14.959
10	39	16.16
11	40	17.821
12	41	19.022
13	42	20.591
14	43	22.434
15	44	23.355
16	45	24.737
17	46	26.119
18	47	27.604
19	48	29.089
20	49	30.392
21	50	31.695
22	51	33.077
23	52	34.33
24	53	36.029
25	54	37.69
26	55	38.433
27	56	40.002
28	57	41.571
29	58	42.89
30	59	44.193
31	60	45.762
32	61	46.683
33	62	47.792
34	63	49.552
35	64	50.753
36	65	52.238
37	66	53.695
38	67	54.745
39	68	56.23
40	69	57.612
41	70	59.26
42	71	60.921
43	72	62.303
44	73	63.127
45	74	64.292
