time (s)	frame	distance (um)
0	22	0
0.2	23	0.651
0.4	24	1.5
0.6	25	0.824
0.8	26	2.101
1	27	1.05
1.2	28	1.109
1.4	29	1.457
1.6	30	1.457
1.8	31	1.236
2	32	1.03
2.2	33	1.661
2.4	34	0.921
2.6	35	1.236
2.8	36	1.253
3	37	1.236
3.2	38	1.843
3.4	39	0.849
3.6	40	1.303
3.8	41	0.618
4	42	0.824
4.2	43	1.165
4.4	44	1.457
4.6	45	0.824
4.8	46	0.824
5	47	1.253
5.2	48	0.618
5.4	49	1.236
5.6	50	0.824
5.8	51	1.843
6	52	0.651
6.2	53	1.03
6.4	54	1.05
6.6	55	1.5
6.8	56	1.05
7	57	0.849
7.2	58	1.648
7.4	59	1.303
7.6	60	1.382
7.8	61	0.743
8	62	1.03
8.2	63	1.457
8.4	64	0.849
8.6	65	0.412
8.8	66	0.824
9	67	1.661
9.2	68	0.824
9.4	69	1.661
9.6	70	0.412
9.8	71	1.236
10	72	0.824
10.2	73	1.253
10.4	74	0.849
10.6	75	0.824
