time (s)	s(t) (um)
0	33.828
0.1	32.091
0.2	40.855
0.3	47.255
0.4	50.347
0.5	58.97
0.6	60.684
0.7	63.952
0.8	71.927
0.9	75.468
1	81.834
1.1	86.366
1.2	92.107
1.3	97.238
1.4	100.57
1.5	108.724
1.6	115.903
1.7	117.458
1.8	123.909
1.9	125.619
2	130.051
2.1	135.589
2.2	138.327
2.3	136.893
2.4	138.171
2.5	140.548
2.6	145.822
2.7	153.906
2.8	152.199
2.9	159.727
3	158.126
3.1	166.893
3.2	172.563
3.3	169.119
3.4	178.49
3.5	177.22
3.6	180.969
3.7	178.461
3.8	182.97
3.9	186.067
4	188.242
4.1	195.169
4.2	204.612
4.3	209.737
4.4	214.091
4.5	221.032
4.6	235.73
