time (s)	frame	L(t) (um)
0	206	49.12
0.25	207	48.472
0.5	208	46.422
0.75	209	46.422
1	210	45.577
1.25	211	44.757
1.5	212	43.937
1.75	213	43.937
2	214	42.912
2.25	215	42.912
2.5	216	42.912
2.75	217	40.435
3	218	39.59
3.25	219	38.77
3.5	220	37.13
3.75	221	36.105
4	222	36.105
4.25	223	36.105
4.5	224	36.105
4.75	225	36.105
5	226	33.813
5.25	227	33.813
5.5	228	33.813
5.75	229	33.813
6	230	33.813
6.25	231	32.993
6.5	232	31.833
6.75	233	31.013
7	234	29.168
7.25	235	26.503
7.5	236	24.112
7.75	237	20.627
8	238	18.793
8.25	239	16.394
8.5	240	15.097
8.75	241	13.047
9	242	12.022
9.25	243	10.332
9.5	244	8.692
9.75	245	7.667
10	246	6.847
10.25	247	6.199
10.5	248	5.174
10.75	249	3.739
11	250	2.694
11.25	251	1.824
11.5	252	0.799
