time (s)	frame	L(t) (um)
0	290	82.007
0.2	291	82.007
0.4	292	81.158
0.6	293	80.54
0.8	294	80.128
1	295	79.922
1.2	296	79.179
1.4	297	79.179
1.6	298	78.973
1.8	299	78.052
2	300	78.052
2.2	301	77.761
2.4	302	77.761
2.6	303	77.761
2.8	304	77.178
3	305	76.972
3.2	306	76.511
3.4	307	76.511
3.6	308	76.511
3.8	309	76.305
4	310	76.305
4.2	311	76.305
4.4	312	75.893
4.6	313	75.893
4.8	314	75.893
5	315	75.893
5.2	316	75.481
5.4	317	75.481
5.6	318	75.275
5.8	319	74.863
6	320	74.863
6.2	321	74.863
6.4	322	74.657
6.6	323	74.657
6.8	324	74.657
7	325	74.039
7.2	326	73.833
7.4	327	73.627
7.6	328	73.421
7.8	329	73.421
8	330	73.421
8.2	331	73.215
8.4	332	73.009
8.6	333	73.009
8.8	334	72.597
9	335	72.597
9.2	336	72.391
9.4	337	72.391
9.6	338	72.185
9.8	339	72.185
10	340	72.185
10.2	341	72.185
10.4	342	71.979
10.6	343	71.979
10.8	344	71.567
11	345	71.155
11.2	346	70.864
11.4	347	70.658
11.6	348	70.246
11.8	349	70.246
12	350	70.246
12.2	351	70.246
12.4	352	69.422
12.6	353	69.01
12.8	354	69.01
13	355	69.01
13.2	356	69.01
13.4	357	68.804
13.6	358	68.804
13.8	359	68.804
14	360	68.392
14.2	361	68.392
14.4	362	68.186
14.6	363	67.774
14.8	364	67.568
15	365	67.568
15.2	366	67.362
15.4	367	67.362
15.6	368	67.362
15.8	369	66.95
16	370	66.538
16.2	371	66.538
16.4	372	66.538
16.6	373	66.126
16.8	374	66.126
17	375	66.126
17.2	376	65.508
17.4	377	65.508
17.6	378	64.478
17.8	379	64.478
18	380	64.478
18.2	381	64.478
18.4	382	63.86
18.6	383	63.86
18.8	384	63.86
19	385	63.242
19.2	386	62.659
19.4	387	62.659
19.6	388	62.076
19.8	389	61.615
20	390	61.409
20.2	391	61.118
20.4	392	60.912
20.6	393	60.5
20.8	394	60.5
21	395	59.882
21.2	396	59.882
21.4	397	59.882
21.6	398	59.882
21.8	399	59.882
22	400	59.882
22.2	401	59.47
22.4	402	59.47
22.6	403	59.264
22.8	404	59.264
23	405	59.058
23.2	406	59.058
23.4	407	59.058
23.6	408	59.058
23.8	409	58.852
24	410	58.852
24.2	411	58.646
24.4	412	58.646
24.6	413	58.646
24.8	414	58.44
25	415	58.234
25.2	416	57.943
25.4	417	57.069
25.6	418	57.069
25.8	419	56.657
26	420	56.657
26.2	421	56.451
26.4	422	56.451
26.6	423	56.451
26.8	424	56.451
27	425	56.451
27.2	426	56.245
27.4	427	56.245
27.6	428	55.833
27.8	429	55.833
28	430	55.833
28.2	431	55.542
28.4	432	55.542
28.6	433	55.542
28.8	434	55.542
29	435	55.542
29.2	436	54.693
29.4	437	54.693
29.6	438	54.693
29.8	439	54.693
30	440	54.693
30.2	441	54.693
30.4	442	54.693
30.6	443	54.693
30.8	444	54.042
31	445	53.836
31.2	446	53.836
31.4	447	53.836
31.6	448	53.836
31.8	449	53.836
32	450	53.424
32.2	451	53.424
32.4	452	53.424
32.6	453	53.424
32.8	454	53.218
33	455	52.168
33.2	456	52.168
33.4	457	51.962
33.6	458	51.962
33.8	459	51.962
34	460	51.138
34.2	461	51.138
34.4	462	51.138
34.6	463	50.52
34.8	464	50.52
35	465	50.52
35.2	466	50.52
35.4	467	49.902
35.6	468	49.902
35.8	469	49.902
36	470	49.696
36.2	471	49.696
36.4	472	49.696
36.6	473	49.696
36.8	474	49.696
37	475	49.696
37.2	476	49.696
37.4	477	49.078
37.6	478	49.078
37.8	479	48.872
38	480	48.872
38.2	481	48.048
38.4	482	47.842
38.6	483	47.842
38.8	484	47.842
39	485	47.842
39.2	486	47.636
39.4	487	47.636
39.6	488	47.636
39.8	489	47.636
40	490	47.636
40.2	491	46.762
40.4	492	46.762
40.6	493	46.556
40.8	494	46.556
41	495	46.144
41.2	496	46.144
41.4	497	46.144
41.6	498	46.144
41.8	499	45.938
42	500	45.732
42.2	501	45.114
42.4	502	45.114
42.6	503	45.114
42.8	504	44.908
43	505	44.702
43.2	506	44.702
43.4	507	44.702
43.6	508	44.29
43.8	509	44.29
44	510	44.29
44.2	511	43.672
44.4	512	43.672
44.6	513	43.672
44.8	514	43.672
45	515	43.466
45.2	516	43.26
45.4	517	43.26
45.6	518	43.26
45.8	519	43.26
46	520	43.26
46.2	521	43.26
46.4	522	43.26
46.6	523	43.054
46.8	524	42.23
47	525	42.23
47.2	526	41.818
47.4	527	41.357
47.6	528	41.357
47.8	529	41.151
48	530	41.151
48.2	531	41.151
48.4	532	40.945
48.6	533	40.945
48.8	534	40.945
49	535	39.915
49.2	536	39.915
49.4	537	39.709
49.6	538	39.709
49.8	539	39.709
50	540	39.709
50.2	541	38.659
50.4	542	37.835
50.6	543	36.961
50.8	544	36.961
51	545	36.961
51.2	546	36.67
51.4	547	36.67
51.6	548	36.67
51.8	549	36.258
52	550	36.258
52.2	551	35.607
52.4	552	35.607
52.6	553	35.195
52.8	554	35.195
53	555	35.195
53.2	556	34.734
53.4	557	34.322
53.6	558	34.322
53.8	559	33.861
54	560	33.861
54.2	561	33.655
54.4	562	33.243
54.6	563	33.243
54.8	564	33.243
55	565	33.243
55.2	566	33.037
55.4	567	32.625
55.6	568	32.625
55.8	569	32.419
56	570	32.419
56.2	571	32.007
56.4	572	32.007
56.6	573	32.007
56.8	574	30.771
57	575	29.947
57.2	576	29.947
57.4	577	29.656
57.6	578	29.656
57.8	579	29.195
58	580	29.195
58.2	581	29.195
58.4	582	29.195
58.6	583	29.195
58.8	584	28.783
59	585	28.783
59.2	586	28.577
59.4	587	27.753
59.6	588	27.753
59.8	589	27.135
60	590	27.135
60.2	591	27.135
60.4	592	27.135
60.6	593	27.135
60.8	594	27.135
61	595	27.135
61.2	596	26.026
61.4	597	26.026
61.6	598	25.82
61.8	599	25.529
62	600	25.529
62.2	601	25.529
62.4	602	25.323
62.6	603	25.323
62.8	604	24.862
63	605	24.656
63.2	606	24.656
63.4	607	24.656
63.6	608	24.45
63.8	609	24.244
64	610	24.244
64.2	611	24.244
64.4	612	24.244
64.6	613	23.214
64.8	614	22.802
65	615	22.39
65.2	616	22.39
65.4	617	22.39
65.6	618	22.184
65.8	619	22.184
66	620	22.184
66.2	621	21.978
66.4	622	21.978
66.6	623	21.978
66.8	624	21.978
67	625	21.154
67.2	626	21.154
67.4	627	21.154
67.6	628	20.948
67.8	629	20.536
68	630	20.536
68.2	631	20.33
68.4	632	20.33
68.6	633	20.33
68.8	634	20.124
69	635	20.124
69.2	636	20.124
69.4	637	19.918
69.6	638	19.918
69.8	639	19.712
70	640	19.712
70.2	641	19.506
70.4	642	19.3
70.6	643	19.3
70.8	644	19.3
71	645	19.3
71.2	646	19.3
71.4	647	18.27
71.6	648	18.27
71.8	649	18.27
72	650	17.858
72.2	651	17.652
72.4	652	17.446
72.6	653	17.24
72.8	654	17.24
73	655	16.949
73.2	656	16.537
73.4	657	16.537
73.6	658	16.537
73.8	659	16.246
74	660	15.834
74.2	661	15.834
74.4	662	14.985
74.6	663	14.985
74.8	664	14.367
75	665	14.367
75.2	666	14.161
