time (s)	frame	L(t) (um)
0	66	0
0.2	67	1.109
0.4	68	1.521
0.6	69	1.812
0.8	70	2.273
1	71	2.685
1.2	72	2.685
1.4	73	2.685
1.6	74	3.097
1.8	75	3.388
2	76	3.8
2.2	77	4.451
2.4	78	5.069
2.6	79	5.481
2.8	80	6.224
3	81	6.636
3.2	82	6.842
3.4	83	7.425
3.6	84	7.886
3.8	85	8.347
4	86	9.171
4.2	87	9.583
4.4	88	9.789
4.6	89	10.201
4.8	90	10.613
5	91	10.613
5.2	92	11.231
5.4	93	11.437
5.6	94	11.849
5.8	95	12.261
6	96	13.085
6.2	97	13.085
6.4	98	13.546
6.6	99	14.007
6.8	100	14.75
7	101	14.956
7.2	102	15.368
7.4	103	15.829
7.6	104	16.678
7.8	105	17.09
8	106	17.708
8.2	107	17.914
8.4	108	18.326
8.6	109	18.532
8.8	110	19.15
9	111	19.974
9.2	112	20.18
9.4	113	20.18
9.6	114	20.798
9.8	115	21.21
10	116	21.622
10.2	117	22.034
10.4	118	22.652
10.6	119	22.858
10.8	120	23.149
11	121	23.561
11.2	122	24.212
11.4	123	24.795
11.6	124	24.795
11.8	125	25.207
12	126	25.413
12.2	127	25.619
12.4	128	26.728
12.6	129	27.778
12.8	130	28.19
13	131	28.19
13.2	132	29.014
13.4	133	29.863
13.6	134	30.069
13.8	135	30.275
14	136	30.893
14.2	137	31.099
14.4	138	31.717
14.6	139	31.923
14.8	140	32.384
15	141	33.233
15.2	142	33.645
15.4	143	34.057
15.6	144	34.263
15.8	145	34.914
16	146	35.738
16.2	147	35.738
16.4	148	36.199
16.6	149	36.611
16.8	150	37.229
17	151	38.259
17.2	152	38.671
17.4	153	38.671
17.6	154	38.877
17.8	155	38.877
18	156	39.907
18.2	157	40.368
18.4	158	40.78
18.6	159	40.986
18.8	160	41.637
19	161	42.049
19.2	162	42.7
19.4	163	43.161
19.6	164	43.367
19.8	165	44.191
20	166	44.603
20.2	167	45.015
20.4	168	45.427
20.6	169	46.251
20.8	170	46.663
21	171	47.075
21.2	172	48.311
21.4	173	48.723
21.6	174	48.929
21.8	175	49.39
22	176	49.851
22.2	177	50.469
22.4	178	50.881
22.6	179	51.087
22.8	180	51.087
23	181	52.117
23.2	182	53.147
23.4	183	53.765
23.6	184	54.177
23.8	185	55.098
24	186	55.716
24.2	187	56.299
24.4	188	56.711
24.6	189	56.917
24.8	190	57.378
25	191	58.614
25.2	192	59.815
25.4	193	60.276
25.6	194	60.482
25.8	195	60.894
26	196	62.147
26.2	197	62.353
26.4	198	62.765
26.6	199	63.177
26.8	200	64.001
27	201	64.413
27.2	202	65.463
27.4	203	66.114
27.6	204	66.857
27.8	205	67.269
28	206	67.887
28.2	207	68.736
28.4	208	68.942
28.6	209	69.354
28.8	210	69.972
29	211	70.433
29.2	212	71.051
29.4	213	71.669
29.6	214	71.96
29.8	215	73.196
30	216	74.02
30.2	217	74.226
30.4	218	74.638
30.6	219	75.05
30.8	220	75.971
31	221	76.383
31.2	222	77.207
31.4	223	77.498
31.6	224	77.91
31.8	225	78.116
32	226	78.577
