run_id,video,gravity_index,fps,frames_preclosure,complete_loop,pre_connection_found,opening_in_box,movement_found,reclosure_found,pre_connection_index,pre_connection_fraction,opening_index,opening_frame,opening_time_s,opening_fraction,opening_x_trav,opening_x_conn,opening_s_joint,opening_distance_to_0_5_1_5,movement_index,movement_frame,movement_time_s,movement_fraction,movement_x_trav,movement_x_conn,reclosure_index,reclosure_frame,reclosure_time_s,reclosure_fraction,reclosure_x_trav,reclosure_x_conn,closure_frame,closure_time_s,movement_to_reclosure_s,opening_to_movement_s,reclosure_to_closure_s
SN103_ToyouraSand_060_g0,SN103_ToyouraSand_060.mp4,0,30.0,149,True,True,True,True,True,50,0.33783783783783783,53,55,1.8,0.3581081081081081,0.4898034157260201,1.5352885292275882,1.0125459724768042,0.03673214703638653,56,58,1.9,0.3783783783783784,1.083576657220994,0.9296891995994548,83,85,2.8,0.5608108108108109,0.444558556893789,1.193690514079672,150,4.966666666666667,0.8999999999999999,0.09999999999999987,2.166666666666667
SN103_ToyouraSand_060_g1,SN103_ToyouraSand_060.mp4,1,30.0,129,True,True,True,True,True,46,0.359375,49,322,1.6666666666666667,0.3828125,0.5115387281192068,1.4184739906486976,0.9650063593839522,0.08233852347083725,53,326,1.8,0.4140625,1.121550672817342,0.7340031789542576,73,346,2.466666666666667,0.5703125,0.7927188985397124,1.1079678240747757,401,4.3,0.6666666666666667,0.1333333333333333,1.833333333333333
SN103_ToyouraSand_060_g2,SN103_ToyouraSand_060.mp4,2,30.0,159,True,True,True,True,True,94,0.5949367088607594,97,650,3.2666666666666666,0.6139240506329114,0.5010358933584045,1.5020720098028115,1.001553951580608,0.002316527503167958,99,652,3.333333333333333,0.6265822784810127,1.1568326900141024,0.8449155055140816,119,672,4.0,0.7531645569620253,0.6912738162449898,1.0657880345251431,711,5.3,0.666666666666667,0.06666666666666643,1.2999999999999998
SN103_ToyouraSand_060_g3,SN103_ToyouraSand_060.mp4,3,30.0,121,True,True,True,True,True,73,0.6083333333333333,76,901,2.566666666666667,0.6333333333333333,0.5013350271118711,1.4999999607000671,1.000667493905969,0.0013350271124495036,78,903,2.6333333333333333,0.65,1.1570009527504277,0.8542388454445882,109,934,3.6666666666666665,0.9083333333333333,0.796727651269505,1.4578659562300536,945,4.033333333333333,1.0333333333333332,0.06666666666666643,0.3666666666666667
SN103_ToyouraSand_060_g4,SN103_ToyouraSand_060.mp4,4,30.0,121,True,True,True,True,True,78,0.65,81,1200,2.7333333333333334,0.675,0.5744822139485175,1.3300060334211277,0.9522441236848226,0.1855951208084186,85,1204,2.8666666666666667,0.7083333333333334,1.1575478768143883,0.7695311117251926,113,1232,3.8,0.9416666666666667,0.9128159962266384,1.777605794022323,1239,4.033333333333333,0.9333333333333331,0.1333333333333333,0.2333333333333334
SN103_ToyouraSand_060_g5,SN103_ToyouraSand_060.mp4,5,30.0,117,True,True,True,True,True,77,0.6637931034482759,80,1478,2.7,0.6896551724137931,0.5009615466294247,1.507551184591099,1.0042563656102619,0.007612158737796266,87,1485,2.933333333333333,0.75,1.123052777956802,0.6123387976434198,111,1509,3.733333333333333,0.9568965517241379,0.8410766449452057,1.7985737896273064,1514,3.9,0.7999999999999998,0.23333333333333295,0.16666666666666696
SN103_ToyouraSand_060_g6,SN103_ToyouraSand_060.mp4,6,30.0,136,True,True,True,True,True,100,0.7407407407407407,103,1796,3.466666666666667,0.762962962962963,0.5001091113906856,1.4999999838938711,1.0000545476422784,0.0001091113918743174,107,1800,3.6,0.7925925925925926,1.1820038986258234,0.7581134232454712,131,1824,4.4,0.9703703703703703,0.9003849564811236,1.749947175126414,1828,4.533333333333333,0.8000000000000003,0.1333333333333333,0.13333333333333286
SN103_ToyouraSand_060_g7,SN103_ToyouraSand_060.mp4,7,30.0,143,True,True,True,True,True,113,0.795774647887324,116,2092,3.9,0.8169014084507042,0.6189964832340409,1.2529819816401997,0.9359892324371203,0.27418618567767417,118,2094,3.966666666666667,0.8309859154929577,1.223185521819148,0.7053790200382775,138,2114,4.633333333333334,0.971830985915493,0.982259250811126,1.520490298060328,2118,4.766666666666667,0.666666666666667,0.06666666666666687,0.13333333333333286
SN103_ToyouraSand_120_g0,SN103_ToyouraSand_120.mp4,0,30.0,195,True,True,True,True,True,61,0.31443298969072164,64,66,2.1666666666666665,0.32989690721649484,0.5004701834972193,1.5330034814206617,1.0167368324589405,0.03300683048105373,66,68,2.2333333333333334,0.3402061855670103,1.1387106364474602,0.8730631199332051,122,124,4.1,0.6288659793814433,0.8138483334129079,1.0952905981000418,196,6.5,1.8666666666666663,0.06666666666666687,2.4000000000000004
SN103_ToyouraSand_120_g1,SN103_ToyouraSand_120.mp4,1,30.0,182,True,True,True,True,True,71,0.39226519337016574,74,380,2.5,0.4088397790055249,0.5001252043723735,1.4999999998694262,1.0000626021208998,0.00012520437237357887,79,385,2.6666666666666665,0.43646408839779005,1.2071210681608764,0.8010855702126597,125,431,4.2,0.6906077348066298,0.9668956429406664,1.1764066396814952,487,6.066666666666666,1.5333333333333337,0.16666666666666652,1.8666666666666663
SN103_ToyouraSand_120_g2,SN103_ToyouraSand_120.mp4,2,30.0,200,True,True,True,True,True,66,0.3316582914572864,69,647,2.333333333333333,0.34673366834170855,0.727217779640187,1.2900910312936829,1.0086544054669349,0.3093375090867032,70,648,2.3666666666666667,0.35175879396984927,1.0454133347301402,0.9675682734702622,109,687,3.6666666666666665,0.5477386934673367,0.895673540807307,1.078717106218696,777,6.666666666666667,1.2999999999999998,0.03333333333333366,3.0000000000000004
SN103_ToyouraSand_120_g3,SN103_ToyouraSand_120.mp4,3,30.0,141,True,True,True,True,True,78,0.5571428571428572,81,942,2.7333333333333334,0.5785714285714286,0.5005295175329152,1.5520393118893074,1.0262844147111112,0.05204200582923644,85,946,2.8666666666666667,0.6071428571428571,1.2402387069668073,0.7802502867614646,110,971,3.7,0.7857142857142857,0.900578103235831,1.0591916491825242,1001,4.7,0.8333333333333335,0.1333333333333333,1.0
SN103_ToyouraSand_120_g4,SN103_ToyouraSand_120.mp4,4,30.0,140,True,True,True,True,True,79,0.5683453237410072,82,1214,2.7666666666666666,0.5899280575539568,0.5000086617108777,1.5308429703616606,1.0154258160362692,0.03084297157790589,86,1218,2.9,0.6187050359712231,1.2033718266728126,0.7663149539088169,112,1244,3.7666666666666666,0.8057553956834532,0.8398591991629978,1.389795617521826,1271,4.666666666666667,0.8666666666666667,0.1333333333333333,0.9000000000000004
SN103_ToyouraSand_120_g5,SN103_ToyouraSand_120.mp4,5,30.0,168,True,True,True,True,True,119,0.7125748502994012,122,1533,4.1,0.7305389221556886,0.6179295193835417,1.2928087635445042,0.955369141464023,0.2384021392647102,124,1535,4.166666666666667,0.7425149700598802,1.222585354653242,0.7272049294937837,150,1561,5.033333333333333,0.8982035928143712,0.8747234429704569,1.1984355239729123,1578,5.6,0.8666666666666663,0.06666666666666732,0.5666666666666664
SN103_ToyouraSand_120_g6,SN103_ToyouraSand_120.mp4,6,30.0,99,True,True,True,True,True,58,0.5918367346938775,61,1752,2.066666666666667,0.6224489795918368,0.6409421986929551,1.2608057670242183,0.9508739828585867,0.2776303017706766,63,1754,2.1333333333333333,0.6428571428571429,1.1915334561081417,0.709999967418083,85,1776,2.8666666666666667,0.8673469387755102,0.8991659783516639,1.1795220570875569,1789,3.3,0.7333333333333334,0.06666666666666643,0.4333333333333331
SN103_ToyouraSand_120_g7,SN103_ToyouraSand_120.mp4,7,30.0,147,True,True,True,True,True,113,0.773972602739726,116,2085,3.9,0.7945205479452054,0.5093102783669429,1.5017979255852782,1.0055541019761105,0.009482289790982057,118,2087,3.966666666666667,0.8082191780821918,1.1614870315814052,0.844761333141719,140,2109,4.7,0.958904109589041,0.8265888902171213,1.151374113492627,2115,4.9,0.7333333333333334,0.06666666666666687,0.20000000000000018
