event,method,time_s,M,C,speed_rank,display_shift_ms,selected_pair_lag_ms
GW170814,T427 direct,-0.495267578125,0.1774054131573925,0.12005120384551457,0.2956989247311828,0,-4
GW170814,T427 direct,-0.491267578125,0.16715358218715187,0.12340826038269448,0.1989247311827957,0,-4
GW170814,T427 direct,-0.487267578125,0.16671823489508814,0.13409653155293477,0.2903225806451613,0,-4
GW170814,T427 direct,-0.483267578125,0.1662828876030244,0.14478480272317507,0.7903225806451613,0,-4
GW170814,T427 direct,-0.479267578125,0.1662828876030244,0.21751551555697218,1.0,0,-4
GW170814,T427 direct,-0.475267578125,0.14361383363111013,0.3695516509724687,0.9301075268817204,0,-4
GW170814,T427 direct,-0.471267578125,0.13911751077500553,0.3725838138511677,0.3548387096774194,0,-4
GW170814,T427 direct,-0.46726757812499997,0.13911751077500553,0.39343687819533896,0.26881720430107525,0,-4
GW170814,T427 direct,-0.46326757812499997,0.13801864584036366,0.39343687819533896,0.053763440860215055,0,-4
GW170814,T427 direct,-0.45926757812499996,0.13801864584036366,0.39343687819533896,0.34946236559139787,0,-4
GW170814,T427 direct,-0.45526757812499996,0.13911751077500553,0.3695516509724687,0.3817204301075269,0,-4
GW170814,T427 direct,-0.45126757812499996,0.13801864584036366,0.36798093224395834,0.6881720430107527,0,-4
GW170814,T427 direct,-0.44726757812499995,0.14982255212090484,0.3032173262367689,0.8655913978494624,0,-4
GW170814,T427 direct,-0.44326757812499995,0.14982255212090484,0.2585022556557198,0.5967741935483871,0,-4
GW170814,T427 direct,-0.43926757812499995,0.13267965966899542,0.2585022556557198,0.1881720430107527,0,-4
GW170814,T427 direct,-0.43526757812499994,0.13267965966899542,0.2585022556557198,0.3655913978494624,0,-4
GW170814,T427 direct,-0.43126757812499994,0.10790296569568698,0.2585022556557198,0.3978494623655914,0,-4
GW170814,T427 direct,-0.42726757812499994,0.10585673530595727,0.2611057695631203,0.22043010752688172,0,-4
GW170814,T427 direct,-0.42326757812499993,0.10453076862851046,0.2767023493777877,0.553763440860215,0,-4
GW170814,T427 direct,-0.41926757812499993,0.10200501525253125,0.3025113876478147,0.6290322580645161,0,-4
GW170814,T427 direct,-0.4152675781249999,0.10200501525253125,0.3311377640294333,0.4946236559139785,0,-4
GW170814,T427 direct,-0.4112675781249999,0.09442965340795799,0.33768536171000396,0.24193548387096775,0,-4
GW170814,T427 direct,-0.4072675781249999,0.09442965340795799,0.3491991353513426,0.25268817204301075,0,-4
GW170814,T427 direct,-0.4032675781249999,0.09442965340795799,0.3583697154553614,0.13172043010752688,0,-4
GW170814,T427 direct,-0.3992675781249999,0.09138114191779238,0.3583697154553614,0.13172043010752688,0,-4
GW170814,T427 direct,-0.3952675781249999,0.09138114191779238,0.3491991353513426,0.27419354838709675,0,-4
GW170814,T427 direct,-0.3912675781249999,0.09461939376397907,0.33768536171000396,0.15591397849462366,0,-4
GW170814,T427 direct,-0.3872675781249999,0.0975941840824641,0.33768536171000396,0.20967741935483872,0,-4
GW170814,T427 direct,-0.3832675781249999,0.10887983975206168,0.3491991353513426,0.3118279569892473,0,-4
GW170814,T427 direct,-0.3792675781249999,0.10133377170710878,0.35997231148764336,0.6451612903225806,0,-4
GW170814,T427 direct,-0.3752675781249999,0.10133377170710878,0.41086684973321835,0.9408602150537635,0,-4
GW170814,T427 direct,-0.3712675781249999,0.10887983975206168,0.5205239480506245,0.989247311827957,0,-4
GW170814,T427 direct,-0.3672675781249999,0.11013204584377355,0.6257664280393378,0.8440860215053764,0,-4
GW170814,T427 direct,-0.3632675781249999,0.10887983975206168,0.6257664280393378,0.06720430107526881,0,-4
GW170814,T427 direct,-0.3592675781249999,0.10887983975206168,0.6257664280393378,0.06720430107526881,0,-4
