method_a,method_b,event,ridge_time_a_s,ridge_time_b_s,ridge_gap_ms
T427 direct,T428 paired,GW170104,-0.03526757812499959,-0.24726757812499978,212.0
T427 direct,T428 paired,GW170608,-0.043267578124999595,-0.495267578125,452.0
T427 direct,T428 paired,GW170809,-0.07926757812499963,-0.471267578125,392.0
T427 direct,T428 paired,GW170814,0.15273242187500058,-0.45526757812499996,608.0
T427 direct,T428 paired,GW170818,-0.03926757812499959,-0.32726757812499985,288.0
T427 direct,T429 separated,GW170104,-0.03526757812499959,-0.0512675781249996,16.0
T427 direct,T429 separated,GW170608,-0.043267578124999595,0.13273242187500056,176.0
T427 direct,T429 separated,GW170809,-0.07926757812499963,-0.07926757812499963,0.0
T427 direct,T429 separated,GW170814,0.15273242187500058,0.1687324218750006,16.0
T427 direct,T429 separated,GW170818,-0.03926757812499959,0.12473242187500055,164.0
T427 direct,T432 dynamic,GW170104,-0.03526757812499959,0.020732421875000462,56.0
T427 direct,T432 dynamic,GW170608,-0.043267578124999595,-0.10726757812499965,64.0
T427 direct,T432 dynamic,GW170809,-0.07926757812499963,-0.21526757812499975,136.0
T427 direct,T432 dynamic,GW170814,0.15273242187500058,-0.479267578125,632.0
T427 direct,T432 dynamic,GW170818,-0.03926757812499959,-0.3592675781249999,320.0
T428 paired,T429 separated,GW170104,-0.24726757812499978,-0.0512675781249996,196.0
T428 paired,T429 separated,GW170608,-0.495267578125,0.13273242187500056,628.0
T428 paired,T429 separated,GW170809,-0.471267578125,-0.07926757812499963,392.0
T428 paired,T429 separated,GW170814,-0.45526757812499996,0.1687324218750006,624.0
T428 paired,T429 separated,GW170818,-0.32726757812499985,0.12473242187500055,452.0
T428 paired,T432 dynamic,GW170104,-0.24726757812499978,0.020732421875000462,268.0
T428 paired,T432 dynamic,GW170608,-0.495267578125,-0.10726757812499965,388.0
T428 paired,T432 dynamic,GW170809,-0.471267578125,-0.21526757812499975,256.0
T428 paired,T432 dynamic,GW170814,-0.45526757812499996,-0.479267578125,24.0
T428 paired,T432 dynamic,GW170818,-0.32726757812499985,-0.3592675781249999,32.0
T429 separated,T432 dynamic,GW170104,-0.0512675781249996,0.020732421875000462,72.0
T429 separated,T432 dynamic,GW170608,0.13273242187500056,-0.10726757812499965,240.0
T429 separated,T432 dynamic,GW170809,-0.07926757812499963,-0.21526757812499975,136.0
T429 separated,T432 dynamic,GW170814,0.1687324218750006,-0.479267578125,648.0
T429 separated,T432 dynamic,GW170818,0.12473242187500055,-0.3592675781249999,484.0
