method_a,method_b,event,speed_rho,lag_frames,lag_ms,burst_dice,orientation_cosine,ridge_time_gap_ms
T427 direct,T428 paired,GW170104,0.23514494874408942,-12,-48,0.23255813953488372,-0.7459706591044775,216.0000000000002
T427 direct,T428 paired,GW170608,0.3899133024381682,-8,-32,0.25,-0.1427130728162604,464.0000000000004
T427 direct,T428 paired,GW170809,0.14849044474622433,-3,-12,0.20833333333333334,0.06528039087822812,392.00000000000034
T427 direct,T428 paired,GW170814,0.24993369175807614,8,32,0.3111111111111111,0.0,88.00000000000009
T427 direct,T428 paired,GW170818,0.22387416588908857,0,0,0.4583333333333333,0.557706987754731,292.0000000000003
T427 direct,T429 separated,GW170104,0.22610384352580576,3,12,0.4166666666666667,-0.13060994693782163,20.000000000000018
T427 direct,T429 separated,GW170608,0.20027731375987093,0,0,0.3333333333333333,0.08503743438915401,164.00000000000014
T427 direct,T429 separated,GW170809,0.1919195396847415,3,12,0.2916666666666667,0.040502263174859846,0.0
T427 direct,T429 separated,GW170814,0.24275915663451061,-1,-4,0.5416666666666666,-0.1359911706424621,36.00000000000003
T427 direct,T429 separated,GW170818,0.2468003269356845,14,56,0.1,-0.3085545811905973,12.00000000000001
T427 direct,T432 dynamic,GW170104,0.11812345005624476,-16,-64,0.32558139534883723,0.304447678900557,400.00000000000034
T427 direct,T432 dynamic,GW170608,0.2888565818757586,-1,-4,0.2916666666666667,0.8121578657607998,76.00000000000007
T427 direct,T432 dynamic,GW170809,0.22072280957386867,14,56,0.4090909090909091,-0.3466179977013608,136.0000000000001
T427 direct,T432 dynamic,GW170814,0.27265682522983287,-1,-4,0.375,0.5737789787081017,112.0000000000001
T427 direct,T432 dynamic,GW170818,0.2480935015283495,11,44,0.37209302325581395,-0.4415913241343927,324.0000000000003
T428 paired,T429 separated,GW170104,0.24006297909125035,-8,-32,0.4,-0.14137994251295125,196.00000000000017
T428 paired,T429 separated,GW170608,0.271739909188714,16,64,0.425531914893617,0.2025521635807302,300.0000000000003
T428 paired,T429 separated,GW170809,0.22793915588462604,-3,-12,0.2127659574468085,0.3610486910358762,392.00000000000034
T428 paired,T429 separated,GW170814,0.18607353087770157,-2,-8,0.4166666666666667,-0.19987858229921374,52.00000000000004
T428 paired,T429 separated,GW170818,0.20691311874536072,12,48,0.3181818181818182,0.11579801510662881,280.0000000000002
T428 paired,T432 dynamic,GW170104,0.29097378187839396,-13,-52,0.3,-0.08144307181138441,184.00000000000017
T428 paired,T432 dynamic,GW170608,0.17552205784372846,-7,-28,0.3404255319148936,-0.38749985718885505,388.00000000000034
T428 paired,T432 dynamic,GW170809,0.25982304126399336,-3,-12,0.34782608695652173,0.3589311777590418,256.0000000000002
T428 paired,T432 dynamic,GW170814,0.239839363143411,-4,-16,0.2916666666666667,0.04698686451975163,24.00000000000002
T428 paired,T432 dynamic,GW170818,0.337329579697874,-11,-44,0.2916666666666667,0.05185865403669959,32.00000000000003
T429 separated,T432 dynamic,GW170104,0.19650114928403783,-1,-4,0.3333333333333333,0.03560303609377686,380.00000000000034
T429 separated,T432 dynamic,GW170608,0.17571638268588846,-1,-4,0.25,-0.17371467425184295,88.00000000000009
T429 separated,T432 dynamic,GW170809,0.3126501375421905,-10,-40,0.391304347826087,-0.05004785205376123,136.0000000000001
T429 separated,T432 dynamic,GW170814,0.22841692223765042,0,0,0.375,0.0,76.00000000000007
T429 separated,T432 dynamic,GW170818,0.2703690940675666,-2,-8,0.3333333333333333,-0.11505305455116754,312.0000000000003
T427 direct,T430 budget (secondary),GW170104,0.3571374610063522,-7,-28,0.2916666666666667,0.0,240.00000000000023
T427 direct,T430 budget (secondary),GW170608,0.3587678795649778,0,0,0.3333333333333333,0.18181197288847795,220.0000000000002
T427 direct,T430 budget (secondary),GW170809,0.23958946679200427,-6,-24,0.3333333333333333,0.0,192.00000000000017
T427 direct,T430 budget (secondary),GW170814,0.3058668819679156,0,0,0.4583333333333333,0.04815230439392411,84.00000000000007
T427 direct,T430 budget (secondary),GW170818,0.14118237494697908,-13,-52,0.16666666666666666,0.01875732947113898,208.00000000000017
T428 paired,T430 budget (secondary),GW170104,0.310056404952128,0,0,0.5416666666666666,0.0,24.00000000000002
T428 paired,T430 budget (secondary),GW170608,0.19765053818560407,12,48,0.2978723404255319,-0.03786236402403415,244.00000000000023
T428 paired,T430 budget (secondary),GW170809,0.15534960157858752,-3,-12,0.2222222222222222,0.09027875799578926,200.00000000000017
