event,time_s,ridge_frequency_hz,median_excess_frequency_hz,centroid_excess_frequency_hz,h1_l1_lag_ms,h1_l1_activity_corr
GW170104,-0.24770498275756836,424.0,312.0,308.32612550531854,4.0,0.13012391796747388
GW170104,-0.24379873275756836,328.0,312.0,303.8616270676684,4.0,0.13012391796747388
GW170104,-0.23989248275756836,328.0,312.0,301.24687197827706,4.0,0.13012391796747388
GW170104,-0.23598623275756836,328.0,312.0,299.22319043564227,4.0,0.13012391796747388
GW170104,-0.23207998275756836,328.0,312.0,296.1534807286399,4.0,0.13012391796747388
GW170104,-0.22817373275756836,328.0,304.0,292.87126188205065,4.0,0.13012391796747388
GW170104,-0.22426748275756836,328.0,304.0,292.13266237859216,4.0,0.13012391796747388
GW170104,-0.22036123275756836,328.0,312.0,293.3766062765863,4.0,0.13012391796747388
GW170104,-0.21645498275756836,184.0,312.0,294.2174498984419,4.0,0.13012391796747388
GW170104,-0.21254873275756836,184.0,312.0,292.09586574781747,4.0,0.13012391796747388
GW170104,-0.20864248275756836,184.0,304.0,286.88051848941797,4.0,0.13012391796747388
GW170104,-0.20473623275756836,184.0,288.0,279.7310629601293,4.0,0.13012391796747388
GW170104,-0.20082998275756836,184.0,272.0,273.5013635593921,4.0,0.13012391796747388
GW170104,-0.19692373275756836,184.0,256.0,272.75229909612403,4.0,0.13012391796747388
GW170104,-0.19301748275756836,208.0,264.0,279.4254407903102,4.0,0.13012391796747388
GW170104,-0.18911123275756836,208.0,280.0,290.34489374780253,4.0,0.13012391796747388
GW170104,-0.18520498275756836,208.0,296.0,301.8253099414517,4.0,0.13012391796747388
GW170104,-0.18129873275756836,336.0,312.0,311.7906431376565,4.0,0.13012391796747388
GW170104,-0.17739248275756836,336.0,320.0,320.3885778148159,4.0,0.13012391796747388
GW170104,-0.17348623275756836,336.0,328.0,327.58072571845395,4.0,0.13012391796747388
GW170104,-0.16957998275756836,336.0,336.0,333.85617331303075,4.0,0.13012391796747388
GW170104,-0.16567373275756836,336.0,336.0,337.10496857891184,4.0,0.13012391796747388
GW170104,-0.16176748275756836,336.0,336.0,336.72091109283485,4.0,0.13012391796747388
GW170104,-0.15786123275756836,336.0,336.0,333.7056946290515,4.0,0.13012391796747388
GW170104,-0.15395498275756836,336.0,336.0,328.8320465702986,4.0,0.13012391796747388
GW170104,-0.15004873275756836,336.0,336.0,322.4292742570348,4.0,0.13012391796747388
GW170104,-0.14614248275756836,336.0,328.0,315.59112235220346,4.0,0.13012391796747388
GW170104,-0.14223623275756836,336.0,328.0,309.05011929857386,4.0,0.13012391796747388
GW170104,-0.13832998275756836,328.0,328.0,302.7429103017709,4.0,0.13012391796747388
GW170104,-0.13442373275756836,328.0,328.0,295.15867215751535,4.0,0.13012391796747388
GW170104,-0.13051748275756836,328.0,320.0,286.8522513740885,4.0,0.13012391796747388
GW170104,-0.12661123275756836,328.0,320.0,279.1696580685027,4.0,0.13012391796747388
GW170104,-0.12270498275756836,320.0,320.0,273.0399930153072,4.0,0.13012391796747388
GW170104,-0.11879873275756836,320.0,312.0,267.44611461320295,4.0,0.13012391796747388
GW170104,-0.11489248275756836,320.0,312.0,263.61486972860024,4.0,0.13012391796747388
GW170104,-0.11098623275756836,320.0,304.0,261.8361016157565,4.0,0.13012391796747388
