time_M,series,axis_angle_deg,axis_error_deg
149.0,Hidden A–B axis,147.31416402997357,-0.597140306617738
149.0,Blind half-phase axis,147.91130433659131,-0.597140306617738
184.5,Hidden A–B axis,182.64749978083603,-0.11624324679707115
184.5,Blind half-phase axis,182.76374302763313,-0.11624324679707115
220.0,Hidden A–B axis,218.08779791170252,-0.7558667772943777
220.0,Blind half-phase axis,218.8436646889969,-0.7558667772943777
256.0,Hidden A–B axis,254.16017389091567,-1.4184974722716583
256.0,Blind half-phase axis,255.57867136318734,-1.4184974722716583
291.5,Hidden A–B axis,289.86230834020574,-1.258013642989055
291.5,Blind half-phase axis,291.1203219831948,-1.258013642989055
327.5,Hidden A–B axis,326.1919438793452,-0.737353433996097
327.5,Blind half-phase axis,326.92929731334135,-0.737353433996097
363.0,Hidden A–B axis,362.1319519163299,-0.5813163151691296
363.0,Blind half-phase axis,362.713268231499,-0.5813163151691296
399.0,Hidden A–B axis,398.69051659698204,-0.802334165247086
399.0,Blind half-phase axis,399.4928507622291,-0.802334165247086
434.5,Hidden A–B axis,434.85376696528806,-0.9923528290381182
434.5,Blind half-phase axis,435.84611979432617,-0.9923528290381182
470.0,Hidden A–B axis,471.1362730529767,-0.9696682808539713
470.0,Blind half-phase axis,472.10594133383074,-0.9696682808539713
506.0,Hidden A–B axis,508.0641673933796,-0.8923660425143344
506.0,Blind half-phase axis,508.95653343589396,-0.8923660425143344
541.5,Hidden A–B axis,544.6263470116,-0.8873362573398966
541.5,Blind half-phase axis,545.5136832689399,-0.8873362573398966
577.5,Hidden A–B axis,581.8668820972233,-0.882785533186498
577.5,Blind half-phase axis,582.7496676304098,-0.882785533186498
613.0,Hidden A–B axis,618.761496146209,-0.8546916886353259
613.0,Blind half-phase axis,619.6161878348444,-0.8546916886353259
649.0,Hidden A–B axis,656.3539901235963,-0.8780770379744494
649.0,Blind half-phase axis,657.2320671615707,-0.8780770379744494
684.5,Hidden A–B axis,693.5981567479278,-0.9369557220384686
684.5,Blind half-phase axis,694.5351124699663,-0.9369557220384686
720.0,Hidden A–B axis,731.0075619966088,-0.931170870021231
720.0,Blind half-phase axis,731.9387328666301,-0.931170870021231
756.0,Hidden A–B axis,769.1020899948362,-0.8567430492623842
756.0,Blind half-phase axis,769.9588330440986,-0.8567430492623842
791.5,Hidden A–B axis,806.8134183048232,-0.8152657194628725
791.5,Blind half-phase axis,807.628684024286,-0.8152657194628725
827.5,Hidden A–B axis,845.1970830002316,-0.8443122296140645
827.5,Blind half-phase axis,846.0413952298456,-0.8443122296140645
863.0,Hidden A–B axis,883.1863180318946,-0.8815837621040769
863.0,Blind half-phase axis,884.0679017939987,-0.8815837621040769
899.0,Hidden A–B axis,921.8578422888305,-0.8808788964531352
899.0,Blind half-phase axis,922.7387211852837,-0.8808788964531352
934.5,Hidden A–B axis,960.1499211135689,-0.8730112177910714
934.5,Blind half-phase axis,961.0229323313599,-0.8730112177910714
970.0,Hidden A–B axis,998.6143924943254,-0.8787152655986857
970.0,Blind half-phase axis,999.4931077599241,-0.8787152655986857
1006.0,Hidden A–B axis,1037.8130794214346,-0.8841742943017749
1006.0,Blind half-phase axis,1038.6972537157365,-0.8841742943017749
1041.5,Hidden A–B axis,1076.670185226304,-0.8803924523140287
1041.5,Blind half-phase axis,1077.550577678618,-0.8803924523140287
1077.5,Hidden A–B axis,1116.2874368299406,-0.8783351149438241
1077.5,Blind half-phase axis,1117.1657719448845,-0.8783351149438241
1113.0,Hidden A–B axis,1155.5639436477823,-0.8752669173927853
1113.0,Blind half-phase axis,1156.439210565175,-0.8752669173927853
1149.0,Hidden A–B axis,1195.599064812366,-0.8620173804937344
1149.0,Blind half-phase axis,1196.4610821928595,-0.8620173804937344
1184.5,Hidden A–B axis,1235.2703987883194,-0.8431875569356378
1184.5,Blind half-phase axis,1236.113586345255,-0.8431875569356378
1220.5,Hidden A–B axis,1275.6853778120324,-0.8329694998401053
1220.5,Blind half-phase axis,1276.5183473118723,-0.8329694998401053
1256.0,Hidden A–B axis,1315.7154255001183,-0.8335362340475398
1256.0,Blind half-phase axis,1316.548961734166,-0.8335362340475398
1291.5,Hidden A–B axis,1355.9213469919314,-0.8370210938700771
1291.5,Blind half-phase axis,1356.7583680858015,-0.8370210938700771
1327.5,Hidden A–B axis,1396.8820455655975,-0.8404891355885457
1327.5,Blind half-phase axis,1397.722534701186,-0.8404891355885457
1363.0,Hidden A–B axis,1437.4755677209241,-0.843942133591961
1363.0,Blind half-phase axis,1438.3195098545161,-0.843942133591961
1399.0,Hidden A–B axis,1478.8651713839129,-0.8477166332192522
1399.0,Blind half-phase axis,1479.7128880171322,-0.8477166332192522
1434.5,Hidden A–B axis,1519.9190601301937,-0.8496827710677364
1434.5,Blind half-phase axis,1520.7687429012615,-0.8496827710677364
1470.5,Hidden A–B axis,1561.8067924646214,-0.8469105637811978
1470.5,Blind half-phase axis,1562.6537030284026,-0.8469105637811978
1506.0,Hidden A–B axis,1603.370911736846,-0.8364434712066109
1506.0,Blind half-phase axis,1604.2073552080526,-0.8364434712066109
1541.5,Hidden A–B axis,1645.1896056111375,-0.8216598817210224
1541.5,Blind half-phase axis,1646.0112654928585,-0.8216598817210224
1577.5,Hidden A–B axis,1687.848911405729,-0.8080715869186267
1577.5,Blind half-phase axis,1688.6569829926475,-0.8080715869186267
1613.0,Hidden A–B axis,1730.1533450030722,-0.7977252464094159
1613.0,Blind half-phase axis,1730.9510702494817,-0.7977252464094159
1649.0,Hidden A–B axis,1773.2870459271132,-0.7884889683208678
1649.0,Blind half-phase axis,1774.0755348954342,-0.7884889683208678
1684.5,Hidden A–B axis,1816.0516593630587,-0.7833316546443776
1684.5,Blind half-phase axis,1816.8349910177033,-0.7833316546443776
1720.5,Hidden A–B axis,1859.660576767013,-0.7860470046247499
1720.5,Blind half-phase axis,1860.4466237716379,-0.7860470046247499
1756.0,Hidden A–B axis,1902.9191897040553,-0.7912897850310043
1756.0,Blind half-phase axis,1903.7104794890863,-0.7912897850310043
1791.5,Hidden A–B axis,1946.4534166106896,-0.7914064565210576
1791.5,Blind half-phase axis,1947.2448230672107,-0.7914064565210576
1827.5,Hidden A–B axis,1990.9053579652366,-0.7865001969519602
1827.5,Blind half-phase axis,1991.6918581621885,-0.7865001969519602
1863.0,Hidden A–B axis,2035.058041637119,-0.781340725189223
1863.0,Blind half-phase axis,2035.8393823623082,-0.781340725189223
1899.0,Hidden A–B axis,2080.1645719193034,-0.7711495845781561
