time_M,actual_separation_M,common_horizon_time_M,predicted_handover_time_M,series,relation_ara
149.0,14.801268614122234,3685.496267868691,3723.0384611894415,Hidden horizon A–B,2.0
149.0,14.801268614122234,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.9719789080567143
184.5,14.768549893816392,3685.496267868691,3723.0384611894415,Hidden horizon A–B,2.0
184.5,14.768549893816392,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.9546571154658918
220.0,14.73216427179907,3685.496267868691,3723.0384611894415,Hidden horizon A–B,2.0
220.0,14.73216427179907,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.9099248910528512
256.0,14.695707775301429,3685.496267868691,3723.0384611894415,Hidden horizon A–B,2.0
256.0,14.695707775301429,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.9460618601517792
291.5,14.661659980307272,3685.496267868691,3723.0384611894415,Hidden horizon A–B,2.0
291.5,14.661659980307272,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.9634218814774764
327.5,14.62924782647176,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.9995711717270739
327.5,14.62924782647176,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.9562708817089318
363.0,14.598773923177987,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.9907974773177193
363.0,14.598773923177987,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.9414229025967014
399.0,14.568277668414328,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.9820173477312069
399.0,14.568277668414328,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.914122661664081
434.5,14.537343080374866,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.9731110182885658
434.5,14.537343080374866,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.9258334465719413
470.0,14.504425233801635,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.963633691945978
470.0,14.504425233801635,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.9322967643213123
506.0,14.468279876589762,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.953227138002534
506.0,14.468279876589762,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.9077415529890842
541.5,14.429769793967427,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.942139759620113
541.5,14.429769793967427,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.9009345228059433
577.5,14.388304957525351,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.930201682631105
577.5,14.388304957525351,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.8944450471949
613.0,14.34603704355879,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.918032392832929
613.0,14.34603704355879,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.8880143536543073
649.0,14.303070315886938,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.9056619086606628
649.0,14.303070315886938,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.881316985213186
684.5,14.261823910366891,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.8937867197808989
684.5,14.261823910366891,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.874839769610275
720.0,14.22255414987056,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.8824806237156215
720.0,14.22255414987056,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.868232509685847
756.0,14.185034535651054,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.8716784095605978
756.0,14.185034535651054,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.8612247533647084
791.5,14.149929217311291,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.861571291601766
791.5,14.149929217311291,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.8546033563800486
827.5,14.115256970657244,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.8515888586427909
827.5,14.115256970657244,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.8478398658515645
863.0,14.080653968468738,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.841626361750894
863.0,14.080653968468738,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.8409761886547666
899.0,14.043814559981946,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.831019984577329
899.0,14.043814559981946,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.8341380047092501
934.5,14.004830734503846,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.8197962116213269
934.5,14.004830734503846,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.8272177274951775
970.0,13.962869594044795,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.8077152445096751
970.0,13.962869594044795,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.8202737642017293
