time_to_horizon_M,series,ara_coordinate
-3528.996267868691,waveform Space/Connection,1.8219255893212156
-3528.996267868691,horizon radial closure,0.026412950866231185
-3528.996267868691,waveform Time/Traversal,0.0
-3528.996267868691,horizon angular traversal,0.0
-3521.496267868691,waveform Space/Connection,1.8020448736154502
-3521.496267868691,horizon radial closure,0.08094291394490202
-3521.496267868691,waveform Time/Traversal,0.002272081794944618
-3521.496267868691,horizon angular traversal,0.0042601533655211585
-3513.496267868691,waveform Space/Connection,1.860266969610906
-3513.496267868691,horizon radial closure,0.11190002840102244
-3513.496267868691,waveform Time/Traversal,0.008804316955410394
-3513.496267868691,horizon angular traversal,0.008804316955410394
-3505.496267868691,waveform Space/Connection,1.8687872763419484
-3505.496267868691,horizon radial closure,0.13518886679920478
-3505.496267868691,waveform Time/Traversal,0.031241124680488497
-3505.496267868691,horizon angular traversal,0.013348480545299631
-3497.996267868691,waveform Space/Connection,1.8287418347060493
-3497.996267868691,horizon radial closure,0.17409826753763136
-3497.996267868691,waveform Time/Traversal,0.059074126668560066
-3497.996267868691,horizon angular traversal,0.01760863391082079
-3489.996267868691,waveform Space/Connection,1.8139733030389094
-3489.996267868691,horizon radial closure,0.20704345356432832
-3489.996267868691,waveform Time/Traversal,0.0823629650667424
-3489.996267868691,horizon angular traversal,0.022152797500710024
-3481.996267868691,waveform Space/Connection,1.7597273501846067
-3481.996267868691,horizon radial closure,0.22777619994319795
-3481.996267868691,waveform Time/Traversal,0.09741550695825049
-3481.996267868691,horizon angular traversal,0.026696961090599262
-3474.496267868691,waveform Space/Connection,1.6035217267821642
-3474.496267868691,horizon radial closure,0.23856858846918488
-3474.496267868691,waveform Time/Traversal,0.17040613462084636
-3474.496267868691,horizon angular traversal,0.03095711445612042
-3466.496267868691,waveform Space/Connection,0.11701221243964782
-3466.496267868691,horizon radial closure,0.23146833285998297
-3466.496267868691,waveform Time/Traversal,0.1996591877307583
-3466.496267868691,horizon angular traversal,0.03550127804600966
-3458.496267868691,waveform Space/Connection,1.3811417211019597
-3458.496267868691,horizon radial closure,0.21868787276341947
-3458.496267868691,waveform Time/Traversal,0.1962510650383414
-3458.496267868691,horizon angular traversal,0.04004544163589889
