control,landmark,time_M,signed_error_M,absolute_error_M,absolute_error_cycles,within_one_parent_cycle
observed order,strongest path-direction change,3690.348311294589,4.852043425898046,4.852043425898046,0.42670185790316856,True
observed order,last connection/traversal crossing,3690.248322523012,4.752054654321,4.752054654321,0.4179085741552013,True
observed order,"nearest joint ridge (1,1)",3392.642420204365,-292.85384766432617,292.85384766432617,25.754361600613844,False
chronology shuffle,strongest path-direction change,3274.3373111508818,-411.15895671780936,411.15895671780936,36.15843374125321,False
chronology shuffle,last connection/traversal crossing,3692.6480234158453,7.151755547154153,7.151755547154153,0.6289447788021699,True
chronology shuffle,"nearest joint ridge (1,1)",3455.9897819753132,-229.50648589337789,229.50648589337789,20.183422804672457,False
quarter-record roll,strongest path-direction change,3237.9517862152798,-447.54448165341137,447.54448165341137,39.358275483792816,False
quarter-record roll,last connection/traversal crossing,3609.25177536047,-76.2444925082209,76.2444925082209,6.705147450761026,False
quarter-record roll,"nearest joint ridge (1,1)",3358.118190889568,-327.3780769791233,327.3780769791233,28.790515958315698,False
radial/traversal swap,strongest path-direction change,3690.348311294589,4.852043425898046,4.852043425898046,0.42670185790316856,True
radial/traversal swap,last connection/traversal crossing,3690.248322523012,4.752054654321,4.752054654321,0.4179085741552013,True
radial/traversal swap,"nearest joint ridge (1,1)",3392.642420204365,-292.85384766432617,292.85384766432617,25.754361600613844,False
baseline,waveform power crest baseline,3692.748009530485,7.251741661793858,7.251741661793858,0.6377378288918617,True
baseline,T435 frozen median baseline,3723.0384611894415,37.54219332075036,37.54219332075036,3.3015622972828504,False
