event,role,detector,overlap,rho_zero,rho_best,best_lag_frames,best_lag_s,dice,space_peak_time,time_peak_time,side_peak_gap_s,space_centroid_time,time_centroid_time,centroid_gap_s,joint_child_time,quadrant,overlap_percentile,rho_percentile,dice_percentile,gap_percentile,detector_gap_s
GW150914,development_only,H1,0.8992139650454198,0.2702843577351078,0.27201922789219707,-1,-0.004,0.46511627906976744,0.06166982650756836,-0.26254892349243164,0.32421875,-0.13691830793218723,-0.11207933222460466,0.024838975707582575,0.06166982650756836,S-/T+,0.43902439024390244,0.7073170731707317,0.8536585365853658,0.07317073170731707,
GW150914,development_only,L1,0.8883091342409589,0.10320133747171972,0.1250094681244801,1,0.004,0.19047619047619047,0.03823232650756836,0.03432607650756836,0.00390625,-0.13983969548777042,-0.11526469688155153,0.024574998606218895,0.03823232650756836,S-/T+,0.2682926829268293,0.17073170731707318,0.14634146341463414,0.975609756097561,
GW170814,development_only,H1,0.9011210006509045,0.15885881650731248,0.25973912376548053,-8,-0.032,0.45,0.074951171875,-0.089111328125,0.1640625,-0.11162774671624627,-0.11558622012813152,0.003958473411885252,-0.147705078125,S-/T+,0.24390243902439024,0.3170731707317073,0.6829268292682927,0.34146341463414637,
GW170814,development_only,L1,0.8870787548987761,0.3543068288509147,0.38641622673986104,-1,-0.004,0.5714285714285714,-0.022705078125,-0.190673828125,0.16796875,-0.1065561847368305,-0.10776712320032514,0.0012109384634946402,-0.022705078125,S+/T-,0.12195121951219512,0.4146341463414634,0.9024390243902439,0.4146341463414634,
GW190412,locked_evaluation_a,H1,0.8980026860132048,0.02552418793851183,0.17206396007685068,-8,-0.032,0.2926829268292683,-0.01567387580871582,-0.2539551258087158,0.23828125,-0.1056334768692343,-0.11884278763408107,0.013209310764846771,-0.2539551258087158,S+/T-,0.14634146341463414,0.07317073170731707,0.1951219512195122,0.12195121951219512,0.2265625
GW190412,locked_evaluation_a,L1,0.8861551867839275,0.012365757239524752,0.14021326598305148,-6,-0.024,0.2926829268292683,-0.04692387580871582,0.04682612419128418,0.09375,-0.11613572782288299,-0.1081874236843743,0.007948304138508694,-0.02739262580871582,S-/T+,0.024390243902439025,0.024390243902439025,0.14634146341463414,0.6097560975609756,0.2265625
GW190521_074359,locked_evaluation_a,H1,0.8676053419153185,-0.0702590457253651,0.1685625811919266,5,0.02,0.55,-0.014892578125,-0.030517578125,0.015625,-0.11616932843550692,-0.1046644756797817,0.011504852755725228,-0.221923828125,S+/T-,0.07317073170731707,0.2682926829268293,1.0,0.9024390243902439,0.19140625
GW190521_074359,locked_evaluation_a,L1,0.9048380365461655,0.04155142155110488,0.18846351056818256,2,0.008,0.26666666666666666,-0.030517578125,-0.034423828125,0.00390625,-0.12470087547442157,-0.12265150038653504,0.0020493750878865374,-0.030517578125,S-/T+,0.24390243902439024,0.17073170731707318,0.0975609756097561,0.926829268292683,0.19140625
GW190727_060333,locked_evaluation_a,H1,0.9032897824782583,0.19897695041052407,0.19897695041052407,0,0.0,0.37209302325581395,-0.057861328125,-0.007080078125,0.05078125,-0.12400511184166094,-0.11472747551161366,0.009277636330047273,-0.007080078125,S-/T+,0.5121951219512195,0.36585365853658536,0.6585365853658537,0.7317073170731707,0.05078125
GW190727_060333,locked_evaluation_a,L1,0.9267094207070165,0.3621209628684034,0.3621209628684034,0,0.0,0.32558139534883723,-0.057861328125,0.008544921875,0.06640625,-0.10115046334419471,-0.11610052655170806,0.014950063207513353,-0.057861328125,S+/T-,0.4878048780487805,0.5365853658536586,0.24390243902439024,0.5609756097560976,0.05078125
