#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-08-28T01:00:58 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T01:00:58	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J%2FA%2BA%2F707%2FA345%2Ftableb1&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37070345
#Name: J/A+A/707/A345
#Title: Gaia GraL. X. (Ducourant+, 2026)
#INFO	ivoid=ivo://cds.vizier/j/a+a/707/a345	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/707/a345	    IVOID of underlying data collection
#INFO	creator=Ducourant C.	    First author or institution
#INFO	cites=bibcode:2026A&A...707A.345D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2026	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/707/A345	    Dataset landing page
#INFO	publication_date=2026-04-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_707_A345_tableb1:
#Name: J/A+A/707/A345/tableb1
#Title: Compiled list of known gravitationally lensed systems with their time delays in days
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a24)	Name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A13)	Right ascension (J2000) of center of the lens system according to table A1	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A13)	Declination (J2000) of center of the lens system according to table A1	[ucd=pos.eq.dec;meta.main]
#Column	tAB	(D12.5)	? Time delay between A and B images	[ucd=time;arith.diff]
#Column	e_tAB	(F6.3)	? Time delay between A and B images error	[ucd=stat.error]
#Column	tAC	(D12.5)	? Time delay between A and C images	[ucd=time;arith.diff]
#Column	e_tAC	(F5.2)	? Time delay between A and C images error	[ucd=stat.error]
#Column	tAD	(D12.5)	? Time delay between A and D images	[ucd=time;arith.diff]
#Column	e_tAD	(F5.2)	? Time delay between A and D images error	[ucd=stat.error]
#Column	tBC	(F5.1)	? Time delay between B and C images	[ucd=time;arith.diff]
#Column	e_tBC	(F5.2)	? Time delay between B and C images error	[ucd=stat.error]
#Column	tBD	(D12.5)	? Time delay between B and D images	[ucd=time;arith.diff]
#Column	e_tBD	(F5.2)	? Time delay between B and D images error	[ucd=stat.error]
#Column	tCD	(D12.5)	? Time delay between C and D images	[ucd=time;arith.diff]
#Column	e_tCD	(F5.2)	? Time delay between C and D images error	[ucd=stat.error]
#Column	Ref	(a17)	Reference code	[ucd=meta.note]
#Column	BibCode	(A19)	BibCode	[ucd=meta.bib.bibcode]
recno	Name	RAJ2000	DEJ2000	tAB	e_tAB	tAC	e_tAC	tAD	e_tAD	tBC	e_tBC	tBD	e_tBD	tCD	e_tCD	Ref	BibCode
 	 	"h:m:s"	"d:m:s"	d	d	d	d	d	d	d	d	d	d	d	d	 	
--------	------------------------	-------------	-------------	------------	------	------------	-----	------------	-----	-----	-----	------------	-----	------------	-----	-----------------	-------------------
       1	DESJ0029-3814           	00 29 40.6205	-38 14 26.157	-6.50000e+00	 3.000	-6.60000e+00	 2.70	 4.31000e+01	 2.40	 -2.0	 3.50	 4.67000e+01	 2.90	 4.99000e+01	 2.70	2025Dux          	2025arXiv250402932D
       2	J0030-1525              	00 30 15.2948	-15 25 04.053	 9.30000e+00	 1.600	-1.93000e+01	 3.30	            	     	-28.5	 3.50	            	     	            	     	2025Dux          	2025arXiv250402932D
       3	HE0047-1756             	00 50 27.8316	-17 40 09.875	-1.08000e+01	 1.000	            	     	            	     	     	     	            	     	            	     	2020Millon_b     	2020A&A...642A.193M
       4	DESJ0053-2012           	00 53 44.4215	-20 12 33.220	-2.67000e+01	 2.600	-2.02000e+01	 2.60	-9.02000e+01	 6.70	  6.3	 2.00	-6.35000e+01	 5.90	-7.02000e+01	 6.10	2025Dux          	2025arXiv250402932D
       5	Q0142-100               	01 45 16.6683	-09 45 17.573	-9.77000e+01	16.100	            	     	            	     	     	     	            	     	            	     	2020Millon       	2020A&A...640A.105M
       6	QJ0158-4325             	01 58 41.3806	-43 25 03.859	-2.27000e+01	 3.600	            	     	            	     	     	     	            	     	            	     	2020Millon       	2020A&A...640A.105M
       7	WG0214-2105             	02 14 16.3633	-21 05 35.179	 1.07000e+01	 0.700	-5.00000e+00	 0.60	-2.90000e+00	 1.40	-15.7	 0.70	-1.36000e+01	 1.30	 2.10000e+00	 1.40	2025Dux          	2025arXiv250402932D
       8	B0218+357               	02 21 05.5010	+35 56 13.884	 1.13000e+01	 0.200	            	     	            	     	     	     	            	     	            	     	2018Biggs        	2018MNRAS.476.5393B
       9	HE0230-2130             	02 32 33.1777	-21 17 25.766	 1.20000e+00	 2.700	 1.07000e+01	 1.30	-3.42000e+01	 4.50	  9.5	 2.50	-3.55000e+01	 5.30	-4.50000e+01	 4.50	2025Dux          	2025arXiv250402932D
      10	SDSS0246-0825           	02 46 34.0772	-08 25 35.890	 8.00000e-01	 5.200	            	     	            	     	     	     	            	     	            	     	2020Millon       	2020A&A...640A.105M
      11	WISE025942.9-163543     	02 59 42.8664	-16 35 43.038	-9.00000e+00	 1.700	 8.30000e+00	 1.40	-1.75000e+01	 3.40	 17.0	 1.50	-8.50000e+00	 3.40	-2.53000e+01	 3.40	2025Dux          	2025arXiv250402932D
      12	DESJ040710.22-500600.9  	04 07 10.2762	-50 06 01.546	-1.28400e+02	 3.800	            	     	            	     	     	     	            	     	            	     	2020Millon       	2020A&A...642A.193M
      13	J0408-5354              	04 08 21.6709	-53 53 59.548	-1.12100e+02	 2.100	            	     	-1.55500e+02	12.80	     	     	-4.24000e+01	17.60	            	     	2018Courbin      	2018A&A...609A..71C
      14	J0420-4037              	04 20 46.7734	-40 37 26.771	 1.70000e+00	 2.400	 7.90000e+00	 2.60	-7.20000e+00	 5.10	  6.2	 2.30	-8.90000e+00	 4.90	-1.49000e+01	 4.90	2025Dux          	2025arXiv250402932D
      15	HE0435-1223             	04 38 14.8699	-12 17 14.747	-9.00000e+00	 0.800	-8.00000e-01	 0.80	-1.38000e+01	 0.80	  7.8	 0.80	-6.50000e+00	 0.70	-1.43000e+01	 0.80	2020Millon       	2020A&A...640A.105M
      16	J050129.5-073309        	05 01 29.4901	-07 33 06.311	-1.07800e+02	 8.500	            	     	            	     	     	     	            	     	            	     	2023Tubn         	2023A&A...672L...9T
      17	DESJ0501-4118           	05 01 46.0821	-41 18 01.052	 1.20000e+02	 1.000	            	     	            	     	     	     	            	     	            	     	2023Carnerero    	2023A&A...674A..24C
      18	DESJ0602-4335           	06 02 16.0963	-43 35 40.276	 2.36000e+01	 2.100	            	     	            	     	     	     	            	     	            	     	2025Dux          	2025arXiv250402932D
      19	GraLJ060710.8-215217    	06 07 10.8879	-21 52 18.057	-1.34000e+01	 2.400	 1.62000e+01	 2.60	            	     	     	     	 2.97000e+01	 3.40	            	     	2025Dux          	2025arXiv250402932D
      20	GraLJ065904.1+162909    	06 59 04.0538	+16 29 09.276	-1.61000e+01	 2.200	 2.62200e+02	11.10	-1.42000e+01	12.80	277.0	11.40	 1.10000e+00	13.70	-2.77700e+02	14.00	2025Dux          	2025arXiv250402932D
      21	SDSS0806+2006           	08 06 23.6596	+20 06 31.643	-5.30000e+01	 6.000	            	     	            	     	     	     	            	     	            	     	2024Bekov        	2024AstBu..79...15B
      22	HS0818+1227             	08 21 38.8912	+12 17 31.026	-1.53800e+02	14.600	            	     	            	     	     	     	            	     	            	     	2020Millon       	2020A&A...640A.105M
      23	APM08279+5255           	08 31 41.6695	+52 45 17.420	 9.00000e+02	      	            	     	            	     	     	     	            	     	            	     	2016Saturni      	2016A&A...587A..43S
      24	SDSSJ0832+0404          	08 32 17.0574	+04 04 04.553	-1.29400e+02	11.900	            	     	            	     	     	     	            	     	            	     	2025Dux          	2025arXiv250402932D
      25	RXJ0911+0551            	09 11 27.5689	+05 50 54.408	 1.07000e+01	 1.700	 5.60000e+00	 1.80	 1.60000e+02	 8.90	 -4.8	 1.10	 1.50000e+02	 8.90	 1.54000e+02	 8.80	2025Dux          	2025arXiv250402932D
      26	SBS0909+532             	09 13 01.0571	+52 59 28.743	 5.00000e+01	 4.000	            	     	            	     	     	     	            	     	            	     	2013Hainline     	2013ApJ...774...69H
      27	SDSS0924+0219           	09 24 55.8084	+02 19 24.633	 3.70000e+00	 0.900	-1.75000e+01	 3.40	-1.60000e+00	 3.60	-21.5	 3.50	-5.20000e+00	 3.70	 1.47000e+01	 5.00	2025Dux          	2025arXiv250402932D
      28	FBQ0951+2635            	09 51 22.6028	+26 35 13.720	 1.35000e+01	 1.600	            	     	            	     	     	     	            	     	            	     	2025Shalyapin    	2025A&A...694A..31S
      29	Q0957+561               	10 01 20.7647	+55 53 52.568	-4.17000e+02	 2.000	            	     	            	     	     	     	            	     	            	     	2008Shalyapin    	2008A&A...492..401S
      30	SDSS1001+5027           	10 01 28.4794	+50 27 57.652	-1.17100e+02	 8.800	            	     	            	     	     	     	            	     	            	     	2017Aghamousa    	2017ApJ...834...31A
      31	SDSS1004+4112           	10 04 34.4060	+41 12 41.417	 4.30100e+01	 0.270	 8.25200e+02	 0.46	-1.63323e+03	 0.97	782.2	 0.43	-1.67626e+03	 0.97	-2.45847e+03	 1.02	2022Munoz        	2022ApJ...937...34M
      32	SDSS1029+2623           	10 29 14.1653	+26 23 32.167	 7.44000e+02	10.000	            	     	            	     	     	     	            	     	            	     	2013 Fohlmeister 	2013ApJ...764..186F
      33	B1030+074               	10 33 34.0243	+07 11 26.148	 1.46000e+02	 6.000	            	     	            	     	     	     	            	     	            	     	2018Biggs_b      	2018MNRAS.481.1000B
      34	HE1104-1805             	11 06 33.4864	-18 21 24.495	-1.62200e+02	 6.300	            	     	            	     	     	     	            	     	            	     	2008Morgan       	2008ApJ...676...80M
      35	PG1115+080              	11 18 16.9023	+07 45 58.686	            	      	 8.30000e+00	 1.60	 9.90000e+00	 1.10	     	     	            	     	 1.88000e+01	 1.60	2018Bonvin       	2018A&A...616A.183B
      36	GraLJ113100013-441959935	11 31 00.0128	-44 19 59.933	            	      	            	     	            	     	  3.5	 0.70	-1.01000e+01	 0.80	-1.36000e+01	 2.60	2025Dux          	2025arXiv250402932D
      37	RXJ1131-1231            	11 31 51.5197	-12 31 58.648	 1.60000e+00	 0.700	-1.00000e+00	 1.20	-9.25000e+01	 1.90	 -2.0	 1.40	-9.37000e+01	 2.00	-9.18000e+01	 2.30	2020Millon       	2020A&A...640A.105M
      38	2MASSJ11344050-2103230  	11 34 40.5404	-21 03 22.576	 3.05000e+01	 2.300	 3.89000e+01	 2.20	-4.15000e+01	 8.80	  8.6	 1.50	-7.19000e+01	 8.50	-8.05000e+01	 8.40	2020Millon_b     	2020A&A...642A.193M
      39	SDSS1206+4332           	12 06 29.6583	+43 32 19.098	-1.11300e+02	 3.000	            	     	            	     	     	     	            	     	            	     	2013Eulaers      	2013A&A...553A.121E
      40	SDSS1226-0006           	12 26 08.0575	-00 06 02.320	 3.37000e+01	 2.700	            	     	            	     	     	     	            	     	            	     	2020Millon       	2020A&A...640A.105M
      41	2MASSJ13102005-1714579  	13 10 20.0770	-17 14 58.277	-5.59000e+01	 1.500	-2.14000e+01	 0.60	-1.49000e+01	 0.50	 34.5	 1.40	 4.10000e+01	 1.40	 6.60000e+00	 0.50	2025Dux          	2025arXiv250402932D
      42	SDSSJ1335+0118          	13 35 34.8242	+01 18 04.924	-5.60000e+01	 6.100	            	     	            	     	     	     	            	     	            	     	2020Millon       	2020A&A...640A.105M
      43	SDSSJ1339+1310          	13 39 07.1894	+13 10 39.155	 4.70000e+01	 6.000	            	     	            	     	     	     	            	     	            	     	2016Goicochea    	2016A&A...596A..77G
      44	Q1355-2257              	13 55 43.4003	-22 57 23.424	-8.15000e+01	12.000	            	     	            	     	     	     	            	     	            	     	2020Millon       	2020A&A...640A.105M
      45	H1413+117               	14 15 46.2367	+11 29 43.620	            	      	            	     	-2.88000e+01	 0.70	     	     	 1.89000e+01	 2.80	 1.74000e+01	 2.10	2016Akhunov      	2017MNRAS.465.3607A
      46	B1422+231               	14 24 38.1079	+22 56 00.263	 1.50000e+00	 1.400	 7.60000e+00	 2.50	            	     	  8.2	 2.00	            	     	            	     	2001Patnaik      	2001MNRAS.326.1403P
      47	SDSSJ1433+6007          	14 33 22.8422	+60 07 15.112	 2.21000e+01	 2.400	 3.33000e+01	 2.50	 8.09000e+01	 7.50	     	     	            	     	            	     	2023Queirolo     	2023arXiv231209311Q
