direction,feature,flies,events,median_fly_raw_change,median_fly_matched_residual,mean_fly_matched_residual,positive_fraction,exact_two_sided_sign_flip_p
retention → traversal,grooming,16,788,0.009865430622009574,0.00873647551241176,0.01218132074345379,0.625,0.053680419921875
retention → traversal,idle,16,788,-0.05998106060606062,-0.06021699023285399,-0.05500870754701681,0.125,0.002227783203125
retention → traversal,locomotion,16,788,0.039674806201550394,0.038519258206722896,0.03946524756625032,0.875,0.00018310546875
retention → traversal,proboscis,16,788,0.001523211262585756,0.0019015773605459607,0.0025027908854413396,0.6875,0.06231689453125
retention → traversal,unresolved,16,788,0.00347025089605735,0.006204917879188705,0.000859348351871386,0.6875,0.855865478515625
traversal → retention,grooming,16,818,-0.011403015301530175,-0.013003016298933086,-0.012659536244321807,0.3125,0.127166748046875
traversal → retention,idle,16,818,0.06598325258057722,0.0756961147442329,0.0657343601084674,0.8125,0.002349853515625
traversal → retention,locomotion,16,818,-0.037957012592270946,-0.04144020061728396,-0.042715079538856955,0.0625,9.1552734375e-05
traversal → retention,proboscis,16,818,-0.003079343971631199,-0.0020572085055814643,-0.0023124958994231804,0.25,0.013885498046875
traversal → retention,unresolved,16,818,-0.007436451091917701,-0.00934912192470306,-0.008047248425865459,0.25,0.0927734375
