source_file,date,split,burst,recording_fraction,fps,feature,scale_frames,scale_seconds,amount,persistence,retained_dispersion,reversal_asymmetry,abs_reversal_asymmetry,valid_blocks,total_blocks
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,traversal_speed,1,0.010004001600640256,0.052654712480909395,0.5373201905498043,1.0,0.006696776610274719,0.006696776610274719,5997,5998
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,traversal_speed,2,0.020008003201280513,0.060137573062065616,0.5223338000111301,1.1825569244607275,0.03602010668981537,0.03602010668981537,2998,2999
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,traversal_speed,4,0.040016006402561026,0.08588422843550224,0.5391873613930703,1.9890319202063305,0.015264575462203214,0.015264575462203214,1498,1499
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,traversal_speed,8,0.08003201280512205,0.21683297046695577,0.5715669773042751,5.211239713156184,-0.046267723464512855,0.046267723464512855,749,749
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,traversal_speed,16,0.1600640256102441,0.23668080582865564,0.5769423585556178,5.36188869509656,0.1178706152588197,0.1178706152588197,374,374
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,traversal_speed,32,0.3201280512204882,0.2467130803897491,0.5878259491162716,4.515635805222554,-0.11168630256451655,0.11168630256451655,187,187
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,traversal_speed,64,0.6402561024409764,0.25801282385654556,0.5435938535517778,3.9658885053514314,0.029513980373020644,0.029513980373020644,93,93
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,traversal_speed,128,1.2805122048819528,0.28260732865156596,0.258498023715415,3.6784566296541517,0.32702880964256165,0.32702880964256165,46,46
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,traversal_speed,256,2.5610244097639057,0.28220958719977385,-0.10333145115753813,3.2826081401943523,-0.22029610189820845,0.22029610189820845,23,23
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,traversal_speed,512,5.122048819527811,0.33761448202408595,0.2606060606060606,1.2750287553601558,0.893964404734587,0.893964404734587,11,11
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,traversal_speed,1024,10.244097639055623,0.35058602916640513,0.39999999999999997,0.5199720922056758,0.9092648651679309,0.9092648651679309,5,5
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,rotation_speed,1,0.010004001600640256,0.021299877366847166,0.37950631256576733,1.0,-0.013229737666746542,0.013229737666746542,5997,5998
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,rotation_speed,2,0.020008003201280513,0.02246951303523203,0.35511982945786175,0.8584849967311754,-0.003467970806547338,0.003467970806547338,2998,2999
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,rotation_speed,4,0.040016006402561026,0.0243013701789057,0.40583435135265566,0.7602583366901355,0.050745955230927946,0.050745955230927946,1498,1499
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,rotation_speed,8,0.08003201280512205,0.02534848638161056,0.41639713075759627,0.6800473866462432,-0.024521555118936514,0.024521555118936514,749,749
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,rotation_speed,16,0.1600640256102441,0.02746250956114408,0.39259050974410814,0.6986097762230495,-0.07096057308945217,0.07096057308945217,374,374
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,rotation_speed,32,0.3201280512204882,0.03006101472485318,0.40919114733156475,0.8660889667362212,0.10788403880981041,0.10788403880981041,187,187
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,rotation_speed,64,0.6402561024409764,0.0346242855190174,0.45467996239384734,0.9638483474251934,-0.5628728486499325,0.5628728486499325,93,93
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,rotation_speed,128,1.2805122048819528,0.038487745777719636,0.587615283267457,1.0464040324194828,-0.6649861683891134,0.6649861683891134,46,46
