node,sampled_finite_fraction,median_block_finite_fraction,sampled_longest_run_seconds_median,sampled_longest_run_seconds_q10
head,1.0,1.0,5.002000800320128,5.002000800320128
eyeL,1.0,1.0,5.002000800320128,5.002000800320128
eyeR,1.0,1.0,5.002000800320128,5.002000800320128
thorax,1.0,1.0,5.002000800320128,5.002000800320128
abdomen,1.0,1.0,5.002000800320128,5.002000800320128
forelegL,0.8885000000000001,1.0,5.002000800320128,0.7503001200480193
forelegR,0.8365,1.0,5.002000800320128,0.777310924369748
midlegL,0.99475,1.0,5.002000800320128,3.460384153661465
midlegR,0.723,0.992,4.961984793917567,0.0
hindlegL,0.98575,1.0,5.002000800320128,3.705482192877151
hindlegR,0.84975,1.0,5.002000800320128,0.9803921568627453
wingL,1.0,1.0,5.002000800320128,5.002000800320128
wingR,1.0,1.0,5.002000800320128,5.002000800320128
proboscis,0.02075,0.0,0.0,0.0
