split,experiment,cell_id,cell_key,observed_g1_count,observed_hours,slowdown_onset_interval,slowdown_onset_hours
external,Experiment_1,cell_1.1,Experiment_1|cell_1.1,14,18.0,12.0,16.0
external,Experiment_1,cell_1.10,Experiment_1|cell_1.10,15,20.0,,
external,Experiment_1,cell_1.2,Experiment_1|cell_1.2,21,25.3333333333333,4.0,5.0
external,Experiment_1,cell_1.3,Experiment_1|cell_1.3,9,20.6666666666667,6.0,10.6666666666667
external,Experiment_1,cell_1.4,Experiment_1|cell_1.4,23,37.3333333333333,18.0,24.0
external,Experiment_1,cell_1.5,Experiment_1|cell_1.5,11,14.6666666666667,,
external,Experiment_1,cell_1.6,Experiment_1|cell_1.6,7,9.66666666666667,,
external,Experiment_1,cell_1.7,Experiment_1|cell_1.7,10,13.6666666666667,6.0,8.0
external,Experiment_1,cell_1.8,Experiment_1|cell_1.8,12,14.3333333333333,,
external,Experiment_1,cell_1.9,Experiment_1|cell_1.9,18,40.6666666666667,13.0,24.0
external,Experiment_2,cell_1.11,Experiment_2|cell_1.11,21,52.6666666666667,7.0,8.0
external,Experiment_2,cell_1.12,Experiment_2|cell_1.12,24,33.0,8.0,8.33333333333333
external,Experiment_2,cell_1.13,Experiment_2|cell_1.13,21,53.0,7.0,8.0
external,Experiment_2,cell_1.14,Experiment_2|cell_1.14,15,17.3333333333333,,
external,Experiment_2,cell_1.15,Experiment_2|cell_1.15,21,42.3333333333333,10.0,13.0
external,Experiment_2,cell_1.16,Experiment_2|cell_1.16,20,60.3333333333333,9.0,18.3333333333333
external,Experiment_2,cell_1.17,Experiment_2|cell_1.17,14,22.3333333333333,4.0,4.33333333333333
external,Experiment_2,cell_1.18,Experiment_2|cell_1.18,8,9.66666666666667,,
external,Experiment_2,cell_1.19,Experiment_2|cell_1.19,25,30.3333333333333,22.0,26.0
external,Experiment_2,cell_1.20,Experiment_2|cell_1.20,28,88.6666666666667,8.0,17.6666666666667
external,Experiment_2,cell_1.21,Experiment_2|cell_1.21,22,42.0,4.0,4.66666666666667
external,Experiment_2,cell_1.22,Experiment_2|cell_1.22,32,39.3333333333333,,
external,Experiment_2,cell_1.23,Experiment_2|cell_1.23,30,38.3333333333333,25.0,30.0
external,Experiment_2,cell_1.24,Experiment_2|cell_1.24,11,12.3333333333333,7.0,7.66666666666667
external,Experiment_2,cell_1.25,Experiment_2|cell_1.25,32,43.6666666666667,6.0,6.33333333333333
external,Experiment_2,cell_1.26,Experiment_2|cell_1.26,30,38.6666666666667,25.0,27.0
external,Experiment_2,cell_1.27,Experiment_2|cell_1.27,21,30.3333333333333,10.0,10.3333333333333
external,Experiment_2,cell_1.28,Experiment_2|cell_1.28,10,12.0,6.0,7.0
external,Experiment_2,cell_1.29,Experiment_2|cell_1.29,33,42.0,12.0,12.6666666666667
external,Experiment_3,cell_1.30,Experiment_3|cell_1.30,6,6.33333333333333,,
external,Experiment_3,cell_1.31,Experiment_3|cell_1.31,9,19.0,4.0,5.0
external,Experiment_3,cell_1.32,Experiment_3|cell_1.32,21,33.3333333333333,9.0,9.66666666666667
external,Experiment_3,cell_1.33,Experiment_3|cell_1.33,18,24.0,11.0,12.0
external,Experiment_3,cell_1.34,Experiment_3|cell_1.34,19,26.6666666666667,12.0,14.3333333333333
external,Experiment_3,cell_1.35,Experiment_3|cell_1.35,22,30.6666666666667,18.0,21.0
external,Experiment_3,cell_1.36,Experiment_3|cell_1.36,19,23.6666666666667,17.0,21.6666666666667
external,Experiment_3,cell_1.37,Experiment_3|cell_1.37,15,27.3333333333333,8.0,9.33333333333333
external,Experiment_3,cell_1.38,Experiment_3|cell_1.38,8,12.3333333333333,,
external,Experiment_3,cell_1.39,Experiment_3|cell_1.39,24,39.6666666666667,4.0,4.0
external,Experiment_3,cell_1.40,Experiment_3|cell_1.40,16,21.3333333333333,13.0,17.0
external,Experiment_3,cell_1.41,Experiment_3|cell_1.41,12,17.3333333333333,7.0,8.33333333333333
external,Experiment_3,cell_1.42,Experiment_3|cell_1.42,17,21.6666666666667,12.0,13.6666666666667
external,Experiment_4,cell_1.43,Experiment_4|cell_1.43,10,18.0,6.0,9.0
external,Experiment_4,cell_1.44,Experiment_4|cell_1.44,10,31.3333333333333,4.0,7.0
external,Experiment_4,cell_1.45,Experiment_4|cell_1.45,15,24.0,13.0,19.3333333333333
external,Experiment_4,cell_1.46,Experiment_4|cell_1.46,20,41.0,16.0,25.6666666666667
