split,cell_key,radius_crossing_prefix_g1,radius4_sq_at_crossing,remaining_divisions_at_crossing,slowdown_onset_interval,slowdown_lead_intervals_from_crossing,generation_fraction_radius,clock_fraction_radius,size_fraction_radius,rpl_fraction_radius
development,Experiment_7|cell_2.1,12,1.2404730482745832,7,16.0,5.0,0.8061440765609011,0.09727322984762363,0.054721244419135395,0.04186144917233987
development,Experiment_7|cell_2.10,12,1.1731963641364263,7,11.0,0.0,0.8523722290394978,0.12929613092022868,0.010843305578796779,0.007488334461476704
development,Experiment_7|cell_2.11,12,1.3852878650980318,5,4.0,-7.0,0.7218716233605595,0.2419569707108786,0.017447020113247662,0.01872438581531428
development,Experiment_7|cell_2.12,11,1.221768498453997,2,5.0,-5.0,0.5479118903870734,0.4071115948013472,0.0426643312600994,0.0023121835514800333
development,Experiment_7|cell_2.14,12,1.127099458999005,2,,,0.887233147009152,0.10705782793273647,0.0039146400248967535,0.0017943850332146829
development,Experiment_7|cell_2.17,12,1.1142440223069494,2,11.0,0.0,0.8974694770446991,0.07249365637291638,0.03002651518552351,1.0351396860912524e-05
development,Experiment_7|cell_2.18,11,1.0132442654079574,1,4.0,-6.0,0.6606713804926198,0.28443234846963505,0.019750549182359012,0.03514572185538628
development,Experiment_7|cell_2.19,12,1.3103189628057132,1,10.0,-1.0,0.7631729589402839,0.21994602395608323,0.008646231333224329,0.008234785770408386
development,Experiment_7|cell_2.2,12,1.2568312386156912,2,,,0.7956517703215491,0.1481984073031056,0.033205735960543076,0.02294408641480233
development,Experiment_7|cell_2.20,12,1.1588522733908877,6,11.0,0.0,0.8629227581130128,0.04216608712773709,0.033904722887672566,0.061006431871577615
development,Experiment_7|cell_2.21,12,1.2735685958189078,3,13.0,2.0,0.7851952405885114,0.1921879541783961,0.0001721156250599195,0.022444689608032562
development,Experiment_7|cell_2.24,12,1.2694593039323878,1,8.0,-3.0,0.7877369498197483,0.176749841926312,0.033621288328773,0.0018919199251666516
development,Experiment_7|cell_2.25,12,1.1583433204564508,6,,,0.8633019091489603,0.09192610910716273,0.034909822749607834,0.009862158994269187
development,Experiment_7|cell_2.27,11,1.0444722117265068,2,7.0,-3.0,0.6409184275920138,0.14523100661699492,0.16265810976161024,0.05119245602938112
development,Experiment_7|cell_2.30,12,1.4744070798969482,1,11.0,0.0,0.6782387399210629,0.22733209842229393,0.090826612322257,0.0036025493343863737
development,Experiment_7|cell_2.31,12,1.1829177836366902,4,12.0,1.0,0.8453672891159528,0.12823355332961006,0.025022590979554827,0.0013765665748823191
development,Experiment_7|cell_2.32,12,1.165740735389749,8,,,0.8578236735166195,0.10350913910909466,1.4777390617625228e-05,0.0386524099836682
development,Experiment_7|cell_2.33,12,1.0896143094459312,9,18.0,7.0,0.917755935592017,0.05379422603082327,0.005680449713176579,0.022769388663983318
development,Experiment_7|cell_2.34,12,1.2091893054655514,10,20.0,9.0,0.8270003675024142,0.11225212744492645,0.05949845484169742,0.0012490502109620018
development,Experiment_7|cell_2.35,12,1.140176833482175,2,9.0,-2.0,0.8770569359368006,0.10582991725597297,0.0012953572684080027,0.015817789538818378
development,Experiment_7|cell_2.36,12,1.0624864927220141,7,16.0,5.0,0.9411884356647884,0.0376475374265911,4.2226032412965965e-06,0.021159804305379226
development,Experiment_7|cell_2.37,12,1.3832479428163282,2,12.0,1.0,0.7229361917314509,0.2083498099383355,0.06854518765628952,0.0001688106739241057
development,Experiment_7|cell_2.38,12,1.143512645711879,5,15.0,4.0,0.8744984183165398,0.10552119418799916,0.013925544541106352,0.006054842954354569
development,Experiment_7|cell_2.39,12,1.1489783856967288,6,15.0,4.0,0.8703383914342393,0.051014848650273184,0.07682783060871617,0.0018189293067713212
development,Experiment_7|cell_2.40,12,1.388562370738015,5,14.0,3.0,0.7201693068122711,0.2075523952375281,0.023169147969028903,0.0491091499811719
development,Experiment_7|cell_2.41,12,1.152643741281323,8,17.0,6.0,0.8675707542456801,0.09238066424710152,0.03455570976769396,0.005492871739524539
development,Experiment_7|cell_2.42,12,1.2436475284156816,1,,,0.8040863485443732,0.1497694351139164,0.03937801138470894,0.006766204957001544
development,Experiment_7|cell_2.43,12,1.2475666543483899,3,6.0,-5.0,0.8015603787697458,0.1642199601490582,0.009742200960793146,0.024477460120402774
development,Experiment_7|cell_2.44,12,1.3297898278547,1,,,0.7519985331917168,0.21672556064616383,0.013469643186950566,0.01780626297516871
development,Experiment_7|cell_2.47,12,1.4822444033576538,1,9.0,-2.0,0.6746525726356262,0.2966976244643511,0.028634427572583183,1.5375327439480164e-05
development,Experiment_7|cell_2.7,12,1.1545556563175043,6,16.0,5.0,0.8661340789663922,0.08071121999010962,0.046184436237488004,0.006970264806010202
development,Experiment_8|cell_2.49,12,1.2260971806429692,7,17.0,6.0,0.8155960357690382,0.08684629256222037,0.0975071363986601,5.0535270081482674e-05
