split,target,bounded_target,baseline,candidate,cells,mean_mae_gain,ci_low,ci_high,p_gain_positive
holdout,generation,True,pure,relational,12,0.027059014881981747,-0.10423916799574716,0.14975177892283179,0.664
holdout,generation,True,relational,fixed_025,12,0.022619736501315397,-0.09778964535707961,0.1391624608943687,0.6445
holdout,generation,True,relational,size_child,12,0.017808014044672246,-0.1277972749055039,0.19261554792824354,0.597
holdout,generation,True,relational,rpl_child,12,0.014928223910345874,-0.09092832696268627,0.126445475069448,0.637
holdout,generation,True,relational,reverse_control,12,-0.039766974121041916,-0.2532226032871974,0.1763595543212763,0.3615
holdout,generation,False,pure,relational,12,0.027059014881981747,-0.10299229133439668,0.15034088260224668,0.6655
holdout,generation,False,relational,fixed_025,12,0.022619736501315397,-0.0959435247379326,0.1401096491228069,0.5925
holdout,generation,False,relational,size_child,12,0.017808014044672246,-0.13228407203480338,0.1617059161107498,0.587
holdout,generation,False,relational,rpl_child,12,0.014928223910345874,-0.0933957245455631,0.12389383319326895,0.6055
holdout,generation,False,relational,reverse_control,12,-0.039766974121041916,-0.2551108899075418,0.1735338794645017,0.3485
holdout,clock,True,pure,relational,12,0.07029842654244638,-0.04855803480145556,0.18767196223057567,0.8745
holdout,clock,True,relational,fixed_025,12,-0.008591498657288253,-0.12965899846985388,0.1080360099817335,0.3985
holdout,clock,True,relational,size_child,12,-0.019811134269111203,-0.1621301477774518,0.12795919178384504,0.4005
holdout,clock,True,relational,rpl_child,12,-0.010832753792558417,-0.12210610563313923,0.09686545941536139,0.4295
holdout,clock,True,relational,reverse_control,12,-0.14461723107656188,-0.3326802657293096,0.05377669034846004,0.079
holdout,clock,False,pure,relational,12,0.07029842654244638,-0.04480550722536322,0.18959878660237622,0.875
holdout,clock,False,relational,fixed_025,12,-0.008591498657288253,-0.1286267303602832,0.10964253832181449,0.408
holdout,clock,False,relational,size_child,12,-0.019811134269111203,-0.15972770443944034,0.12504003118739537,0.3905
holdout,clock,False,relational,rpl_child,12,-0.010832753792558417,-0.11912804322799833,0.1032725716409342,0.4165
holdout,clock,False,relational,reverse_control,12,-0.14461723107656188,-0.32742495932209,0.062160081678024955,0.0925
external,generation,True,pure,relational,119,0.1786920773437681,0.0920559953215988,0.26160922694858424,1.0
external,generation,True,relational,fixed_025,119,0.014507505996501054,-0.018780307409447066,0.04860876594843033,0.791
external,generation,True,relational,size_child,119,0.012956420863976467,-0.02693814728361693,0.05300707582887477,0.726
external,generation,True,relational,reverse_control,119,-0.3537725406511468,-0.456534295106327,-0.24393417331430883,0.0
external,generation,False,pure,relational,119,0.1786920773437681,0.0969011171184714,0.25729750977404325,1.0
external,generation,False,relational,fixed_025,119,0.014507505996501063,-0.02017363953996516,0.049651197199244115,0.7795
external,generation,False,relational,size_child,119,0.012956420863976467,-0.029185350462731446,0.05290975643670979,0.7465
external,generation,False,relational,reverse_control,119,-0.3537725406511468,-0.45410849362539607,-0.24526129374239125,0.0
external,clock,True,pure,relational,119,0.03533037508578778,-0.06271382586523101,0.13254278654150106,0.7545
external,clock,True,relational,fixed_025,119,0.0478556761522212,0.006088740727666917,0.08625925789537119,0.9895
external,clock,True,relational,size_child,119,0.049552449768265755,0.0018641693811040417,0.09580473888554361,0.9805
external,clock,True,relational,reverse_control,119,-0.17433459881646435,-0.29130745833237254,-0.05971702154409523,0.002
external,clock,False,pure,relational,119,0.03533037508578778,-0.06362144443102785,0.12864218326856108,0.7565
external,clock,False,relational,fixed_025,119,0.0478556761522212,0.00845789363534926,0.0878636033013089,0.991
external,clock,False,relational,size_child,119,0.04955244976826577,0.001031014933784836,0.09590196229708231,0.9775
external,clock,False,relational,reverse_control,119,-0.17433459881646435,-0.28800245926357093,-0.05433670120395883,0.0035
