date,MJD,pole_x,pole_y,pole_x_rate,pole_y_rate,ut1_utc,lod,sigma_x_pole,sigma_y_pole,sigma_UT1-UTC,sigma_LOD
1984-01-01,45700.0,-0.13301,0.091197,-0.001905,0.003515,0.397574,0.001485,0.00125,0.000992,0.0002417,7.3e-05
1984-01-02,45701.0,-0.135118,0.094916,-0.002492,0.00328,0.3961614,0.0013515,0.001226,0.000991,0.0002417,7.3e-05
1984-01-03,45702.0,-0.137825,0.098143,-0.00339,0.002478,0.3948463,0.0012923,0.001177,0.000988,0.0002417,7.3e-05
1984-01-04,45703.0,-0.14161,0.100343,-0.004064,0.001735,0.3935525,0.0013072,0.00114,0.000986,0.0002417,7.3e-05
1984-01-05,45704.0,-0.146267,0.100981,-0.003987,0.001844,0.3922103,0.001387,0.001077,0.000996,0.0002417,7.3e-05
1984-01-06,45705.0,-0.150011,0.10299,-0.003232,0.002794,0.390762,0.0015165,0.0011,0.000987,0.0002417,7.28e-05
1984-01-07,45706.0,-0.152292,0.107129,-0.002482,0.003675,0.3891681,0.0016743,0.00119,0.000959,0.0002417,7.24e-05
1984-01-08,45707.0,-0.154158,0.111304,-0.00231,0.003717,0.3874126,0.0018355,0.001197,0.000921,0.0002417,7.18e-05
1984-01-09,45708.0,-0.156454,0.114543,-0.002692,0.003005,0.3855041,0.0019765,0.001099,0.000853,0.0002417,7.14e-05
1984-01-10,45709.0,-0.159305,0.117183,-0.003076,0.002292,0.383473,0.002078,0.000996,0.000782,0.0002417,7.12e-05
1984-01-11,45710.0,-0.162382,0.119659,-0.002849,0.002247,0.381366,0.0021267,0.001018,0.000799,0.0002417,7.14e-05
1984-01-12,45711.0,-0.164977,0.122334,-0.001937,0.002856,0.3792406,0.0021132,0.001111,0.000873,0.0002417,7.21e-05
1984-01-13,45712.0,-0.166514,0.125497,-0.001013,0.003512,0.3771623,0.0020318,0.001194,0.00094,0.0002417,7.31e-05
1984-01-14,45713.0,-0.166953,0.129363,-0.000961,0.003597,0.3751985,0.001886,0.001228,0.000996,0.0002417,7.4e-05
1984-01-15,45714.0,-0.167617,0.133234,-0.00205,0.003002,0.3734045,0.0016979,0.001239,0.001064,0.0002417,7.47e-05
1984-01-16,45715.0,-0.170792,0.13549,-0.003596,0.002199,0.3718031,0.0015074,0.001261,0.00106,0.0002417,7.54e-05
1984-01-17,45716.0,-0.17524,0.137304,-0.004571,0.001806,0.3703677,0.0013779,0.001274,0.00104,0.0002417,7.68e-05
1984-01-18,45717.0,-0.1793,0.139843,-0.004472,0.002069,0.3690078,0.001363,0.001259,0.001031,0.0002417,7.99e-05
1984-01-19,45718.0,-0.182705,0.142911,-0.003499,0.002772,0.3675972,0.0014793,0.001223,0.001008,0.0002417,8.54e-05
1984-01-20,45719.0,-0.185455,0.146294,-0.002221,0.003493,0.366017,0.0016926,0.001149,0.000961,0.0002417,9.3e-05
1984-01-21,45720.0,-0.187738,0.149803,-0.001192,0.003887,0.3642049,0.0019285,0.001037,0.000888,0.0002417,0.0001003
1984-01-22,45721.0,-0.189675,0.153335,-0.00071,0.003858,0.362179,0.0021087,0.000926,0.000816,0.0002417,0.0001052
1984-01-23,45722.0,-0.191298,0.156791,-0.000788,0.003543,0.3600249,0.0021791,0.000855,0.000771,0.0002417,0.0001078
1984-01-24,45723.0,-0.192633,0.160015,-0.001246,0.003183,0.3578641,0.0021222,0.000821,0.000749,0.0002417,0.0001088
1984-01-25,45724.0,-0.193802,0.162857,-0.001813,0.002988,0.3558172,0.0019568,0.000807,0.00074,0.0002422,0.0001085
1984-01-26,45725.0,-0.195056,0.165214,-0.002248,0.003032,0.3539729,0.0017259,0.000835,0.000782,0.0002445,0.000109
1984-01-27,45726.0,-0.196719,0.167857,-0.002477,0.003207,0.3523745,0.0014691,0.000876,0.000835,0.0002512,0.0001193
1984-01-28,45727.0,-0.198925,0.171067,-0.002598,0.003298,0.3510288,0.001226,0.000947,0.000922,0.0002666,0.0001447
1984-01-29,45728.0,-0.201596,0.174568,-0.00274,0.003159,0.3499039,0.0010344,0.001043,0.001039,0.0002968,0.000182
