n,mae,rmse,bias,r2,scale_days,horizon_windows,horizon_days,split,model
9129,0.00012439826925183481,0.00014887602046241712,4.8942929126957974e-08,0.968038391150898,1,1,1,development,persistence
9129,2.1962833084433775e-05,3.359822455266202e-05,9.197131803842421e-20,0.9983721597364402,1,1,1,development,clock_only
9129,2.1976205763889347e-05,3.354794969249998e-05,9.15912712696704e-20,0.9983770277443359,1,1,1,development,clock_raw_pole
9129,2.1999129612694296e-05,3.3516280801512666e-05,9.311145834468567e-20,0.9983800904335595,1,1,1,development,clock_pole_diara
9129,2.200356778013876e-05,3.3470630154904647e-05,8.950101404152439e-20,0.9983845002043257,1,1,1,development,full_child
2922,9.866786447638603e-05,0.00011923334186280597,-1.5913757700205207e-08,0.9517922317440821,1,1,1,validation,persistence
2922,2.0449187706730198e-05,2.7283744123722357e-05,1.54218927804867e-06,0.997475766480706,1,1,1,validation,clock_only
2922,2.043943531601816e-05,2.7267488597151648e-05,2.081814524305411e-06,0.9974787734376177,1,1,1,validation,clock_raw_pole
2922,2.0445524537815904e-05,2.7288611798387342e-05,9.956559353810822e-07,0.9974748657067092,1,1,1,validation,clock_pole_diara
2922,2.0441246031969127e-05,2.7275947896245625e-05,1.7509201319983788e-06,0.9974772088551074,1,1,1,validation,full_child
3497,0.000125031055190163,0.00014848824724893517,3.653989133543039e-07,0.9513630164508743,1,1,1,holdout,persistence
3497,2.8385536686817034e-05,3.834411724933925e-05,5.180671076119523e-06,0.9967567534969812,1,1,1,holdout,clock_only
3497,2.858193837043602e-05,3.8540277059126266e-05,6.6818987063104305e-06,0.9967234851900499,1,1,1,holdout,clock_raw_pole
3497,2.8358802186490877e-05,3.829065931564266e-05,4.677589362023695e-06,0.9967657904189868,1,1,1,holdout,clock_pole_diara
3497,2.856149866011745e-05,3.849022623549724e-05,6.2942153907745e-06,0.9967319898398371,1,1,1,holdout,full_child
9128,0.00024152424408413676,0.00028828218956148,1.2674189307624863e-07,0.8801695527861697,1,2,2,development,persistence
9128,6.688103736967631e-05,9.660649734942045e-05,-4.1657689081301063e-19,0.9865431246781518,1,2,2,development,clock_only
