scale_days,split,quadrant,count,fraction
1,development,Ab,2129,0.23318729463307777
1,development,Ba,2121,0.23231106243154437
1,development,aB,2446,0.267907995618839
1,development,bA,2434,0.2665936473165389
1,holdout,Ab,830,0.23734629682585073
1,holdout,Ba,868,0.24821275378896196
1,holdout,aB,904,0.25850729196454103
1,holdout,bA,895,0.2559336574206463
1,validation,Ab,719,0.2460643394934976
1,validation,Ba,680,0.2327173169062286
1,validation,aB,744,0.2546201232032854
1,validation,bA,779,0.2665982203969884
7,development,Ab,160,0.1228878648233487
7,development,Ba,129,0.09907834101382489
7,development,aB,480,0.3686635944700461
7,development,bA,533,0.4093701996927803
7,holdout,Ab,65,0.13026052104208416
7,holdout,Ba,61,0.12224448897795591
7,holdout,aB,177,0.35470941883767537
7,holdout,bA,196,0.3927855711422846
7,validation,Ab,50,0.11961722488038277
7,validation,Ba,50,0.11961722488038277
7,validation,aB,160,0.3827751196172249
7,validation,bA,158,0.37799043062200954
30,development,Ab,4,0.013245033112582781
30,development,Ba,2,0.006622516556291391
30,development,aB,141,0.46688741721854304
30,development,bA,155,0.5132450331125827
30,holdout,aB,59,0.5042735042735043
30,holdout,bA,58,0.49572649572649574
30,validation,aB,52,0.5360824742268041
30,validation,bA,45,0.4639175257731959
90,development,Ab,1,0.010101010101010102
90,development,aB,48,0.48484848484848486
90,development,bA,50,0.5050505050505051
90,holdout,aB,20,0.5128205128205128
90,holdout,bA,19,0.48717948717948717
90,validation,aB,14,0.4375
90,validation,bA,18,0.5625
