scale_days,horizon_windows,model,feature,standardized_beta
1,1,clock_only,lod,0.07396139845319127
1,1,clock_only,lod_lag1,-0.004976393868152139
1,1,clock_only,lod_lag2,0.8524900532827427
1,1,clock_only,lod_slope,0.4415954643408789
1,1,clock_only,u_clock,0.07396141988922593
1,1,clock_raw_pole,lod,0.07435972291106625
1,1,clock_raw_pole,lod_lag1,-0.0045001648171380595
1,1,clock_raw_pole,lod_lag2,0.8508357646366934
1,1,clock_raw_pole,lod_slope,0.4411597552914202
1,1,clock_raw_pole,u_clock,0.07435974600591946
1,1,clock_raw_pole,pole_x,0.0016512532282428702
1,1,clock_raw_pole,pole_y,-0.0040785737522583574
1,1,clock_raw_pole,dpx,-0.0017461893025101222
1,1,clock_raw_pole,dpy,0.0030911282933719906
1,1,clock_raw_pole,pole_radius,0.004649813683634969
1,1,clock_pole_diara,lod,0.07415113408503185
1,1,clock_pole_diara,lod_lag1,-0.004757866472971443
1,1,clock_pole_diara,lod_lag2,0.8517034439799822
1,1,clock_pole_diara,lod_slope,0.44143444580564
1,1,clock_pole_diara,u_clock,0.07415115303711843
1,1,clock_pole_diara,pole_amount_ara,0.0010195341248058366
1,1,clock_pole_diara,pole_traversal_ara,0.0012866101678156324
1,1,clock_pole_diara,pole_log_ratio,-0.0016411985728111075
1,1,clock_pole_diara,pole_turn_rad,0.0012866101677611586
1,1,clock_pole_diara,pole_displacement,0.0012613497744309887
1,1,full_child,lod,0.07441686538049272
1,1,full_child,lod_lag1,-0.004439720083821328
1,1,full_child,lod_lag2,0.8505957775027473
1,1,full_child,lod_slope,0.44114129530441654
1,1,full_child,u_clock,0.07441688539599489
1,1,full_child,pole_x,0.002061865093090115
1,1,full_child,pole_y,-0.002365759442909135
1,1,full_child,dpx,-0.0016375645506729272
1,1,full_child,dpy,0.0032389731350844493
1,1,full_child,pole_radius,0.0028097198923004063
1,1,full_child,pole_amount_ara,0.0013580743319878835
1,1,full_child,pole_traversal_ara,0.0012749184922156637
1,1,full_child,pole_log_ratio,-0.0019559700068078273
1,1,full_child,pole_turn_rad,0.001274918492157624
1,1,full_child,pole_displacement,0.0011119972327435297
1,2,clock_only,lod,-0.3576259722542974
1,2,clock_only,lod_lag1,-0.5199853706907395
1,2,clock_only,lod_lag2,2.218467551414732
1,2,clock_only,lod_slope,0.9081334925741399
1,2,clock_only,u_clock,-0.35762589919513776
1,2,clock_raw_pole,lod,-0.3565349613351576
1,2,clock_raw_pole,lod_lag1,-0.518650332761588
1,2,clock_raw_pole,lod_lag2,2.2134632999537427
1,2,clock_raw_pole,lod_slope,0.9067687645479394
1,2,clock_raw_pole,u_clock,-0.35653488957312146
1,2,clock_raw_pole,pole_x,0.002769082992573913
1,2,clock_raw_pole,pole_y,-0.019225683723909214
1,2,clock_raw_pole,dpx,-0.0011412032830449012
1,2,clock_raw_pole,dpy,0.007528951312396068
1,2,clock_raw_pole,pole_radius,0.016721884040867902
1,2,clock_pole_diara,lod,-0.35701965482707854
1,2,clock_pole_diara,lod_lag1,-0.5192794137999954
1,2,clock_pole_diara,lod_lag2,2.215880549555921
1,2,clock_pole_diara,lod_slope,0.9075763145179031
1,2,clock_pole_diara,u_clock,-0.35701958603485195
1,2,clock_pole_diara,pole_amount_ara,0.0004297251022731596
1,2,clock_pole_diara,pole_traversal_ara,0.0029494979352148267
1,2,clock_pole_diara,pole_log_ratio,-0.0008788532581806156
1,2,clock_pole_diara,pole_turn_rad,0.0029494979354181355
1,2,clock_pole_diara,pole_displacement,0.004137926131175985
1,2,full_child,lod,-0.3563555514565897
1,2,full_child,lod_lag1,-0.5184567373930721
1,2,full_child,lod_lag2,2.212694169699593
1,2,full_child,lod_slope,0.9066894739691772
1,2,full_child,u_clock,-0.35635548599163985
1,2,full_child,pole_x,0.003777280718624522
1,2,full_child,pole_y,-0.014115151924426474
1,2,full_child,dpx,-0.001073762382176326
1,2,full_child,dpy,0.007776854714677809
1,2,full_child,pole_radius,0.011451259292950653
1,2,full_child,pole_amount_ara,0.0012208159163235137
1,2,full_child,pole_traversal_ara,0.002954722385402844
1,2,full_child,pole_log_ratio,-0.0014551462204003298
1,2,full_child,pole_turn_rad,0.002954722385606347
1,2,full_child,pole_displacement,0.0031757576643948815
1,4,clock_only,lod,-1.3198706281094474
1,4,clock_only,lod_lag1,-1.6233950531437225
1,4,clock_only,lod_lag2,5.208656201913699
1,4,clock_only,lod_slope,1.6970386936338113
1,4,clock_only,u_clock,-1.3198707006841703
1,4,clock_raw_pole,lod,-1.3161336386096798
1,4,clock_raw_pole,lod_lag1,-1.618802816579249
1,4,clock_raw_pole,lod_lag2,5.191364997796214
1,4,clock_raw_pole,lod_slope,1.6922569220771917
1,4,clock_raw_pole,u_clock,-1.3161337362233456
1,4,clock_raw_pole,pole_x,-0.005742028509435055
1,4,clock_raw_pole,pole_y,-0.07290835733634853
1,4,clock_raw_pole,dpx,0.004695223023150734
1,4,clock_raw_pole,dpy,0.006768414277936539
1,4,clock_raw_pole,pole_radius,0.05644487753274601
1,4,clock_pole_diara,lod,-1.318289283134617
1,4,clock_pole_diara,lod_lag1,-1.6215245379598642
1,4,clock_pole_diara,lod_lag2,5.201711136957365
1,4,clock_pole_diara,lod_slope,1.6954220831764977
1,4,clock_pole_diara,u_clock,-1.3182893580718429
1,4,clock_pole_diara,pole_amount_ara,0.004252550707169122
1,4,clock_pole_diara,pole_traversal_ara,0.003999080831405763
1,4,clock_pole_diara,pole_log_ratio,-0.0032461274810596775
1,4,clock_pole_diara,pole_turn_rad,0.003999080831624703
1,4,clock_pole_diara,pole_displacement,0.01091926612777335
1,4,full_child,lod,-1.315736966587556
1,4,full_child,lod_lag1,-1.61836125691403
1,4,full_child,lod_lag2,5.189600198103595
1,4,full_child,lod_slope,1.6920060574232225
1,4,full_child,u_clock,-1.3157370715317076
1,4,full_child,pole_x,-0.003959051721346654
1,4,full_child,pole_y,-0.061930778175957275
1,4,full_child,dpx,0.004260442721984363
1,4,full_child,dpy,0.007002844406871936
1,4,full_child,pole_radius,0.04561887969852499
1,4,full_child,pole_amount_ara,0.0037441416832184413
1,4,full_child,pole_traversal_ara,0.004038540410813839
1,4,full_child,pole_log_ratio,-0.001562247321750383
1,4,full_child,pole_turn_rad,0.00403854041102602
1,4,full_child,pole_displacement,0.006500363027918603
7,1,clock_only,lod,0.3421610366659945
7,1,clock_only,lod_lag1,0.4273664013305963
7,1,clock_only,lod_lag2,-0.17108795954435244
7,1,clock_only,lod_slope,-0.15597140540418564
7,1,clock_only,u_clock,0.3421610487328304
7,1,clock_raw_pole,lod,0.3370867175882493
7,1,clock_raw_pole,lod_lag1,0.42225649978408486
7,1,clock_raw_pole,lod_lag2,-0.16266906092782607
7,1,clock_raw_pole,lod_slope,-0.15590366270026287
7,1,clock_raw_pole,u_clock,0.3370867403141912
7,1,clock_raw_pole,pole_x,-0.11151327628851937
7,1,clock_raw_pole,pole_y,-0.03942646676504818
7,1,clock_raw_pole,dpx,-0.07663090769057017
7,1,clock_raw_pole,dpy,-0.11036321844737255
7,1,clock_raw_pole,pole_radius,0.09269193914935223
7,1,clock_pole_diara,lod,0.3416906023411826
7,1,clock_pole_diara,lod_lag1,0.42661069198445284
7,1,clock_pole_diara,lod_lag2,-0.17435938124113542
7,1,clock_pole_diara,lod_slope,-0.15544955650314474
7,1,clock_pole_diara,u_clock,0.3416906158414381
7,1,clock_pole_diara,pole_amount_ara,0.14467428699913987
7,1,clock_pole_diara,pole_traversal_ara,0.0037875370158347034
7,1,clock_pole_diara,pole_log_ratio,-0.14684058598998956
7,1,clock_pole_diara,pole_turn_rad,0.0037875370158514114
7,1,clock_pole_diara,pole_displacement,0.019236408207286792
7,1,full_child,lod,0.33719056087505495
7,1,full_child,lod_lag1,0.4221114958731601
7,1,full_child,lod_lag2,-0.16547199199146942
7,1,full_child,lod_slope,-0.15544872253038566
