path_id,split,family,parameter,parameter_index,replicate,control,mean_rho,best_miss_64,best_miss_512,exact_closure_64
calibration:periodic rational:0:0,calibration,periodic rational,5,0,0,chronological,1.0000000000000002,0.3999999999999999,0.3999999999999999,True
calibration:periodic rational:0:0,calibration,periodic rational,5,0,0,shuffled,0.01299609154477386,,,False
calibration:periodic rational:0:1,calibration,periodic rational,5,0,1,chronological,1.0000000000000004,0.4,0.3999999999999999,True
calibration:periodic rational:0:1,calibration,periodic rational,5,0,1,shuffled,0.013768347233290328,,,False
calibration:periodic rational:0:2,calibration,periodic rational,5,0,2,chronological,1.0,0.4,0.4,True
calibration:periodic rational:0:2,calibration,periodic rational,5,0,2,shuffled,0.014827398343989238,,,False
calibration:periodic rational:0:3,calibration,periodic rational,5,0,3,chronological,1.0,0.4,0.3999999999999999,True
calibration:periodic rational:0:3,calibration,periodic rational,5,0,3,shuffled,0.013295193166980046,,,False
calibration:periodic rational:0:4,calibration,periodic rational,5,0,4,chronological,1.0000000000000002,0.4,0.4,True
calibration:periodic rational:0:4,calibration,periodic rational,5,0,4,shuffled,0.013558246075421412,,,False
calibration:periodic rational:0:5,calibration,periodic rational,5,0,5,chronological,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:5,calibration,periodic rational,5,0,5,shuffled,0.012997843792929918,,,False
calibration:periodic rational:0:6,calibration,periodic rational,5,0,6,chronological,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:6,calibration,periodic rational,5,0,6,shuffled,0.01396240715514422,,,False
calibration:periodic rational:0:7,calibration,periodic rational,5,0,7,chronological,1.0,0.4,0.3999999999999999,True
calibration:periodic rational:0:7,calibration,periodic rational,5,0,7,shuffled,0.014621384118753643,,,False
calibration:periodic rational:0:8,calibration,periodic rational,5,0,8,chronological,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:8,calibration,periodic rational,5,0,8,shuffled,0.013339541833547078,,,False
