split,family,n_paths,median_x_p,x_p_ci_low,x_p_ci_high,median_x_r,x_r_ci_low,x_r_ci_high,median_mean_rho,rho_ci_low,rho_ci_high,sector_accuracy
calibration,periodic rational,240,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0
calibration,irrational rotation,240,2.0,2.0,2.0,1.402331107242442e-06,1.4023311069051732e-06,1.4023311079731638e-06,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0
calibration,deterministic chaos,96,1.4880567989309215,0.9274200248112661,2.0,2.437303467205739e-05,0.0,5.385797200145991e-05,0.04137351664915308,0.013750113027226469,0.09357647056451363,0.5
calibration,finite stochastic,240,0.0,0.0,0.0,2.0,1.994207502328574,2.0,0.013443636330977705,0.013376293447591444,0.013486156984735561,1.0
calibration,continuous stochastic,96,1.9954671836160793,1.9886489067544006,2.0,2.0,2.0,2.0,0.048042104177920174,0.01386833487652718,0.0876615729063696,1.0
holdout,periodic rational,336,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0
holdout,irrational rotation,240,2.0,2.0,2.0,1.3960929475508924e-06,1.396092947191648e-06,1.396092947890118e-06,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0
holdout,deterministic chaos,96,1.4965694134747125,0.9229419688230421,2.0,6.674476163299244e-05,0.0,0.0001499999518285943,0.049923838563748234,0.013865389334672235,0.09750803418277015,0.5
holdout,finite stochastic,336,0.0,0.0,0.0,2.0,1.9929230675609955,2.0,0.013389821120478424,0.013316786128265567,0.013433256601041547,1.0
holdout,continuous stochastic,96,1.97799749828468,1.944037386731454,2.0,2.0,2.0,2.0,0.10976010238381423,0.01757630682352197,0.20798177998447198,1.0
