split,duration,turns,amplitude,seed,variant,reconstruction_error,final_position,final_motion
calibration,513,2,0.18,0,gradual reference,4.440892098500626e-16,0.0,1.0779664413753682
calibration,513,2,0.18,0,front-loaded,6.938893903907228e-18,0.0,1.0779664413753682
calibration,513,2,0.18,0,back-loaded,2.7755575615628914e-17,0.0,1.0779664413753682
calibration,513,2,0.18,0,early burst,1.3877787807814457e-17,0.0,1.0779664413753682
calibration,513,2,0.18,0,positive detour,2.7755575615628914e-17,0.0,1.0779664413753682
calibration,513,2,0.18,0,negative detour,2.0816681711721685e-17,0.0,1.0779664413753682
calibration,513,2,0.18,0,oscillatory detour,2.0816681711721685e-17,0.0,1.0779664413753682
calibration,513,2,0.18,0,pseudo-stochastic bridge,1.1102230246251565e-16,0.0,1.0779664413753682
calibration,513,2,0.18,1,gradual reference,4.440892098500626e-16,0.0,1.0779664413753682
calibration,513,2,0.18,1,front-loaded,6.938893903907228e-18,0.0,1.0779664413753682
calibration,513,2,0.18,1,back-loaded,2.7755575615628914e-17,0.0,1.0779664413753682
calibration,513,2,0.18,1,early burst,1.3877787807814457e-17,0.0,1.0779664413753682
calibration,513,2,0.18,1,positive detour,2.7755575615628914e-17,0.0,1.0779664413753682
calibration,513,2,0.18,1,negative detour,2.0816681711721685e-17,0.0,1.0779664413753682
calibration,513,2,0.18,1,oscillatory detour,2.0816681711721685e-17,0.0,1.0779664413753682
calibration,513,2,0.18,1,pseudo-stochastic bridge,2.7755575615628914e-17,0.0,1.0779664413753682
calibration,513,2,0.18,2,gradual reference,4.440892098500626e-16,0.0,1.0779664413753682
calibration,513,2,0.18,2,front-loaded,6.938893903907228e-18,0.0,1.0779664413753682
calibration,513,2,0.18,2,back-loaded,2.7755575615628914e-17,0.0,1.0779664413753682
calibration,513,2,0.18,2,early burst,1.3877787807814457e-17,0.0,1.0779664413753682
calibration,513,2,0.18,2,positive detour,2.7755575615628914e-17,0.0,1.0779664413753682
calibration,513,2,0.18,2,negative detour,2.0816681711721685e-17,0.0,1.0779664413753682
calibration,513,2,0.18,2,oscillatory detour,2.0816681711721685e-17,0.0,1.0779664413753682
calibration,513,2,0.18,2,pseudo-stochastic bridge,5.551115123125783e-17,0.0,1.0779664413753682
calibration,513,2,0.3,0,gradual reference,4.440892098500626e-16,0.0,1.0779664413753682
calibration,513,2,0.3,0,front-loaded,6.938893903907228e-18,0.0,1.0779664413753682
calibration,513,2,0.3,0,back-loaded,2.7755575615628914e-17,0.0,1.0779664413753682
calibration,513,2,0.3,0,early burst,1.3877787807814457e-17,0.0,1.0779664413753682
calibration,513,2,0.3,0,positive detour,6.938893903907228e-18,0.0,1.0779664413753682
calibration,513,2,0.3,0,negative detour,1.1102230246251565e-16,0.0,1.0779664413753682
calibration,513,2,0.3,0,oscillatory detour,1.3877787807814457e-17,0.0,1.0779664413753682
calibration,513,2,0.3,0,pseudo-stochastic bridge,1.3877787807814457e-17,0.0,1.0779664413753682
calibration,513,2,0.3,1,gradual reference,4.440892098500626e-16,0.0,1.0779664413753682
calibration,513,2,0.3,1,front-loaded,6.938893903907228e-18,0.0,1.0779664413753682
calibration,513,2,0.3,1,back-loaded,2.7755575615628914e-17,0.0,1.0779664413753682
calibration,513,2,0.3,1,early burst,1.3877787807814457e-17,0.0,1.0779664413753682
calibration,513,2,0.3,1,positive detour,6.938893903907228e-18,0.0,1.0779664413753682
calibration,513,2,0.3,1,negative detour,1.1102230246251565e-16,0.0,1.0779664413753682
calibration,513,2,0.3,1,oscillatory detour,1.3877787807814457e-17,0.0,1.0779664413753682
calibration,513,2,0.3,1,pseudo-stochastic bridge,1.3877787807814457e-17,0.0,1.0779664413753682
calibration,513,2,0.3,2,gradual reference,4.440892098500626e-16,0.0,1.0779664413753682
calibration,513,2,0.3,2,front-loaded,6.938893903907228e-18,0.0,1.0779664413753682
calibration,513,2,0.3,2,back-loaded,2.7755575615628914e-17,0.0,1.0779664413753682
calibration,513,2,0.3,2,early burst,1.3877787807814457e-17,0.0,1.0779664413753682
calibration,513,2,0.3,2,positive detour,6.938893903907228e-18,0.0,1.0779664413753682
calibration,513,2,0.3,2,negative detour,1.1102230246251565e-16,0.0,1.0779664413753682
calibration,513,2,0.3,2,oscillatory detour,1.3877787807814457e-17,0.0,1.0779664413753682
calibration,513,2,0.3,2,pseudo-stochastic bridge,1.3877787807814457e-17,0.0,1.0779664413753682
calibration,513,4,0.18,0,gradual reference,8.881784197001252e-16,0.0,1.1549907303716236
calibration,513,4,0.18,0,front-loaded,1.3877787807814457e-17,0.0,1.1549907303716236
calibration,513,4,0.18,0,back-loaded,5.551115123125783e-17,0.0,1.1549907303716236
calibration,513,4,0.18,0,early burst,1.214306433183765e-17,0.0,1.1549907303716236
calibration,513,4,0.18,0,positive detour,5.551115123125783e-17,0.0,1.1549907303716236
calibration,513,4,0.18,0,negative detour,2.7755575615628914e-17,0.0,1.1549907303716236
calibration,513,4,0.18,0,oscillatory detour,6.938893903907228e-18,0.0,1.1549907303716236
calibration,513,4,0.18,0,pseudo-stochastic bridge,5.551115123125783e-17,0.0,1.1549907303716236
calibration,513,4,0.18,1,gradual reference,8.881784197001252e-16,0.0,1.1549907303716236
calibration,513,4,0.18,1,front-loaded,1.3877787807814457e-17,0.0,1.1549907303716236
calibration,513,4,0.18,1,back-loaded,5.551115123125783e-17,0.0,1.1549907303716236
calibration,513,4,0.18,1,early burst,1.214306433183765e-17,0.0,1.1549907303716236
calibration,513,4,0.18,1,positive detour,5.551115123125783e-17,0.0,1.1549907303716236
calibration,513,4,0.18,1,negative detour,2.7755575615628914e-17,0.0,1.1549907303716236
calibration,513,4,0.18,1,oscillatory detour,6.938893903907228e-18,0.0,1.1549907303716236
calibration,513,4,0.18,1,pseudo-stochastic bridge,2.7755575615628914e-17,0.0,1.1549907303716236
calibration,513,4,0.18,2,gradual reference,8.881784197001252e-16,0.0,1.1549907303716236
calibration,513,4,0.18,2,front-loaded,1.3877787807814457e-17,0.0,1.1549907303716236
calibration,513,4,0.18,2,back-loaded,5.551115123125783e-17,0.0,1.1549907303716236
calibration,513,4,0.18,2,early burst,1.214306433183765e-17,0.0,1.1549907303716236
calibration,513,4,0.18,2,positive detour,5.551115123125783e-17,0.0,1.1549907303716236
calibration,513,4,0.18,2,negative detour,2.7755575615628914e-17,0.0,1.1549907303716236
calibration,513,4,0.18,2,oscillatory detour,6.938893903907228e-18,0.0,1.1549907303716236
calibration,513,4,0.18,2,pseudo-stochastic bridge,2.7755575615628914e-17,0.0,1.1549907303716236
calibration,513,4,0.3,0,gradual reference,8.881784197001252e-16,0.0,1.1549907303716236
calibration,513,4,0.3,0,front-loaded,1.3877787807814457e-17,0.0,1.1549907303716236
calibration,513,4,0.3,0,back-loaded,5.551115123125783e-17,0.0,1.1549907303716236
calibration,513,4,0.3,0,early burst,1.214306433183765e-17,0.0,1.1549907303716236
calibration,513,4,0.3,0,positive detour,5.551115123125783e-17,0.0,1.1549907303716236
calibration,513,4,0.3,0,negative detour,2.7755575615628914e-17,0.0,1.1549907303716236
calibration,513,4,0.3,0,oscillatory detour,1.3877787807814457e-17,0.0,1.1549907303716236
calibration,513,4,0.3,0,pseudo-stochastic bridge,1.3877787807814457e-17,0.0,1.1549907303716236
calibration,513,4,0.3,1,gradual reference,8.881784197001252e-16,0.0,1.1549907303716236
calibration,513,4,0.3,1,front-loaded,1.3877787807814457e-17,0.0,1.1549907303716236
calibration,513,4,0.3,1,back-loaded,5.551115123125783e-17,0.0,1.1549907303716236
calibration,513,4,0.3,1,early burst,1.214306433183765e-17,0.0,1.1549907303716236
calibration,513,4,0.3,1,positive detour,5.551115123125783e-17,0.0,1.1549907303716236
calibration,513,4,0.3,1,negative detour,2.7755575615628914e-17,0.0,1.1549907303716236
calibration,513,4,0.3,1,oscillatory detour,1.3877787807814457e-17,0.0,1.1549907303716236
calibration,513,4,0.3,1,pseudo-stochastic bridge,1.0408340855860843e-17,0.0,1.1549907303716236
calibration,513,4,0.3,2,gradual reference,8.881784197001252e-16,0.0,1.1549907303716236
calibration,513,4,0.3,2,front-loaded,1.3877787807814457e-17,0.0,1.1549907303716236
calibration,513,4,0.3,2,back-loaded,5.551115123125783e-17,0.0,1.1549907303716236
calibration,513,4,0.3,2,early burst,1.214306433183765e-17,0.0,1.1549907303716236
calibration,513,4,0.3,2,positive detour,5.551115123125783e-17,0.0,1.1549907303716236
calibration,513,4,0.3,2,negative detour,2.7755575615628914e-17,0.0,1.1549907303716236
calibration,513,4,0.3,2,oscillatory detour,1.3877787807814457e-17,0.0,1.1549907303716236
calibration,513,4,0.3,2,pseudo-stochastic bridge,6.938893903907228e-18,0.0,1.1549907303716236
calibration,513,6,0.18,0,gradual reference,0.0,0.0,1.230175711032133
calibration,513,6,0.18,0,front-loaded,1.3877787807814457e-17,0.0,1.230175711032133
calibration,513,6,0.18,0,back-loaded,1.3877787807814457e-17,0.0,1.230175711032133
calibration,513,6,0.18,0,early burst,6.938893903907228e-18,0.0,1.230175711032133
calibration,513,6,0.18,0,positive detour,6.938893903907228e-18,0.0,1.230175711032133
calibration,513,6,0.18,0,negative detour,6.938893903907228e-18,0.0,1.230175711032133
calibration,513,6,0.18,0,oscillatory detour,3.469446951953614e-18,0.0,1.230175711032133
calibration,513,6,0.18,0,pseudo-stochastic bridge,6.938893903907228e-18,0.0,1.230175711032133
calibration,513,6,0.18,1,gradual reference,0.0,0.0,1.230175711032133
calibration,513,6,0.18,1,front-loaded,1.3877787807814457e-17,0.0,1.230175711032133
calibration,513,6,0.18,1,back-loaded,1.3877787807814457e-17,0.0,1.230175711032133
calibration,513,6,0.18,1,early burst,6.938893903907228e-18,0.0,1.230175711032133
calibration,513,6,0.18,1,positive detour,6.938893903907228e-18,0.0,1.230175711032133
calibration,513,6,0.18,1,negative detour,6.938893903907228e-18,0.0,1.230175711032133
calibration,513,6,0.18,1,oscillatory detour,3.469446951953614e-18,0.0,1.230175711032133
calibration,513,6,0.18,1,pseudo-stochastic bridge,2.0816681711721685e-17,0.0,1.230175711032133
calibration,513,6,0.18,2,gradual reference,0.0,0.0,1.230175711032133
calibration,513,6,0.18,2,front-loaded,1.3877787807814457e-17,0.0,1.230175711032133
calibration,513,6,0.18,2,back-loaded,1.3877787807814457e-17,0.0,1.230175711032133
calibration,513,6,0.18,2,early burst,6.938893903907228e-18,0.0,1.230175711032133
calibration,513,6,0.18,2,positive detour,6.938893903907228e-18,0.0,1.230175711032133
calibration,513,6,0.18,2,negative detour,6.938893903907228e-18,0.0,1.230175711032133
calibration,513,6,0.18,2,oscillatory detour,3.469446951953614e-18,0.0,1.230175711032133
calibration,513,6,0.18,2,pseudo-stochastic bridge,1.3877787807814457e-17,0.0,1.230175711032133
calibration,513,6,0.3,0,gradual reference,0.0,0.0,1.230175711032133
calibration,513,6,0.3,0,front-loaded,1.3877787807814457e-17,0.0,1.230175711032133
calibration,513,6,0.3,0,back-loaded,1.3877787807814457e-17,0.0,1.230175711032133
calibration,513,6,0.3,0,early burst,6.938893903907228e-18,0.0,1.230175711032133
calibration,513,6,0.3,0,positive detour,1.1102230246251565e-16,0.0,1.230175711032133
calibration,513,6,0.3,0,negative detour,6.938893903907228e-18,0.0,1.230175711032133
calibration,513,6,0.3,0,oscillatory detour,2.7755575615628914e-17,0.0,1.230175711032133
calibration,513,6,0.3,0,pseudo-stochastic bridge,1.3877787807814457e-17,0.0,1.230175711032133
calibration,513,6,0.3,1,gradual reference,0.0,0.0,1.230175711032133
calibration,513,6,0.3,1,front-loaded,1.3877787807814457e-17,0.0,1.230175711032133
calibration,513,6,0.3,1,back-loaded,1.3877787807814457e-17,0.0,1.230175711032133
calibration,513,6,0.3,1,early burst,6.938893903907228e-18,0.0,1.230175711032133
calibration,513,6,0.3,1,positive detour,1.1102230246251565e-16,0.0,1.230175711032133
calibration,513,6,0.3,1,negative detour,6.938893903907228e-18,0.0,1.230175711032133
calibration,513,6,0.3,1,oscillatory detour,2.7755575615628914e-17,0.0,1.230175711032133
calibration,513,6,0.3,1,pseudo-stochastic bridge,1.3877787807814457e-17,0.0,1.230175711032133
calibration,513,6,0.3,2,gradual reference,0.0,0.0,1.230175711032133
calibration,513,6,0.3,2,front-loaded,1.3877787807814457e-17,0.0,1.230175711032133
