split,case_id,seed,duration,teeth,width,rate_on,noise,regime,mode,connection_share_at_80,final_connection_response,post_front_response,geometry_score,response_score,lock_order_spearman,median_k_minus_g_onset_lag,pause_connection_gain,pause_front_velocity,reverse_unlock_spearman
calibration,0,0,641,36,0.095,0.075,0.24,progressive,forward,0.8042714938574761,0.864726993868094,0.9999999998927733,0.3974765694945975,0.864726993868094,0.18369054857453274,-0.065625,,,
calibration,0,0,641,36,0.095,0.075,0.24,memory-only,forward,1.1033172672267701,0.11932702765871142,0.0,0.3974765694945975,0.11932702765871142,-0.05718475073313783,-0.17734375,,,
calibration,0,0,641,36,0.095,0.075,0.24,late-snap,forward,0.24923962817019893,0.528228881696127,0.7558315359074775,0.3974765694945975,0.528228881696127,-0.05817620193525592,-0.06015625,,,
calibration,0,0,641,36,0.095,0.075,0.24,false-seam,forward,0.9486092263058156,0.12593798828372268,0.0,0.3974765694945975,0.12593798828372268,-0.07218469640474931,-0.2328125,,,
calibration,0,0,641,36,0.095,0.075,0.24,progressive,pause,0.6876325265163535,0.852606453808546,0.9999999903919894,0.3959013953000595,0.852606453808546,0.602750190985485,-0.20625,0.04010144184403153,0.0,
calibration,0,0,641,36,0.095,0.075,0.24,progressive,reverse,2.9166052376905984,0.1925775125860842,,0.40129174619836305,0.1925775125860842,0.8044786096256685,0.0046875,,,-0.8086920438066539
calibration,1,1,897,36,0.075,0.1,0.4,progressive,forward,0.8076674019837411,0.9074940060162716,0.9999999999999919,0.4244722025121923,0.9074940060162716,0.4813201939328014,-0.036272321428571425,,,
calibration,1,1,897,36,0.075,0.1,0.4,memory-only,forward,0.7140696019161847,0.11846231947499888,0.16360329817142044,0.4244722025121923,0.11846231947499888,-0.21966074283301806,-0.020089285714285712,,,
calibration,1,1,897,36,0.075,0.1,0.4,late-snap,forward,0.16552840993159232,0.5110321626634297,0.7965108878326671,0.4244722025121923,0.5110321626634297,-0.05781612922459576,0.1439732142857143,,,
calibration,1,1,897,36,0.075,0.1,0.4,false-seam,forward,1.1340086124751352,0.1403730522983595,0.022944477065266214,0.4244722025121923,0.1403730522983595,0.07340045856431607,-0.09709821428571429,,,
calibration,1,1,897,36,0.075,0.1,0.4,progressive,pause,0.7544497477031902,0.866448631521883,0.9999999999999795,0.42090593697791195,0.866448631521883,0.6676344821227373,-0.011160714285714286,0.08075860574060456,0.0,
calibration,1,1,897,36,0.075,0.1,0.4,progressive,reverse,4.628241739843001,0.11735081943409201,,0.4200964419751221,0.11735081943409201,0.7464985994397759,0.00390625,,,-0.7225101625722142
calibration,2,2,641,36,0.055,0.05,0.32,progressive,forward,0.7837815019364395,0.8974836331803567,0.9999997586688032,0.4407192445166138,0.8974836331803567,0.4434004771392846,-0.0484375,,,
calibration,2,2,641,36,0.055,0.05,0.32,memory-only,forward,0.9584513131228383,0.11664284666750994,0.0,0.4407192445166138,0.11664284666750994,0.1488983180770145,-0.146875,,,
calibration,2,2,641,36,0.055,0.05,0.32,late-snap,forward,0.24079135623620476,0.4642878021136016,0.7802445427327147,0.4407192445166138,0.4642878021136016,0.06693268172321751,-0.0484375,,,
calibration,2,2,641,36,0.055,0.05,0.32,false-seam,forward,0.9857213803449809,0.16284794248743092,0.06298019711929315,0.4407192445166138,0.16284794248743092,0.07253309645506148,-0.125,,,
calibration,2,2,641,36,0.055,0.05,0.32,progressive,pause,0.7423005393590153,0.8655108595484581,0.9999970372930618,0.4372939856575868,0.8655108595484581,0.5082130047684119,-0.0125,0.0991103715328594,0.0,
calibration,2,2,641,36,0.055,0.05,0.32,progressive,reverse,3.719584634809343,0.16563366409426422,,0.43899719143906407,0.16563366409426422,0.5793506873188274,0.025,,,-0.5849132714804357
calibration,3,3,897,36,0.095,0.075,0.24,progressive,forward,0.8098961249467912,0.8938898027184733,0.9999999999998842,0.40143017744950166,0.8938898027184733,0.6455802601162178,-0.06696428571428571,,,
calibration,3,3,897,36,0.095,0.075,0.24,memory-only,forward,0.8293627270503753,0.11372844893826686,0.0,0.40143017744950166,0.11372844893826686,0.2858217577081991,-0.1685267857142857,,,
calibration,3,3,897,36,0.095,0.075,0.24,late-snap,forward,0.19138476213167913,0.4928403677705207,0.7564920370775576,0.40143017744950166,0.4928403677705207,-0.06914260938478181,-0.03571428571428572,,,
calibration,3,3,897,36,0.095,0.075,0.24,false-seam,forward,0.8359798705812629,0.1496060315738081,0.06060725823619548,0.40143017744950166,0.1496060315738081,0.1948684740645559,-0.15625,,,
calibration,3,3,897,36,0.095,0.075,0.24,progressive,pause,0.7098853215501727,0.8455022030919156,0.9999999999935145,0.3888036315852955,0.8455022030919156,0.637072134577636,-0.03459821428571429,0.07365175591917866,0.0,
calibration,3,3,897,36,0.095,0.075,0.24,progressive,reverse,4.139441877115103,0.12216256563455286,,0.40094698105106835,0.12216256563455286,0.5219584061439557,-0.002232142857142857,,,-0.501681619275709
calibration,4,4,641,36,0.075,0.1,0.4,progressive,forward,0.8287431624803945,0.8763618156233463,0.999999999999939,0.42411960172155483,0.8763618156233463,0.07246283559634753,-0.04765625,,,
calibration,4,4,641,36,0.075,0.1,0.4,memory-only,forward,0.9022885944120437,0.09697993968356636,0.0,0.42411960172155483,0.09697993968356636,-0.2612372116299757,-0.19140625,,,
calibration,4,4,641,36,0.075,0.1,0.4,late-snap,forward,0.18174991226339834,0.4814521909448636,0.7708947467601861,0.42411960172155483,0.4814521909448636,-0.20961190026115697,-0.0203125,,,
calibration,4,4,641,36,0.075,0.1,0.4,false-seam,forward,0.997365399516374,0.14010750289451912,0.011041252918181931,0.42411960172155483,0.14010750289451912,-0.2738903120741739,-0.19140625,,,
calibration,4,4,641,36,0.075,0.1,0.4,progressive,pause,0.723207133839226,0.8582698797545648,0.999999999982134,0.41646040134190987,0.8582698797545648,0.6645211342806325,-0.08125,0.05073755332033514,0.0,
calibration,4,4,641,36,0.075,0.1,0.4,progressive,reverse,3.141010857085633,0.19466859851933468,,0.418565607233161,0.19466859851933468,0.3482459144004346,-0.009375,,,-0.2828232145843787
calibration,5,5,897,36,0.055,0.05,0.32,progressive,forward,0.8089733615313035,0.8943353285957759,0.9999999988716148,0.4400526297534898,0.8943353285957759,0.5777370327809277,0.005580357142857143,,,
calibration,5,5,897,36,0.055,0.05,0.32,memory-only,forward,0.6391831152991181,0.1278814745381885,0.048798181207426794,0.4400526297534898,0.1278814745381885,-0.10225563909774435,0.09709821428571429,,,
calibration,5,5,897,36,0.055,0.05,0.32,late-snap,forward,0.15743578608865783,0.5191937698226601,0.780269291485916,0.4400526297534898,0.5191937698226601,-0.09152024446142093,0.15625,,,
calibration,5,5,897,36,0.055,0.05,0.32,false-seam,forward,1.065017700702846,0.10051629832704702,0.001495443551693556,0.4400526297534898,0.10051629832704702,-0.22597402597402597,0.05412946428571429,,,
