family,gate,value,operator,threshold,passed
primary,Z1 pre-closure construction,0.8103141704150316,>=,0.55,True
primary,Z2 ordered local locks,0.724410236211756,>=,0.80,False
primary,Z3 causal handover lower,-0.022623697916666668,>=,0.00,False
primary,Z3 causal handover upper,-0.022623697916666668,<=,0.15,True
primary,Z4 pause construction,0.037981448798834805,>=,0.05,False
primary,Z4 stationary front,0.0,<,1e-10,True
primary,Z5 reverse release,-0.7282391164899416,<=,-0.75,False
primary,Z6 progressive retained response,0.9999999999985272,>=,0.65,True
primary,Z6 memory response ceiling,0.0,<=,0.25,True
primary,Z7 independent discrimination,1.0,>=,0.90,True
boundary,B1 geometry-only lower,0.5,>=,0.49,True
boundary,B1 geometry-only upper,0.5,<=,0.51,True
boundary,B2 phase geometry identity,0.0,<=,1e-12,True
control,C1 late-snap at 80%,0.19825882095313369,<,0.15,False
control,C2 false-seam response gap,0.9708372761510123,>=,0.25,True
