path_id,direction,mode,true_center,prediction_rate,predicted_ridge_median,signed_error_median,abs_error_median,centre_range,endpoint_separation_median,x_r_peak_offset_median,wrong_center,wrong_abs_error
q13:d43:t256:r0:irrational_to_rational,irrational_to_rational,abrupt,1408.0,1.0,1516.273361827817,108.2733618278171,108.2733618278171,171.41966649215487,1.9789635526615892,-156.2733618278171,2060.0,543.7266381721829
q13:d43:t256:r1:irrational_to_rational,irrational_to_rational,abrupt,1432.0,1.0,1538.288500551725,106.28850055172506,106.28850055172506,174.19271766989755,1.9789635526615892,-98.28850055172506,2084.0,545.7114994482749
q13:d43:t256:r2:irrational_to_rational,irrational_to_rational,abrupt,1456.0,1.0,1564.8994750007419,108.89947500074186,108.89947500074186,172.66904116211958,1.9789635526615892,-124.89947500074197,2108.0,543.1005249992581
q13:d43:t256:r3:irrational_to_rational,irrational_to_rational,abrupt,1480.0,1.0,1584.9181880283647,104.91818802836474,104.91818802836474,176.01048601709113,1.9789635526615892,-112.91818802836474,2133.0,548.0818119716353
q13:d43:t256:r4:irrational_to_rational,irrational_to_rational,abrupt,1505.0,1.0,1612.7851228869858,107.78512288698585,107.78512288698585,171.94001345239258,1.9789635526615892,-108.78512288698596,2157.0,544.2148771130142
q13:d43:t256:r5:irrational_to_rational,irrational_to_rational,abrupt,1529.0,1.0,1636.2619573580728,107.26195735807278,107.26195735807278,173.6547910225902,1.9789635526615892,-148.26195735807278,2181.0,544.7380426419272
q13:d43:t448:r0:irrational_to_rational,irrational_to_rational,abrupt,1553.0,1.0,1658.3940020977425,105.39400209774249,105.39400209774249,172.88055588315615,1.9789635526615892,-170.39400209774237,2205.0,546.6059979022575
q13:d43:t448:r1:irrational_to_rational,irrational_to_rational,abrupt,1577.0,1.0,1682.2840661251598,105.28406612515982,105.28406612515982,177.3687969659586,1.9789635526615892,-114.28406612515994,2229.0,546.7159338748402
q13:d43:t448:r2:irrational_to_rational,irrational_to_rational,abrupt,1601.0,1.0,1705.5943483895144,104.59434838951438,104.59434838951438,171.80401504496126,1.9789635526615892,-105.59434838951427,2253.0,547.4056516104856
q13:d43:t448:r3:irrational_to_rational,irrational_to_rational,abrupt,1625.0,1.0,1731.6871018986758,106.68710189867579,106.68710189867579,173.45385263570734,1.9789635526615892,-99.68710189867579,2277.0,545.3128981013242
q13:d43:t448:r4:irrational_to_rational,irrational_to_rational,abrupt,1650.0,1.0,1759.4742557203729,109.47425572037287,109.47425572037287,172.30455139223227,1.9789635526615892,-127.47425572037287,2302.0,542.5257442796271
q13:d43:t448:r5:irrational_to_rational,irrational_to_rational,abrupt,1674.0,1.0,1780.774447160237,106.77444716023706,106.77444716023706,179.73451377479296,1.9789635526615892,-164.77444716023706,2326.0,545.2255528397629
q13:d43:t640:r0:irrational_to_rational,irrational_to_rational,abrupt,1698.0,1.0,1804.803025898554,106.8030258985541,106.8030258985541,171.9124888439726,1.9789635526615892,-156.8030258985541,2350.0,545.1969741014459
q13:d43:t640:r1:irrational_to_rational,irrational_to_rational,abrupt,1722.0,1.0,1830.8781122396153,108.87811223961535,108.87811223961535,172.21079256250414,1.9789635526615892,-102.87811223961523,2374.0,543.1218877603847
q13:d43:t640:r2:irrational_to_rational,irrational_to_rational,abrupt,1746.0,1.0,1854.0634442277042,108.06344422770417,108.06344422770417,174.25746937231065,1.9789635526615892,-126.06344422770405,2398.0,543.9365557722958
q13:d43:t640:r3:irrational_to_rational,irrational_to_rational,abrupt,1770.0,1.0,1875.407803270728,105.40780327072798,105.40780327072798,178.46721919671973,1.9789635526615892,-115.40780327072798,2422.0,546.592196729272
q13:d43:t640:r4:irrational_to_rational,irrational_to_rational,abrupt,1794.0,1.0,1901.366350480827,107.3663504808269,107.3663504808269,172.5019457433291,1.9789635526615892,-109.36635048082678,2446.0,544.6336495191731
