pair_id,q,d,duration,replicate,condition,true_center,mix_rms,advance_complement_rms
q19:d59:t288:r0,19,59,288,0,clean,1376,0.0,1.0251716946064207e-16
q19:d59:t288:r0,19,59,288,0,asymmetric,1376,0.05109523852085569,0.06309901608941491
q19:d59:t288:r1,19,59,288,1,clean,1395,0.0,1.889792847972844e-16
q19:d59:t288:r1,19,59,288,1,asymmetric,1395,0.05109523852085569,0.06364639700490679
q19:d59:t288:r2,19,59,288,2,clean,1414,0.0,7.006711583132643e-16
q19:d59:t288:r2,19,59,288,2,asymmetric,1414,0.05109523852085569,0.06079704395287057
q19:d59:t288:r3,19,59,288,3,clean,1433,0.0,0.0
q19:d59:t288:r3,19,59,288,3,asymmetric,1433,0.05109523852085569,0.06340426371960811
q19:d59:t288:r4,19,59,288,4,clean,1452,0.0,0.0
q19:d59:t288:r4,19,59,288,4,asymmetric,1452,0.05109523852085569,0.0631407294685627
q19:d59:t288:r5,19,59,288,5,clean,1471,0.0,2.4616383064142e-16
q19:d59:t288:r5,19,59,288,5,asymmetric,1471,0.05109523852085569,0.0602857429023897
q19:d59:t288:r6,19,59,288,6,clean,1490,0.0,1.0251716946064207e-16
q19:d59:t288:r6,19,59,288,6,asymmetric,1490,0.05109523852085569,0.062358292041815304
q19:d59:t288:r7,19,59,288,7,clean,1509,0.0,1.889792847972844e-16
q19:d59:t288:r7,19,59,288,7,asymmetric,1509,0.05109523852085569,0.06358160257747826
q19:d59:t480:r0,19,59,480,0,clean,1527,0.0,1.0925322294616962e-16
q19:d59:t480:r0,19,59,480,0,asymmetric,1527,0.051063103889792086,0.06265881784009603
q19:d59:t480:r1,19,59,480,1,clean,1546,0.0,1.8833663854638774e-16
q19:d59:t480:r1,19,59,480,1,asymmetric,1546,0.051063103889792086,0.061507424835827405
q19:d59:t480:r2,19,59,480,2,clean,1565,0.0,7.137147606439591e-16
q19:d59:t480:r2,19,59,480,2,asymmetric,1565,0.051063103889792086,0.06282671510609991
q19:d59:t480:r3,19,59,480,3,clean,1584,0.0,0.0
q19:d59:t480:r3,19,59,480,3,asymmetric,1584,0.051063103889792086,0.06223581964881105
q19:d59:t480:r4,19,59,480,4,clean,1603,0.0,0.0
q19:d59:t480:r4,19,59,480,4,asymmetric,1603,0.051063103889792086,0.061474361417995886
q19:d59:t480:r5,19,59,480,5,clean,1622,0.0,2.640268215269286e-16
q19:d59:t480:r5,19,59,480,5,asymmetric,1622,0.051063103889792086,0.06137333507092412
