family,stratum,sample,cycle,landmark,phase,ara_phase
single,free,0,0,0,0.0,0.0
single,free,1,0,1,0.125,0.25
single,free,2,0,2,0.25,0.5
single,free,3,0,3,0.375,0.75
single,free,4,0,4,0.5,1.0
single,free,5,0,5,0.625,1.25
single,free,6,0,6,0.75,1.5
single,free,7,0,7,0.875,1.75
single,free,8,1,0,0.0,0.0
single,free,9,1,1,0.125,0.25
single,free,10,1,2,0.25,0.5
single,free,11,1,3,0.375,0.75
single,free,12,1,4,0.5,1.0
single,free,13,1,5,0.625,1.25
single,free,14,1,6,0.75,1.5
single,free,15,1,7,0.875,1.75
single,free,16,2,0,0.0,0.0
single,free,17,2,1,0.125,0.25
single,free,18,2,2,0.25,0.5
single,free,19,2,3,0.375,0.75
single,free,20,2,4,0.5,1.0
single,free,21,2,5,0.625,1.25
single,free,22,2,6,0.75,1.5
single,free,23,2,7,0.875,1.75
single,free,24,3,0,0.0,0.0
single,free,25,3,1,0.125,0.25
single,free,26,3,2,0.25,0.5
single,free,27,3,3,0.375,0.75
single,free,28,3,4,0.5,1.0
single,free,29,3,5,0.625,1.25
single,free,30,3,6,0.75,1.5
single,free,31,3,7,0.875,1.75
double,free,0,0,0,0.8287457813484089,1.6574915626968179
double,free,1,0,1,0.022688310731997063,0.04537662146399413
double,free,2,0,2,0.05178475264802129,0.10356950529604259
double,free,3,0,3,0.03932609933362352,0.07865219866724704
double,free,4,0,4,0.19172466645905684,0.3834493329181137
double,free,5,0,5,0.27189837054858246,0.5437967410971649
double,free,6,0,6,0.4804886909473074,0.9609773818946148
double,free,7,0,7,0.5563763755308933,1.1127527510617865
double,free,8,1,0,0.83651976575398,1.67303953150796
double,free,9,1,1,0.03664692645575185,0.0732938529115037
double,free,10,1,2,0.052300972594991,0.104601945189982
double,free,11,1,3,0.013382033309403685,0.02676406661880737
double,free,12,1,4,0.1722572717765729,0.3445145435531458
double,free,13,1,5,0.2553716033882214,0.5107432067764428
double,free,14,1,6,0.48045975556798215,0.9609195111359643
double,free,15,1,7,0.5551108181304603,1.1102216362609205
double,free,16,2,0,0.8512189491032385,1.702437898206477
double,free,17,2,1,0.04704250932097187,0.09408501864194374
double,free,18,2,2,0.06568164289396305,0.1313632857879261
double,free,19,2,3,0.01807503324322779,0.03615006648645558
double,free,20,2,4,0.15893223943478763,0.31786447886957525
double,free,21,2,5,0.2526398946981492,0.5052797893962984
double,free,22,2,6,0.47063608810076385,0.9412721762015277
double,free,23,2,7,0.5401716742035712,1.0803433484071423
double,free,24,3,0,0.8698424358960288,1.7396848717920577
double,free,25,3,1,0.04195095640438762,0.08390191280877524
double,free,26,3,2,0.1028455520434477,0.2056911040868954
double,free,27,3,3,0.083838231702976,0.167676463405952
double,free,28,3,4,0.1686336371597763,0.3372672743195526
double,free,29,3,5,0.26599901625042666,0.5319980325008533
double,free,30,3,6,0.447694522203415,0.89538904440683
double,free,31,3,7,0.5242140592438247,1.0484281184876494
double,free,32,4,0,0.651176515107208,1.302353030214416
double,free,33,4,1,0.6951494146867718,1.3902988293735437
double,free,34,4,2,0.7252086602780841,1.4504173205561681
double,free,35,4,3,0.7976119814763454,1.5952239629526908
double,free,36,4,4,0.8784860765658173,1.7569721531316347
double,free,37,4,5,0.1187683491540934,0.2375366983081868
double,free,38,4,6,0.20537645017682582,0.41075290035365164
double,free,39,4,7,0.4116755803141805,0.823351160628361
double,free,40,5,0,0.6419024251130816,1.2838048502261632
double,free,41,5,1,0.6965823973831906,1.3931647947663812
double,free,42,5,2,0.738061115167981,1.476122230335962
double,free,43,5,3,0.8013607607903896,1.6027215215807793
