identity,family,stratum,condition,window,window_id,sample,cycle,landmark,phase,ara_phase
single:free,single,free,chronological,0,single:free:w000,0,0,0,0.0,0.0
single:free,single,free,chronological,0,single:free:w000,1,0,1,0.125,0.25
single:free,single,free,chronological,0,single:free:w000,2,0,2,0.25,0.5
single:free,single,free,chronological,0,single:free:w000,3,0,3,0.375,0.75
single:free,single,free,chronological,0,single:free:w000,4,0,4,0.5,1.0
single:free,single,free,chronological,0,single:free:w000,5,0,5,0.625,1.25
single:free,single,free,chronological,0,single:free:w000,6,0,6,0.75,1.5
single:free,single,free,chronological,0,single:free:w000,7,0,7,0.875,1.75
single:free,single,free,chronological,0,single:free:w000,8,1,0,0.0,0.0
single:free,single,free,chronological,0,single:free:w000,9,1,1,0.125,0.25
single:free,single,free,chronological,0,single:free:w000,10,1,2,0.25,0.5
single:free,single,free,chronological,0,single:free:w000,11,1,3,0.375,0.75
single:free,single,free,chronological,0,single:free:w000,12,1,4,0.5,1.0
single:free,single,free,chronological,0,single:free:w000,13,1,5,0.625,1.25
single:free,single,free,chronological,0,single:free:w000,14,1,6,0.75,1.5
single:free,single,free,chronological,0,single:free:w000,15,1,7,0.875,1.75
single:free,single,free,chronological,0,single:free:w000,16,2,0,0.0,0.0
single:free,single,free,chronological,0,single:free:w000,17,2,1,0.125,0.25
single:free,single,free,chronological,0,single:free:w000,18,2,2,0.25,0.5
single:free,single,free,chronological,0,single:free:w000,19,2,3,0.375,0.75
single:free,single,free,chronological,0,single:free:w000,20,2,4,0.5,1.0
single:free,single,free,chronological,0,single:free:w000,21,2,5,0.625,1.25
single:free,single,free,chronological,0,single:free:w000,22,2,6,0.75,1.5
single:free,single,free,chronological,0,single:free:w000,23,2,7,0.875,1.75
single:free,single,free,chronological,0,single:free:w000,24,3,0,0.0,0.0
single:free,single,free,chronological,0,single:free:w000,25,3,1,0.125,0.25
single:free,single,free,chronological,0,single:free:w000,26,3,2,0.25,0.5
single:free,single,free,chronological,0,single:free:w000,27,3,3,0.375,0.75
single:free,single,free,chronological,0,single:free:w000,28,3,4,0.5,1.0
single:free,single,free,chronological,0,single:free:w000,29,3,5,0.625,1.25
single:free,single,free,chronological,0,single:free:w000,30,3,6,0.75,1.5
single:free,single,free,chronological,0,single:free:w000,31,3,7,0.875,1.75
single:free,single,free,shuffled,0,single:free:w000,0,0,0,0.125,0.25
single:free,single,free,shuffled,0,single:free:w000,1,0,1,0.75,1.5
single:free,single,free,shuffled,0,single:free:w000,2,0,2,0.75,1.5
single:free,single,free,shuffled,0,single:free:w000,3,0,3,0.0,0.0
single:free,single,free,shuffled,0,single:free:w000,4,0,4,0.25,0.5
single:free,single,free,shuffled,0,single:free:w000,5,0,5,0.0,0.0
single:free,single,free,shuffled,0,single:free:w000,6,0,6,0.625,1.25
single:free,single,free,shuffled,0,single:free:w000,7,0,7,0.125,0.25
single:free,single,free,shuffled,0,single:free:w000,8,1,0,0.375,0.75
single:free,single,free,shuffled,0,single:free:w000,9,1,1,0.5,1.0
single:free,single,free,shuffled,0,single:free:w000,10,1,2,0.75,1.5
single:free,single,free,shuffled,0,single:free:w000,11,1,3,0.125,0.25
single:free,single,free,shuffled,0,single:free:w000,12,1,4,0.375,0.75
single:free,single,free,shuffled,0,single:free:w000,13,1,5,0.625,1.25
single:free,single,free,shuffled,0,single:free:w000,14,1,6,0.125,0.25
